,Crossing
485,72
486,72
487,15
488,24
489,77
490,43
491,65
492,56
493,58
494,68
495,78
496,90
497,12
498,11
499,11
500,75
501,14
502,78
503,78
504,77
505,79
506,75
507,46
508,13
509,82
510,82
511,35
512,67
513,14
514,60
515,85
516,66
517,61
518,60
519,69
520,11
521,49
522,63
523,19
524,67
525,85
526,81
527,38
528,10
529,74
530,85
531,70
532,76
533,11
534,80
535,77
536,68
537,11
538,67
539,57
540,76
541,81
542,16
543,69
544,53
545,63
546,21
547,62
548,77
549,75
550,76
551,68
552,34
553,68
554,67
555,35
556,67
557,58
558,75
559,76
560,78
561,78
562,76
563,80
564,80
565,61
566,58
567,65
568,20
569,76
570,18
571,74
572,81
573,71
574,82
575,72
576,75
577,77
578,68
579,53
580,73
581,63
582,74
583,74
584,74
585,58
586,84
587,45
588,74
589,44
590,51
591,56
592,65
593,60
594,68
595,78
596,74
597,53
598,13
599,77
600,69
601,78
602,75
603,78
604,53
605,77
606,73
607,77
608,79
609,73
610,65
611,59
612,59
613,68
614,70
615,40
616,69
617,79
618,14
619,76
620,78
621,81
622,76
623,68
624,74
625,12
626,74
627,57
628,47
629,68
630,61
631,69
632,77
633,12
634,82
635,74
636,73
637,62
638,78
639,78
640,14
641,68
642,74
643,15
644,69
645,60
646,47
647,16
648,83
649,78
650,62
651,58
652,49
653,68
654,74
655,76
656,81
657,80
658,64
659,50
660,61
661,85
662,62
663,62
664,78
665,69
666,78
667,78
668,76
669,80
670,82
671,52
672,60
673,73
674,72
675,68
676,60
677,70
678,44
679,80
680,80
681,87
682,59
683,80
684,59
685,50
686,13
687,12
688,73
689,68
690,13
691,11
692,12
693,55
694,58
695,84
696,83
697,56
698,66
699,75
700,79
701,69
702,72
703,48
704,52
705,60
706,15
707,71
708,17
709,56
710,73
711,41
712,44
713,65
714,65
715,72
716,74
717,62
718,66
719,70
720,58
721,78
722,70
723,70
724,62
725,40
726,36
727,64
728,74
729,77
730,13
731,71
732,45
733,48
734,44
735,75
736,69
737,18
738,16
739,77
740,72
741,73
742,54
743,74
744,55
745,65
746,90
747,64
748,83
749,76
750,79
751,74
752,78
753,76
754,12
755,20
756,63
757,82
758,15
759,62
760,66
761,78
762,66
763,80
764,57
765,57
766,40
767,78
768,43
769,70
770,55
771,57
772,77
773,49
774,75
775,15
776,15
777,30
778,11
779,73
780,85
781,46
782,75
783,73
784,60
785,76
786,74
787,78
788,78
789,75
790,18
791,74
792,66
793,75
794,74
795,76
796,71
797,80
798,67
799,37
800,23
801,70
802,76
803,39
804,45
805,65
806,51
807,37
808,71
809,73
810,78
811,12
812,79
813,76
814,80
815,79
816,79
817,75
818,67
819,71
820,90
821,77
822,80
823,62
824,82
825,58
826,36
827,74
828,78
829,45
830,68
831,77
832,63
833,74
834,82
835,11
836,61
837,73
838,49
839,82
840,63
841,68
842,76
843,82
844,44
845,62
846,80
847,74
848,78
849,80
850,44
851,70
852,67
853,42
854,71
855,75
856,51
857,15
858,56
859,69
860,47
861,79
862,60
863,78
864,84
865,77
866,69
867,69
868,43
869,62
870,13
871,49
872,54
873,60
874,79
875,80
876,68
877,78
878,45
879,77
880,20
881,77
882,11
883,70
884,78
885,60
886,45
887,79
888,65
889,68
890,36
891,75
892,66
893,35
894,78
895,56
896,76
897,68
898,76
899,69
900,65
901,81
902,51
903,21
904,74
905,15
906,65
907,47
908,76
909,67
910,63
911,72
912,80
913,70
914,69
915,56
916,14
917,75
918,75
919,73
920,79
921,40
922,68
923,54
924,61
925,77
926,81
927,75
928,80
929,76
930,76
931,60
932,65
933,78
934,62
935,78
936,89
937,68
938,72
939,64
940,72
941,23
942,15
943,55
944,74
945,82
946,33
947,13
948,75
949,46
950,72
951,49
952,82
953,69
954,65
955,75
956,66
957,32
958,77
959,15
960,46
961,57
962,75
963,69
964,69
965,10
966,65
967,70
968,33
969,33
970,66
971,37
972,72
973,70
974,78
975,71
976,74
977,74
978,74
979,76
980,32
981,67
982,22
983,40
984,21
985,73
986,69
987,61
988,69
989,76
990,76
991,57
992,65
993,82
994,69
995,69
996,76
997,65
998,62
999,31
1000,70
1001,69
1002,78
1003,77
1004,30
1005,41
1006,67
1007,62
1008,72
1009,66
1010,53
1011,76
1012,56
1013,68
1014,73
1015,48
1016,63
1017,79
1018,66
1019,75
1020,75
1021,44
1022,72
1023,74
1024,13
1025,72
1026,78
1027,11
1028,72
1029,68
1030,77
1031,65
1032,65
1033,59
1034,14
1035,67
1036,67
1037,78
1038,65
1039,78
1040,75
1041,67
1042,78
1043,44
1044,55
1045,82
1046,56
1047,40
1048,65
1049,76
1050,24
1051,78
1052,73
1053,68
1054,17
1055,60
1056,75
1057,18
1058,76
1059,74
1060,49
1061,66
1062,12
1063,65
1064,64
1065,72
1066,80
1067,52
1068,78
1069,34
1070,79
1071,79
1072,68
1073,51
1074,77
1075,46
1076,70
1077,59
1078,29
1079,46
1080,70
1081,75
1082,57
1083,74
1084,51
1085,71
1086,65
1087,20
1088,72
1089,68
1090,76
1091,76
1092,70
1093,58
1094,80
1095,74
1096,65
1097,78
1098,64
1099,68
1100,73
1101,69
1102,76
1103,77
1104,76
1105,57
1106,74
1107,13
1108,80
1109,56
1110,59
1111,80
1112,45
1113,70
1114,64
1115,61
1116,74
1117,80
1118,18
1119,28
1120,49
1121,71
1122,71
1123,77
1124,61
1125,64
1126,64
1127,60
1128,76
1129,77
1130,68
1131,60
1132,66
1133,73
1134,79
1135,25
1136,75
1137,67
1138,67
1139,69
1140,82
1141,49
1142,58
1143,30
1144,55
1145,63
1146,76
1147,40
1148,60
1149,53
1150,77
1151,73
1152,15
1153,74
1154,64
1155,55
1156,20
1157,75
1158,66
1159,35
1160,74
1161,19
1162,72
1163,76
1164,64
1165,54
1166,61
1167,76
1168,77
1169,18
1170,76
1171,60
1172,13
1173,13
1174,70
1175,61
1176,71
1177,78
1178,77
1179,74
1180,70
1181,35
1182,78
1183,74
1184,79
1185,74
1186,50
1187,45
1188,74
1189,73
1190,68
1191,32
1192,79
1193,73
1194,41
1195,42
1196,75
1197,70
1198,54
1199,36
1200,72
1201,35
1202,72
1203,64
1204,74
1205,76
1206,78
1207,67
1208,70
1209,29
1210,33
1211,68
1212,78
1213,76
1214,71
1215,69
1216,8
1217,75
1218,44
1219,79
1220,45
1221,71
1222,15
1223,20
1224,20
1225,72
1226,75
1227,62
1228,74
1229,75
1230,75
1231,75
1232,58
1233,79
1234,53
1235,60
1236,76
1237,71
1238,74
1239,34
1240,46
1241,65
1242,70
1243,75
1244,77
1245,14
1246,70
1247,76
1248,59
1249,76
1250,40
1251,9
1252,70
1253,62
1254,70
1255,68
1256,32
1257,56
1258,74
1259,32
1260,82
1261,41
1262,74
1263,76
1264,71
1265,76
1266,77
1267,78
1268,62
1269,22
1270,83
1271,63
1272,43
1273,13
1274,65
1275,65
1276,82
1277,71
1278,38
1279,51
1280,57
1281,42
1282,70
1283,75
1284,48
1285,77
1286,56
1287,73
1288,74
1289,55
1290,79
1291,61
1292,70
1293,11
1294,73
1295,76
1296,69
1297,57
1298,75
1299,71
1300,72
1301,39
1302,69
1303,76
1304,34
1305,71
1306,55
1307,81
1308,69
1309,71
1310,58
1311,51
1312,58
1313,55
1314,74
1315,35
1316,72
1317,11
1318,55
1319,64
1320,59
1321,68
1322,12
1323,66
1324,42
1325,73
1326,73
1327,35
1328,75
1329,52
1330,60
1331,62
1332,78
1333,74
1334,82
1335,61
1336,68
1337,72
1338,52
1339,72
1340,61
1341,15
1342,39
1343,70
1344,75
1345,72
1346,85
1347,68
1348,61
1349,56
1350,61
1351,32
1352,65
1353,68
1354,13
1355,80
1356,49
1357,73
1358,55
1359,14
1360,65
1361,10
1362,69
1363,70
1364,40
1365,62
1366,66
1367,42
1368,17
1369,63
1370,66
1371,50
1372,61
1373,86
1374,78
1375,19
1376,65
1377,65
1378,77
1379,72
1380,66
1381,74
1382,20
1383,74
1384,60
1385,70
1386,76
1387,38
1388,50
1389,81
1390,65
1391,10
1392,50
1393,67
1394,74
1395,61
1396,76
1397,60
1398,78
1399,66
1400,78
1401,70
1402,70
1403,64
1404,63
1405,17
1406,61
1407,74
1408,67
1409,80
1410,45
1411,53
1412,14
1413,80
1414,74
1415,62
1416,64
1417,65
1418,59
1419,38
1420,76
1421,74
1422,73
1423,73
1424,72
1425,54
1426,11
1427,13
1428,13
1429,68
1430,25
1431,11
1432,58
1433,76
1434,49
1435,76
1436,66
1437,50
1438,67
1439,80
1440,33
1441,75
1442,75
1443,76
1444,72
1445,57
1446,59
1447,62
1448,82
1449,68
1450,58
1451,45
1452,77
1453,51
1454,29
1455,69
1456,75
1457,70
1458,40
1459,66
1460,68
1461,49
1462,75
1463,53
1464,50
1465,11
1466,42
1467,29
1468,78
1469,53
1470,65
1471,8
1472,73
1473,17
1474,80
1475,44
1476,86
1477,19
1478,76
1479,76
1480,69
1481,72
1482,9
1483,29
1484,69
1485,33
1486,43
1487,75
1488,61
1489,17
1490,76
1491,54
1492,70
1493,47
1494,13
1495,59
1496,64
1497,51
1498,74
1499,59
1500,45
1501,69
1502,47
1503,12
1504,79
1505,59
1506,73
1507,60
1508,71
1509,74
1510,77
1511,76
1512,44
1513,30
1514,40
1515,64
1516,31
1517,75
1518,55
1519,77
1520,74
1521,35
1522,66
1523,70
1524,64
1525,69
1526,66
1527,64
1528,69
1529,40
1530,40
1531,75
1532,43
1533,68
1534,72
1535,42
1536,73
1537,65
1538,34
1539,82
1540,75
1541,74
1542,35
1543,73
1544,19
1545,69
1546,64
1547,68
1548,58
1549,43
1550,60
1551,37
1552,75
1553,46
1554,77
1555,19
1556,49
1557,18
1558,75
1559,39
1560,76
1561,67
1562,56
1563,71
1564,79
1565,68
1566,75
1567,30
1568,79
1569,74
1570,66
1571,25
1572,62
1573,69
1574,65
1575,73
1576,72
1577,27
1578,62
1579,12
1580,42
1581,42
1582,68
1583,72
1584,73
1585,75
1586,66
1587,67
1588,78
1589,53
1590,66
1591,68
1592,56
1593,14
1594,74
1595,60
1596,73
1597,51
1598,77
1599,59
1600,76
1601,67
1602,60
1603,33
1604,71
1605,59
1606,77
1607,47
1608,17
1609,75
1610,66
1611,50
1612,76
1613,68
1614,72
1615,71
1616,65
1617,78
1618,34
1619,62
1620,71
1621,70
1622,71
1623,40
1624,20
1625,65
1626,73
1627,69
1628,60
1629,42
1630,71
1631,39
1632,39
1633,67
1634,35
1635,42
1636,75
1637,14
1638,20
1639,74
1640,68
1641,78
1642,68
1643,59
1644,64
1645,45
1646,68
1647,68
1648,56
1649,48
1650,61
1651,59
1652,18
1653,80
1654,69
1655,76
1656,54
1657,58
1658,65
1659,71
1660,74
1661,12
1662,30
1663,51
1664,71
1665,80
1666,74
1667,44
1668,72
1669,60
1670,81
1671,77
1672,76
1673,49
1674,18
1675,64
1676,70
1677,62
1678,74
1679,67
1680,64
1681,70
1682,71
1683,71
1684,35
1685,76
1686,69
1687,34
1688,47
1689,59
1690,75
1691,63
1692,14
1693,58
1694,77
1695,43
1696,64
1697,65
1698,65
1699,73
1700,76
1701,76
1702,69
1703,70
1704,77
1705,71
1706,75
1707,63
1708,71
1709,69
1710,63
1711,74
1712,75
1713,72
1714,58
1715,25
1716,52
1717,61
1718,7
1719,62
1720,68
1721,68
1722,56
1723,60
1724,45
1725,15
1726,78
1727,74
1728,69
1729,74
1730,69
1731,47
1732,11
1733,73
1734,73
1735,61
1736,62
1737,64
1738,46
1739,22
1740,72
1741,75
1742,30
1743,78
1744,74
1745,76
1746,37
1747,64
1748,80
1749,75
1750,71
1751,63
1752,68
1753,62
1754,71
1755,67
1756,48
1757,77
1758,42
1759,49
1760,37
1761,64
1762,67
1763,62
1764,76
1765,54
1766,78
1767,43
1768,70
1769,61
1770,53
1771,71
1772,72
1773,78
1774,62
1775,34
1776,76
1777,74
1778,72
1779,75
1780,64
1781,67
1782,69
1783,70
1784,62
1785,62
1786,56
1787,76
1788,62
1789,74
1790,74
1791,38
1792,66
1793,46
1794,13
1795,77
1796,72
1797,24
1798,54
1799,56
1800,58
1801,75
1802,42
1803,52
1804,16
1805,74
1806,81
1807,68
1808,13
1809,59
1810,71
1811,73
1812,58
1813,61
1814,66
1815,77
1816,54
1817,65
1818,70
1819,39
1820,63
1821,81
1822,76
1823,12
1824,52
1825,66
1826,50
1827,64
1828,77
1829,55
1830,60
1831,69
1832,46
1833,83
1834,69
1835,70
1836,70
1837,72
1838,67
1839,63
1840,32
1841,18
1842,48
1843,47
1844,75
1845,38
1846,64
1847,66
1848,12
1849,75
1850,64
1851,69
1852,61
1853,60
1854,71
1855,38
1856,67
1857,76
1858,52
1859,75
1860,50
1861,64
1862,58
1863,56
1864,68
1865,45
1866,71
1867,62
1868,66
1869,75
1870,72
1871,56
1872,29
1873,74
1874,78
1875,39
1876,50
1877,62
1878,69
1879,46
1880,58
1881,29
1882,27
1883,74
1884,56
1885,54
1886,50
1887,50
1888,20
1889,43
1890,48
1891,11
1892,74
1893,56
1894,71
1895,77
1896,75
1897,64
1898,64
1899,51
1900,40
1901,18
1902,60
1903,58
1904,12
1905,77
1906,51
1907,23
1908,50
1909,73
1910,67
1911,28
1912,69
1913,55
1914,33
1915,61
1916,67
1917,64
1918,70
1919,36
1920,69
1921,75
1922,76
1923,70
1924,64
1925,36
1926,60
1927,70
1928,66
1929,78
1930,59
1931,61
1932,64
1933,75
1934,69
1935,69
1936,70
1937,78
1938,78
1939,49
1940,73
1941,65
1942,52
1943,74
1944,53
1945,77
1946,72
1947,36
1948,21
1949,72
1950,70
1951,11
1952,65
1953,59
1954,68
1955,39
1956,51
1957,63
1958,73
1959,50
1960,49
1961,76
1962,74
1963,20
1964,20
1965,71
1966,75
1967,19
1968,66
1969,68
1970,28
1971,13
1972,9
1973,68
1974,70
1975,73
1976,56
1977,75
1978,67
1979,59
1980,70
1981,48
1982,56
1983,60
1984,54
1985,56
1986,69
1987,68
1988,78
1989,78
1990,77
1991,62
1992,59
1993,61
1994,75
1995,61
1996,65
1997,73
1998,68
1999,74
2000,47
2001,74
2002,73
2003,67
2004,42
2005,77
2006,60
2007,77
2008,73
2009,75
2010,52
2011,67
2012,34
2013,46
2014,58
2015,77
2016,72
2017,15
2018,35
2019,70
2020,13
2021,62
2022,47
2023,83
2024,73
2025,56
2026,66
2027,72
2028,78
2029,82
2030,64
2031,49
2032,66
2033,64
2034,33
2035,42
2036,16
2037,68
2038,77
2039,30
2040,30
2041,74
2042,71
2043,77
2044,74
2045,69
2046,28
2047,47
2048,11
2049,61
2050,78
2051,72
2052,12
2053,71
2054,74
2055,37
2056,75
2057,50
2058,68
2059,62
2060,65
2061,55
2062,80
2063,28
2064,47
2065,70
2066,69
2067,66
2068,53
2069,74
2070,68
2071,67
2072,56
2073,40
2074,12
2075,44
2076,76
2077,77
2078,75
2079,55
2080,42
2081,58
2082,68
2083,73
2084,82
2085,66
2086,12
2087,65
2088,72
2089,67
2090,14
2091,14
2092,74
2093,80
2094,64
2095,58
2096,76
2097,70
2098,64
2099,76
2100,64
2101,71
2102,74
2103,78
2104,65
2105,60
2106,70
2107,59
2108,54
2109,45
2110,57
2111,72
2112,17
2113,78
2114,62
2115,45
2116,46
2117,43
2118,44
2119,41
2120,28
2121,66
2122,12
2123,65
2124,20
2125,9
2126,42
2127,72
2128,26
2129,35
2130,61
2131,24
2132,65
2133,63
2134,10
2135,73
2136,74
2137,74
2138,66
2139,70
2140,69
2141,56
2142,56
2143,64
2144,73
2145,63
2146,59
2147,72
2148,71
2149,67
2150,35
2151,61
2152,14
2153,14
2154,35
2155,62
2156,73
2157,77
2158,72
2159,72
2160,75
2161,31
2162,66
2163,66
2164,71
2165,76
2166,68
2167,41
2168,68
2169,72
2170,59
2171,68
2172,77
2173,69
2174,44
2175,73
2176,13
2177,79
2178,69
2179,15
2180,76
2181,12
2182,27
2183,37
2184,78
2185,76
2186,77
2187,73
2188,49
2189,69
2190,72
2191,73
2192,55
2193,55
2194,12
2195,49
2196,51
2197,66
2198,73
2199,30
2200,70
2201,67
2202,58
2203,64
2204,69
2205,70
2206,74
2207,58
2208,41
2209,64
2210,64
2211,73
2212,49
2213,14
2214,32
2215,54
2216,12
2217,67
2218,64
2219,12
2220,69
2221,43
2222,71
2223,52
2224,31
2225,67
2226,74
2227,74
2228,71
2229,46
2230,71
2231,60
2232,15
2233,75
2234,70
2235,53
2236,45
2237,79
2238,67
2239,68
2240,45
2241,51
2242,52
2243,69
2244,69
2245,41
2246,69
2247,73
2248,73
2249,61
2250,67
2251,14
2252,75
2253,75
2254,67
2255,80
2256,44
2257,49
2258,66
2259,26
2260,72
2261,63
2262,65
2263,66
2264,27
2265,65
2266,58
2267,69
2268,70
2269,41
2270,75
2271,55
2272,60
2273,57
2274,72
2275,64
2276,32
2277,62
2278,69
2279,76
2280,67
2281,75
2282,71
2283,71
2284,85
2285,63
2286,30
2287,74
2288,68
2289,63
2290,12
2291,65
2292,75
2293,70
2294,46
2295,46
2296,75
2297,73
2298,65
2299,66
2300,35
2301,66
2302,71
2303,42
2304,15
2305,47
2306,15
2307,74
2308,66
2309,44
2310,13
2311,72
2312,42
2313,76
2314,76
2315,35
2316,61
2317,67
2318,67
2319,30
2320,76
2321,61
2322,71
2323,72
2324,72
2325,75
2326,67
2327,67
2328,51
2329,70
2330,69
2331,52
2332,73
2333,39
2334,69
2335,59
2336,68
2337,68
2338,46
2339,49
2340,58
2341,69
2342,71
2343,70
2344,72
2345,54
2346,54
2347,62
2348,39
2349,71
2350,72
2351,71
2352,63
2353,75
2354,53
2355,59
2356,63
2357,79
2358,75
2359,72
2360,66
2361,39
2362,19
2363,35
2364,75
2365,59
2366,13
2367,62
2368,59
2369,64
2370,75
2371,50
2372,15
2373,73
2374,61
2375,19
2376,70
2377,76
2378,47
2379,48
2380,64
2381,77
2382,66
2383,67
2384,16
2385,76
2386,35
2387,74
2388,72
2389,71
2390,55
2391,67
2392,48
2393,76
2394,75
2395,63
2396,78
2397,78
2398,77
2399,65
2400,56
2401,74
2402,64
2403,70
2404,69
2405,50
2406,76
2407,65
2408,59
2409,76
2410,48
2411,54
2412,48
2413,70
2414,63
2415,70
2416,36
2417,76
2418,63
2419,75
2420,18
2421,43
2422,57
2423,57
2424,11
2425,51
2426,13
2427,78
2428,69
2429,48
2430,72
2431,72
2432,54
2433,64
2434,81
2435,79
2436,73
2437,66
2438,57
2439,30
2440,50
2441,69
2442,74
2443,63
2444,70
2445,73
2446,48
2447,20
2448,20
2449,69
2450,70
2451,69
2452,70
2453,63
2454,57
2455,73
2456,59
2457,35
2458,76
2459,68
2460,70
2461,73
2462,63
2463,21
2464,55
2465,33
2466,62
2467,62
2468,70
2469,40
2470,72
2471,61
2472,64
2473,56
2474,69
2475,69
2476,66
2477,50
2478,74
2479,63
2480,71
2481,68
2482,66
2483,69
2484,20
2485,80
2486,54
2487,64
2488,9
2489,64
2490,72
2491,74
2492,76
2493,61
2494,75
2495,18
2496,68
2497,70
2498,67
2499,67
2500,76
2501,46
2502,47
2503,74
2504,49
2505,44
2506,73
2507,63
2508,73
2509,36
2510,81
2511,65
2512,67
2513,65
2514,70
2515,75
2516,76
2517,72
2518,67
2519,12
2520,77
2521,71
2522,68
2523,55
2524,76
2525,74
2526,25
2527,67
2528,67
2529,59
2530,70
2531,60
2532,67
2533,75
2534,74
2535,73
2536,11
2537,63
2538,67
2539,14
2540,44
2541,42
2542,71
2543,41
2544,65
2545,49
2546,76
2547,15
2548,73
2549,11
2550,11
2551,74
2552,68
2553,69
2554,71
2555,47
2556,71
2557,24
2558,71
2559,75
2560,73
2561,69
2562,72
2563,70
2564,66
2565,53
2566,71
2567,12
2568,11
2569,64
2570,56
2571,71
2572,12
2573,66
2574,55
2575,70
2576,70
2577,75
2578,71
2579,71
2580,61
2581,19
2582,76
2583,44
2584,71
2585,57
2586,78
2587,68
2588,19
2589,59
2590,66
2591,51
2592,74
2593,72
2594,14
2595,68
2596,69
2597,63
2598,12
2599,70
2600,18
2601,18
2602,70
2603,81
2604,27
2605,68
2606,76
2607,44
2608,51
2609,30
2610,73
2611,67
2612,49
2613,69
2614,68
2615,15
2616,61
2617,64
2618,11
2619,48
2620,18
2621,81
2622,17
2623,83
2624,61
2625,63
2626,67
2627,72
2628,62
2629,60
2630,70
2631,72
2632,75
2633,51
2634,31
2635,67
2636,68
2637,51
2638,60
2639,67
2640,66
2641,66
2642,72
2643,71
2644,66
2645,56
2646,49
2647,18
2648,65
2649,58
2650,70
2651,13
2652,13
2653,52
2654,64
2655,36
2656,47
2657,69
2658,75
2659,66
2660,76
2661,85
2662,53
2663,44
2664,15
2665,66
2666,64
2667,25
2668,71
2669,71
2670,62
2671,71
2672,71
2673,36
2674,49
2675,69
2676,69
2677,67
2678,58
2679,76
2680,76
2681,65
2682,60
2683,72
2684,81
2685,58
2686,15
2687,30
2688,76
2689,43
2690,67
2691,63
2692,15
2693,61
2694,71
2695,70
2696,51
2697,33
2698,65
2699,71
2700,77
2701,61
2702,60
2703,60
2704,15
2705,72
2706,73
2707,22
2708,70
2709,63
2710,57
2711,67
2712,60
2713,74
2714,60
2715,71
2716,69
2717,40
2718,72
2719,74
2720,25
2721,51
2722,68
2723,33
2724,68
2725,19
2726,67
2727,56
2728,48
2729,63
2730,77
2731,68
2732,69
2733,70
2734,64
2735,51
2736,71
2737,73
2738,68
2739,34
2740,73
2741,75
2742,53
2743,70
2744,62
2745,62
2746,72
2747,72
2748,70
2749,64
2750,64
2751,58
2752,36
2753,26
2754,26
2755,52
2756,67
2757,70
2758,72
2759,69
2760,12
2761,61
2762,39
2763,31
2764,73
2765,71
2766,59
2767,67
2768,45
2769,72
2770,33
2771,12
2772,70
2773,67
2774,57
2775,75
2776,72
2777,75
2778,57
2779,39
2780,82
2781,74
2782,70
2783,68
2784,23
2785,17
2786,73
2787,75
2788,59
2789,25
2790,71
2791,65
2792,76
2793,61
2794,44
2795,42
2796,59
2797,11
2798,66
2799,51
2800,60
2801,74
2802,58
2803,72
2804,65
2805,65
2806,42
2807,74
2808,69
2809,57
2810,74
2811,44
2812,69
2813,15
2814,67
2815,30
2816,49
2817,49
2818,67
2819,69
2820,77
2821,40
2822,67
2823,52
2824,11
2825,49
2826,30
2827,75
2828,76
2829,85
2830,62
2831,71
2832,62
2833,67
2834,45
2835,36
2836,39
2837,65
2838,68
2839,73
2840,58
2841,65
2842,30
2843,61
2844,74
2845,44
2846,71
2847,59
2848,68
2849,56
2850,81
2851,47
2852,71
2853,27
2854,46
2855,61
2856,61
2857,74
2858,70
2859,71
2860,58
2861,76
2862,55
2863,69
2864,80
2865,65
2866,11
2867,73
2868,80
2869,70
2870,66
2871,12
2872,69
2873,48
2874,60
2875,52
2876,62
2877,73
2878,51
2879,71
2880,32
2881,69
2882,71
2883,46
2884,69
2885,54
2886,58
2887,68
2888,78
2889,20
2890,58
2891,70
2892,73
2893,65
2894,78
2895,72
2896,56
2897,67
2898,60
2899,59
2900,41
2901,64
2902,70
2903,11
2904,45
2905,65
2906,51
2907,51
2908,38
2909,64
2910,52
2911,12
2912,72
2913,45
2914,69
2915,62
2916,66
2917,73
2918,71
2919,61
2920,12
2921,63
2922,67
2923,38
2924,18
2925,60
2926,50
2927,34
2928,11
2929,72
2930,67
2931,65
2932,74
2933,53
2934,72
2935,68
2936,70
2937,23
2938,13
2939,82
2940,19
2941,49
2942,11
2943,69
2944,63
2945,78
2946,53
2947,82
2948,65
2949,76
2950,45
2951,55
2952,14
2953,71
2954,14
2955,75
2956,36
2957,12
2958,12
2959,66
2960,70
2961,74
2962,40
2963,33
2964,70
2965,72
2966,34
2967,72
2968,62
2969,14
2970,66
2971,69
2972,56
2973,61
2974,68
2975,55
2976,73
2977,61
2978,66
2979,74
2980,74
2981,48
2982,56
2983,59
2984,64
2985,73
2986,36
2987,63
2988,64
2989,76
2990,25
2991,58
2992,66
2993,18
2994,64
2995,74
2996,66
