,Defending
1921,225
1922,180
1923,121
1924,52
1925,231
1926,226
1927,204
1928,75
1929,147
1930,188
1931,87
1932,210
1933,161
1934,208
1935,192
1936,231
1937,183
1938,183
1939,53
1940,223
1941,213
1942,233
1943,222
1944,70
1945,232
1946,118
1947,221
1948,217
1949,160
1950,217
1951,37
1952,69
1953,198
1954,194
1955,226
1956,76
1957,220
1958,220
1959,60
1960,62
1961,219
1962,216
1963,52
1964,39
1965,182
1966,220
1967,56
1968,56
1969,217
1970,218
1971,41
1972,30
1973,213
1974,117
1975,223
1976,234
1977,88
1978,51
1979,226
1980,219
1981,69
1982,231
1983,77
1984,90
1985,231
1986,159
1987,224
1988,184
1989,184
1990,221
1991,189
1992,56
1993,222
1994,216
1995,199
1996,126
1997,201
1998,211
1999,156
2000,218
2001,75
2002,71
2003,220
2004,99
2005,227
2006,225
2007,149
2008,221
2009,198
2010,206
2011,223
2012,225
2013,234
2014,196
2015,144
2016,209
2017,39
2018,220
2019,223
2020,35
2021,195
2022,225
2023,149
2024,230
2025,67
2026,227
2027,204
2028,217
2029,211
2030,69
2031,81
2032,231
2033,88
2034,232
2035,51
2036,47
2037,64
2038,79
2039,51
2040,51
2041,214
2042,62
2043,213
2044,218
2045,88
2046,231
2047,215
2048,41
2049,91
2050,94
2051,218
2052,49
2053,122
2054,97
2055,219
2056,222
2057,226
2058,100
2059,77
2060,209
2061,220
2062,170
2063,211
2064,231
2065,223
2066,198
2067,58
2068,216
2069,88
2070,177
2071,217
2072,218
2073,231
2074,37
2075,223
2076,204
2077,219
2078,200
2079,223
2080,219
2081,221
2082,229
2083,120
2084,105
2085,82
2086,45
2087,219
2088,80
2089,50
2090,40
2091,40
2092,105
2093,72
2094,225
2095,220
2096,166
2097,190
2098,114
2099,223
2100,61
2101,64
2102,196
2103,172
2104,214
2105,227
2106,224
2107,75
2108,120
2109,222
2110,219
2111,70
2112,36
2113,215
2114,199
2115,217
2116,97
2117,216
2118,103
2119,223
2120,223
2121,93
2122,53
2123,91
2124,43
2125,25
2126,219
2127,209
2128,219
2129,211
2130,81
2131,229
2132,97
2133,104
2134,45
2135,106
2136,151
2137,219
2138,223
2139,238
2140,215
2141,218
2142,218
2143,212
2144,59
2145,102
2146,68
2147,204
2148,226
2149,209
2150,220
2151,89
2152,48
2153,37
2154,220
2155,91
2156,220
2157,97
2158,102
2159,125
2160,219
2161,216
2162,59
2163,140
2164,85
2165,210
2166,79
2167,217
2168,212
2169,112
2170,100
2171,79
2172,206
2173,106
2174,205
2175,224
2176,53
2177,169
2178,100
2179,37
2180,210
2181,49
2182,224
2183,223
2184,204
2185,167
2186,218
2187,63
2188,216
2189,76
2190,216
2191,224
2192,222
2193,222
2194,42
2195,80
2196,218
2197,50
2198,218
2199,230
2200,225
2201,117
2202,190
2203,123
2204,81
2205,155
2206,226
2207,218
2208,213
2209,161
2210,81
2211,86
2212,222
2213,41
2214,41
2215,58
2216,45
2217,220
2218,152
2219,53
2220,189
2221,220
2222,217
2223,219
2224,216
2225,110
2226,213
2227,195
2228,217
2229,216
2230,164
2231,221
2232,47
2233,198
2234,47
2235,216
2236,94
2237,211
2238,196
2239,92
2240,219
2241,221
2242,214
2243,227
2244,227
2245,216
2246,66
2247,94
2248,218
2249,232
2250,226
2251,38
2252,207
2253,76
2254,198
2255,215
2256,220
2257,222
2258,187
2259,209
2260,210
2261,221
2262,119
2263,69
2264,66
2265,174
2266,84
2267,145
2268,78
2269,223
2270,94
2271,222
2272,90
2273,215
2274,207
2275,220
2276,229
2277,78
2278,211
2279,213
2280,69
2281,192
2282,133
2283,88
2284,191
2285,202
2286,69
2287,66
2288,68
2289,155
2290,40
2291,218
2292,117
2293,54
2294,214
2295,214
2296,70
2297,94
2298,102
2299,214
2300,49
2301,89
2302,173
2303,230
2304,39
2305,215
2306,47
2307,165
2308,143
2309,219
2310,37
2311,207
2312,40
2313,219
2314,199
2315,222
2316,72
2317,115
2318,201
2319,219
2320,216
2321,223
2322,106
2323,166
2324,226
2325,207
2326,129
2327,192
2328,36
2329,104
2330,92
2331,103
2332,214
2333,83
2334,93
2335,204
2336,80
2337,192
2338,224
2339,213
2340,45
2341,181
2342,213
2343,222
2344,192
2345,217
2346,217
2347,83
2348,221
2349,212
2350,225
2351,191
2352,219
2353,214
2354,221
2355,218
2356,69
2357,113
2358,89
2359,75
2360,177
2361,223
2362,44
2363,212
2364,160
2365,59
2366,40
2367,187
2368,81
2369,170
2370,86
2371,68
2372,37
2373,135
2374,190
2375,39
2376,150
2377,132
2378,210
2379,189
2380,126
2381,180
2382,204
2383,214
2384,37
2385,166
2386,218
2387,66
2388,170
2389,79
2390,220
2391,107
2392,223
2393,81
2394,220
2395,59
2396,214
2397,214
2398,220
2399,208
2400,225
2401,83
2402,202
2403,53
2404,222
2405,228
2406,118
2407,58
2408,231
2409,226
2410,76
2411,205
2412,219
2413,64
2414,77
2415,221
2416,60
2417,222
2418,219
2419,217
2420,47
2421,216
2422,219
2423,175
2424,35
2425,216
2426,20
2427,220
2428,175
2429,54
2430,102
2431,101
2432,93
2433,133
2434,216
2435,150
2436,227
2437,155
2438,232
2439,221
2440,78
2441,212
2442,103
2443,62
2444,187
2445,198
2446,103
2447,49
2448,49
2449,76
2450,179
2451,64
2452,87
2453,124
2454,220
2455,151
2456,227
2457,65
2458,64
2459,79
2460,190
2461,210
2462,221
2463,50
2464,63
2465,218
2466,82
2467,148
2468,216
2469,226
2470,220
2471,219
2472,113
2473,52
2474,213
2475,220
2476,48
2477,207
2478,217
2479,105
2480,208
2481,218
2482,66
2483,229
2484,215
2485,231
2486,209
2487,111
2488,25
2489,60
2490,201
2491,197
2492,220
2493,218
2494,76
2495,36
2496,87
2497,89
2498,213
2499,213
2500,215
2501,235
2502,56
2503,204
2504,220
2505,231
2506,66
2507,78
2508,206
2509,223
2510,118
2511,137
2512,220
2513,55
2514,114
2515,182
2516,183
2517,133
2518,64
2519,36
2520,215
2521,102
2522,71
2523,216
2524,144
2525,220
2526,60
2527,171
2528,169
2529,224
2530,62
2531,67
2532,103
2533,149
2534,82
2535,174
2536,32
2537,209
2538,88
2539,43
2540,219
2541,223
2542,224
2543,222
2544,99
2545,164
2546,162
2547,39
2548,95
2549,50
2550,50
2551,86
2552,227
2553,201
2554,130
2555,224
2556,157
2557,224
2558,89
2559,216
2560,188
2561,85
2562,224
2563,97
2564,200
2565,82
2566,187
2567,40
2568,38
2569,212
2570,57
2571,196
2572,47
2573,123
2574,214
2575,194
2576,225
2577,211
2578,96
2579,225
2580,106
2581,53
2582,83
2583,220
2584,174
2585,222
2586,206
2587,83
2588,44
2589,218
2590,73
2591,224
2592,224
2593,194
2594,34
2595,203
2596,100
2597,63
2598,36
2599,163
2600,40
2601,40
2602,82
2603,119
2604,212
2605,212
2606,222
2607,221
2608,223
2609,221
2610,216
2611,88
2612,223
2613,108
2614,83
2615,35
2616,219
2617,127
2618,43
2619,201
2620,33
2621,212
2622,50
2623,226
2624,221
2625,139
2626,100
2627,214
2628,216
2629,229
2630,100
2631,184
2632,116
2633,222
2634,223
2635,84
2636,210
2637,61
2638,205
2639,108
2640,216
2641,149
2642,205
2643,216
2644,92
2645,211
2646,214
2647,45
2648,86
2649,145
2650,217
2651,40
2652,40
2653,224
2654,219
2655,213
2656,212
2657,211
2658,219
2659,110
2660,204
2661,213
2662,215
2663,217
2664,37
2665,178
2666,223
2667,218
2668,187
2669,67
2670,204
2671,87
2672,69
2673,213
2674,214
2675,129
2676,91
2677,59
2678,61
2679,210
2680,180
2681,212
2682,211
2683,212
2684,173
2685,39
2686,224
2687,223
2688,144
2689,95
2690,219
2691,179
2692,37
2693,218
2694,170
2695,213
2696,76
2697,201
2698,207
2699,218
2700,222
2701,213
2702,73
2703,73
2704,53
2705,93
2706,213
2707,52
2708,204
2709,94
2710,98
2711,115
2712,98
2713,212
2714,216
2715,104
2716,172
2717,214
2718,219
2719,138
2720,217
2721,219
2722,214
2723,213
2724,201
2725,40
2726,98
2727,226
2728,209
2729,219
2730,214
2731,224
2732,168
2733,227
2734,204
2735,215
2736,221
2737,113
2738,63
2739,213
2740,206
2741,200
2742,217
2743,204
2744,188
2745,213
2746,220
2747,215
2748,117
2749,111
2750,155
2751,110
2752,157
2753,42
2754,42
2755,157
2756,216
2757,152
2758,92
2759,88
2760,42
2761,219
2762,215
2763,215
2764,159
2765,216
2766,207
2767,212
2768,212
2769,79
2770,56
2771,36
2772,214
2773,94
2774,213
2775,219
2776,217
2777,228
2778,206
2779,217
2780,111
2781,221
2782,119
2783,222
2784,33
2785,223
2786,105
2787,172
2788,79
2789,32
2790,226
2791,190
2792,129
2793,101
2794,215
2795,221
2796,201
2797,40
2798,58
2799,222
2800,215
2801,116
2802,193
2803,54
2804,80
2805,80
2806,214
2807,184
2808,207
2809,200
2810,174
2811,123
2812,53
2813,42
2814,104
2815,224
2816,57
2817,60
2818,72
2819,42
2820,181
2821,215
2822,206
2823,226
2824,56
2825,225
2826,226
2827,137
2828,221
2829,179
2830,125
2831,78
2832,55
2833,82
2834,211
2835,213
2836,209
2837,145
2838,114
2839,205
2840,201
2841,219
2842,70
2843,59
2844,225
2845,226
2846,103
2847,208
2848,197
2849,190
2850,215
2851,221
2852,226
2853,214
2854,232
2855,200
2856,200
2857,55
2858,221
2859,213
2860,227
2861,212
2862,216
2863,157
2864,211
2865,221
2866,36
2867,91
2868,230
2869,212
2870,108
2871,38
2872,178
2873,214
2874,224
2875,216
2876,49
2877,187
2878,220
2879,215
2880,219
2881,93
2882,210
2883,53
2884,103
2885,217
2886,225
2887,219
2888,205
2889,54
2890,211
2891,80
2892,174
2893,54
2894,211
2895,162
2896,97
2897,217
2898,77
2899,223
2900,218
2901,100
2902,184
2903,43
2904,69
2905,213
2906,155
2907,155
2908,202
2909,211
2910,162
2911,32
2912,220
2913,184
2914,106
2915,216
2916,40
2917,111
2918,205
2919,215
2920,44
2921,89
2922,91
2923,217
2924,47
2925,224
2926,59
2927,214
2928,46
2929,190
2930,201
2931,209
2932,218
2933,69
2934,171
2935,104
2936,101
2937,51
2938,39
2939,217
2940,44
2941,81
2942,37
2943,201
2944,79
2945,85
2946,215
2947,128
2948,194
2949,194
2950,58
2951,210
2952,53
2953,213
2954,46
2955,213
2956,223
2957,39
2958,39
2959,213
2960,197
2961,187
2962,61
2963,216
2964,229
2965,130
2966,211
2967,63
2968,68
2969,44
2970,192
2971,99
2972,67
2973,63
2974,200
2975,99
2976,210
2977,220
2978,98
2979,214
2980,76
2981,221
2982,54
2983,219
2984,209
2985,210
2986,212
2987,174
2988,56
2989,150
2990,37
2991,124
2992,219
2993,52
2994,217
2995,206
2996,68
2997,212
