,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL
138,Sergio Asenjo,28,84,$52K,85,$28M,1338
139,Javi Martínez,28,84,$162K,84,$28M,1993
140,D. Payet,30,84,$61K,84,$33M,2035
141,Jonas,33,84,$30K,84,$21.8M,2018
142,C. Marchisio,31,84,$179K,84,$29.7M,2179
143,Naldo,34,84,$70K,84,$10.6M,1966
144,S. Ruffier,30,84,$54K,84,$22.4M,1252
145,M. Dembélé,29,84,$168K,84,$33.6M,2205
146,A. Gómez,29,84,$67K,84,$34.7M,2026
147,A. Barzagli,36,84,$118K,84,$4.7M,1737
148,Aduriz,36,84,$42K,84,$12.3M,2010
149,P. Čech,35,84,$88K,84,$8.4M,1181
150,O. Dembélé,20,83,$168K,92,$44.8M,1969
151,Gabriel Jesus,20,83,$140K,92,$45.9M,2007
152,S. Milinković-Savić,22,83,$63K,89,$39.2M,2154
153,S. Milinković-Savić,22,83,$63K,89,$39.2M,2154
154,N. Keïta,22,83,$76K,88,$38.1M,2044
155,J. Giménez,22,83,$59K,87,$31.9M,1758
156,T. Lemar,21,83,$42K,89,$40.3M,2178
157,A. Laporte,23,83,$129K,88,$33M,1910
158,T. Werner,21,83,$76K,87,$38.6M,1925
159,A. Martial,21,83,$129K,90,$40.9M,2072
160,L. Goretzka,22,83,$51K,88,$38.1M,2218
161,Q. Promes,25,83,$86K,84,$34.7M,2021
162,William Carvalho,25,83,$24K,86,$30.8M,1967
163,F. Thauvin,24,83,$41K,86,$37M,2020
164,Danilo Pereira,25,83,$20K,86,$30.8M,2029
165,Vitolo,27,83,$76K,83,$30.2M,1983
166,Pizzi,27,83,$21K,83,$29.7M,2182
167,O. Baumann,27,83,$41K,84,$22.4M,1217
168,J. Cuadrado,29,83,$146K,83,$28.6M,2144
169,M. Götze,25,83,$77K,87,$37M,2064
170,S. Mustafi,25,83,$123K,85,$29.7M,1940
171,Ander Herrera,27,83,$162K,83,$29.7M,2212
172,J. Pastore,28,83,$112K,83,$28.6M,2064
173,L. Hrádecký,27,83,$34K,83,$19.6M,1130
174,K. Strootman,27,83,$90K,83,$29.7M,2142
175,Pedro,29,83,$174K,83,$28.6M,1989
176,S. Kagawa,28,83,$84K,83,$29.1M,1891
177,B. Dost,28,83,$31K,83,$30.2M,1816
178,Paulinho,28,83,$202K,83,$28.6M,2226
179,S. N'Zonzi,28,83,$28K,83,$23.5M,2032
180,M. Balotelli,26,83,$57K,83,$31.9M,1920
181,A. Ramsey,26,83,$146K,84,$33.6M,2118
182,José Callejón,30,83,$97K,83,$27.4M,1987
183,Giuliano,27,83,$96K,84,$33M,2066
184,M. Mandžukić,31,83,$151K,83,$26.3M,2104
185,F. Fazio,30,83,$82K,83,$21.3M,1633
186,B. Höwedes,29,83,$56K,83,$22.4M,1862
187,R. Fährmann,28,83,$46K,84,$23.5M,1181
188,E. Banega,29,83,$30K,83,$28M,2103
189,Juan Mata,29,83,$168K,83,$28.6M,1991
190,Rui Patrício,29,83,$22K,83,$19.6M,1350
191,L. Bender,28,83,$72K,83,$23.5M,2042
192,L. Piszczek,32,83,$73K,83,$16.2M,2144
193,E. Garay,30,83,$44K,83,$21.3M,1954
194,E. Viviano,31,83,$42K,83,$17.4M,1170
195,A. Valencia,31,83,$146K,83,$19M,2192
196,L. Koscielny,31,83,$129K,83,$19.6M,1854
197,Raúl Albiol,31,83,$82K,83,$19.6M,1751
198,Dani Alves,34,83,$98K,83,$8.4M,2204
199,R. Jarstein,32,83,$34K,83,$16.8M,1190
200,D. De Rossi,33,83,$82K,83,$11.8M,2101
201,Pepe Reina,34,83,$66K,83,$11.8M,1291
202,Quaresma,33,83,$75K,83,$17.4M,1945
203,G. Donnarumma,18,82,$39K,93,$30.2M,1266
204,G. Donnarumma,18,82,$39K,93,$30.2M,1266
205,L. Bailey,19,82,$43K,89,$34.2M,1982
206,Gelson Martins,22,82,$24K,88,$34.2M,2014
207,Malcom,20,82,$57K,90,$37M,1972
208,D. Sánchez,21,82,$85K,88,$29.1M,1805
209,C. Tolisso,22,82,$109K,89,$34.2M,2199
210,J. Seri,25,82,$50K,82,$26.3M,2179
211,G. Rulli,25,82,$32K,87,$23.5M,1288
212,A. Christensen,21,82,$104K,90,$31.9M,1740
213,K. Coman,21,82,$98K,87,$33.6M,1892
214,J. Tah,21,82,$52K,88,$29.1M,1653
215,Alex Telles,24,82,$18K,86,$26.9M,2225
216,F. Bernardeschi,23,82,$123K,88,$34.2M,1995
217,Bruno Fernandes,22,82,$24K,87,$33M,2210
218,J. Brandt,21,82,$59K,88,$34.2M,1881
219,André Gomes,23,82,$168K,88,$33.6M,2087
220,A. Rabiot,22,82,$93K,86,$31.9M,2149
221,J. Vardy,30,82,$108K,82,$24.1M,2077
222,Lucas Vázquez,26,82,$207K,83,$29.1M,2042
223,A. Belotti,23,82,$65K,87,$33.6M,1930
224,E. Forsberg,25,82,$84K,84,$30.2M,1934
225,Felipe,28,82,$22K,82,$20.2M,1793
226,C. Bacca,30,82,$140K,82,$24.1M,1886
227,M. Kovačić,23,82,$168K,88,$33.6M,2079
228,Kepa,22,82,$24K,87,$24.1M,1222
229,Manu Trigueros,25,82,$48K,85,$30.8M,2134
230,Jorginho,25,82,$86K,85,$30.8M,2139
231,S. Savić,26,82,$69K,85,$25.8M,1692
232,Iñigo Martínez,26,82,$36K,84,$25.2M,1965
233,A. Florenzi,26,82,$82K,83,$23.5M,2267
234,T. Hazard,24,82,$48K,85,$31.4M,2035
235,S. Zaza,26,82,$53K,83,$29.7M,2030
236,Suso,23,82,$123K,87,$33M,1927
237,Lucas,24,82,$118K,84,$30.8M,2047
238,Sergi Roberto,25,82,$168K,85,$25.8M,2095
239,G. Xhaka,24,82,$123K,85,$30.8M,1987
240,W. Zaha,24,82,$80K,85,$31.9M,1942
241,J. Matip,25,82,$123K,84,$25.2M,1878
242,K. Kampl,26,82,$88K,83,$28.6M,2034
243,Willian José,25,82,$47K,85,$31.9M,1942
244,I. Gueye,27,82,$129K,82,$20.7M,2037
245,Víctor Ruiz,28,82,$48K,83,$22.4M,1849
246,X. Shaqiri,25,82,$103K,83,$29.7M,2112
247,Marcos Alonso,26,82,$140K,83,$23.5M,2173
248,G. Bonaventura,27,82,$129K,82,$25.8M,2201
249,Taison,29,82,$1K,82,$24.1M,2054
250,Oscar,25,82,$0,84,$0,1971
251,Marlos,29,82,$1K,82,$24.1M,2060
252,O. Toprak,27,82,$73K,83,$23.5M,1861
253,Luiz Gustavo,29,82,$45K,82,$19M,2006
254,Adrien Silva,28,82,$103K,82,$24.6M,2157
255,Adrien Silva,28,82,$103K,82,$24.6M,2157
256,S. Giovinco,30,82,$17K,82,$24.1M,1952
257,Bruno,33,82,$50K,82,$14.6M,2022
258,M. Kruse,29,82,$52K,82,$24.6M,2052
259,L. Fejsa,28,82,$20K,82,$20.2M,1943
260,V. Ćorluka,31,82,$60K,82,$16.8M,1922
261,G. Wijnaldum,26,82,$146K,83,$28.6M,2167
262,A. Lallana,29,82,$151K,82,$24.1M,2123
263,O. Giroud,30,82,$168K,82,$24.1M,1939
264,B. Ivanović,33,82,$82K,82,$10.1M,1986
265,Adán,30,82,$29K,82,$15.7M,1280
266,Y. Sommer,28,82,$43K,83,$20.2M,1296
267,A. Witsel,28,82,$0,82,$0,2137
268,K. Gameiro,30,82,$82K,82,$24.1M,2036
269,Lucas Leiva,30,82,$66K,82,$18.5M,2095
270,G. Cahill,31,82,$140K,82,$16.8M,1820
271,S. Mandanda,32,82,$35K,82,$14M,1211
272,K. Schmeichel,30,82,$73K,82,$15.7M,1351
273,A. Consigli,30,82,$58K,82,$15.7M,1181
274,João Moutinho,30,82,$54K,82,$23M,2193
275,Borja Valero,32,82,$90K,82,$19M,2062
276,L. Biglia,31,82,$118K,82,$16.8M,2117
277,Juanfran,32,82,$69K,82,$14M,2070
278,Diego López,35,82,$22K,82,$5.6M,1197
279,Casillas,36,82,$11K,82,$3.4M,1291
280,M. Škriniar,22,81,$65K,88,$24.1M,1727
281,M. Rashford,19,81,$83K,90,$29.7M,2057
282,Nélson Semedo,23,81,$140K,87,$23M,2039
283,Pau López,22,81,$26K,86,$19M,1285
284,A. Kramarić,26,81,$55K,83,$24.6M,1954
285,Williams,23,81,$34K,87,$27.4M,1966
286,Dani García,27,81,$29K,82,$19M,1938
287,K. Baldé,22,81,$43K,88,$28M,1932
288,João Mário,24,81,$72K,84,$25.2M,2071
289,Anderson Talisca,23,81,$17K,88,$28M,2103
290,D. Rugani,22,81,$98K,88,$24.1M,1712
291,M. Sanson,22,81,$38K,87,$26.9M,2182
292,Ricardo Pereira,23,81,$17K,86,$22.4M,2127
293,Fred,24,81,$1K,86,$26.3M,2179
294,H. Ziyech,24,81,$18K,85,$25.8M,2038
295,S. Kolašinac,24,81,$102K,84,$20.7M,1930
296,J. Lingard,24,81,$129K,84,$25.2M,2061
297,F. Vázquez,28,81,$28K,81,$20.2M,1968
298,Sergio Rico,23,81,$16K,86,$19M,1231
299,B. Davies,24,81,$88K,84,$20.7M,2040
300,A. Rüdiger,24,81,$108K,85,$21.8M,1846
301,M. Nastasić,24,81,$42K,84,$21.3M,1777
302,M. Sabitzer,23,81,$71K,84,$25.2M,2049
303,M. Batshuayi,23,81,$134K,85,$26.3M,1866
304,J. Butland,24,81,$56K,86,$19M,1336
305,K. Bellarabi,27,81,$70K,81,$20.7M,1950
306,K. Bellarabi,27,81,$70K,81,$20.7M,1950
307,M. Depay,23,81,$80K,86,$26.9M,2034
308,Deulofeu,23,81,$168K,85,$25.8M,1939
309,T. Meunier,25,81,$86K,84,$20.7M,2158
310,E. Dier,23,81,$88K,85,$21.8M,2057
311,Felipe Anderson,24,81,$64K,84,$25.2M,2043
312,G. Kondogbia,24,81,$65K,85,$21.8M,2128
313,Rafinha,24,81,$157K,86,$26.3M,2077
314,Gabriel Paulista,26,81,$41K,83,$20.2M,1949
315,Nacho Fernández,27,81,$162K,83,$19.6M,1838
316,J. Iličić,29,81,$47K,81,$20.2M,1950
317,K. Volland,24,81,$67K,83,$25.2M,2073
318,J. Cillessen,28,81,$140K,83,$16.8M,1286
319,Allan,26,81,$83K,82,$23M,2120
320,F. Acerbi,29,81,$70K,81,$15.7M,1818
321,W. Ben Yedder,26,81,$29K,82,$23.5M,2012
322,A. Oxlade-Chamberlain,23,81,$118K,85,$25.8M,2091
323,Luis Alberto,24,81,$64K,86,$26.9M,1912
324,Rodrigo,26,81,$49K,82,$23.5M,2030
325,Bartra,26,81,$33K,83,$20.2M,2026
326,S. Aurier,24,81,$88K,84,$20.7M,2126
327,S. Coates,26,81,$23K,82,$19.6M,1756
328,S. Verdi,24,81,$70K,83,$24.6M,2019
329,A. Yarmolenko,27,81,$81K,81,$20.7M,2030
330,Neto,27,81,$33K,82,$15.7M,1290
331,D. Didavi,27,81,$81K,81,$20.7M,2082
332,Y. Belhanda,27,81,$79K,81,$20.7M,2137
333,G. Medel,29,81,$66K,81,$15.7M,2003
334,Mário Fernandes,26,81,$59K,81,$16.8M,2087
335,J. Corona,24,81,$19K,84,$25.2M,1969
336,S. El Shaarawy,24,81,$79K,83,$24.6M,1882
337,Illarramendi,27,81,$42K,81,$20.2M,2085
338,N. Clyne,26,81,$123K,82,$19M,2049
339,C. Smalling,27,81,$134K,82,$19M,1830
340,Iborra,29,81,$87K,81,$15.7M,2048
341,J. Wilshere,25,81,$129K,83,$24.1M,2106
342,S. Rudy,27,81,$118K,81,$20.2M,2117
343,R. Bürki,26,81,$55K,84,$17.4M,1250
344,M. Lanzini,24,81,$106K,86,$26.9M,1931
345,V. Wanyama,26,81,$103K,84,$20.7M,2090
346,R. Boudebouz,27,81,$36K,81,$20.7M,1993
347,Camacho,27,81,$74K,82,$19M,2024
348,F. Smolov,27,81,$66K,81,$21.3M,1972
349,L. Stindl,28,81,$58K,81,$20.7M,2157
350,A. Kolarov,31,81,$76K,81,$12.9M,2231
351,G. Sigurðsson,27,81,$134K,81,$20.7M,2110
352,M. Arnautović,28,81,$140K,81,$20.7M,2094
353,D. Perotti,28,81,$94K,81,$20.2M,1931
354,J. Henderson,27,81,$123K,83,$19.6M,2176
355,M. Parolo,32,81,$67K,81,$15.1M,2150
356,A. Rami,31,81,$40K,81,$13.4M,1776
357,A. Rami,31,81,$40K,81,$13.4M,1776
358,F. Muslera,31,81,$58K,81,$12.3M,1364
359,Marcelo,30,81,$76K,81,$14.6M,1832
360,S. Coleman,28,81,$129K,81,$15.7M,2067
361,Beñat,30,81,$36K,81,$18.5M,2097
362,M. Valbuena,32,81,$97K,81,$15.7M,1938
363,K. Boateng,30,81,$43K,81,$18.5M,2188
364,Marcano,30,81,$20K,81,$14.6M,1813
365,A. Candreva,30,81,$83K,81,$19M,2066
366,D. Criscito,30,81,$75K,81,$14.6M,2118
367,D. Astori,30,81,$76K,81,$14.6M,1656
368,D. Wass,28,81,$37K,81,$19.6M,2147
369,A. Guardado,30,81,$36K,81,$18.5M,2122
370,D. Sturridge,27,81,$146K,81,$21.3M,1865
371,D. Rose,26,81,$103K,81,$16.8M,2110
372,M. Škrtel,32,81,$81K,81,$11.2M,1659
373,T. Heaton,31,81,$57K,81,$12.3M,1271
374,L. Perrin,31,81,$47K,81,$13.4M,1986
375,Manuel Fernandes,31,81,$61K,81,$17.4M,2159
376,A. Gignac,31,81,$95K,81,$17.9M,2001
377,M. Gómez,31,81,$42K,81,$17.9M,1820
378,Gabi,33,81,$70K,81,$11.8M,2116
379,Raffael,32,81,$55K,81,$15.7M,2027
380,A. Turan,30,81,$179K,81,$18.5M,2130
381,Nani,30,81,$49K,81,$19M,1922
382,Rubén Castro,36,81,$30K,81,$7.3M,1900
383,David Villa,35,81,$12K,81,$9M,1986
384,J. Mathieu,33,81,$23K,81,$7.8M,2023
385,S. Eto'o,36,81,$25K,81,$7.3M,2019
386,J. Pavlenka,25,80,$30K,84,$15.1M,1048
387,M. Almirón,23,80,$13K,84,$21.8M,1986
388,O. Ndidi,20,80,$64K,86,$19.6M,2073
389,P. Kimpembe,21,80,$69K,88,$21.3M,1842
390,Gonçalo Guedes,20,80,$77K,89,$25.8M,1997
391,M. Acuña,25,80,$24K,81,$19.6M,2176
392,J. Weigl,21,80,$52K,86,$19.6M,1939
393,Mariano,23,80,$80K,85,$22.4M,2017
394,Raúl,27,80,$18K,80,$14M,1822
395,Y. Mina,22,80,$140K,87,$20.2M,1781
396,C. Lenglet,22,80,$21K,88,$21.3M,1747
397,T. Bakayoko,22,80,$108K,85,$19M,1957
398,M. Brozović,24,80,$72K,82,$20.2M,2099
399,Jemerson,24,80,$39K,83,$17.9M,1706
400,A. Correa,22,80,$61K,86,$23M,2015
401,K. Demirbay,23,80,$44K,84,$21.8M,2056
402,Bruma,22,80,$71K,85,$22.4M,1981
403,E. Hysaj,23,80,$65K,84,$17.9M,1925
404,Samu Castillejo,22,80,$40K,85,$22.4M,1923
405,A. Romagnoli,22,80,$93K,87,$20.2M,1698
406,P. Zieliński,23,80,$72K,87,$23M,2037
407,Grimaldo,21,80,$14K,87,$19.6M,2096
408,Grimaldo,21,80,$14K,87,$19.6M,2096
409,T. Partey,24,80,$55K,86,$19.6M,2056
410,R. Guerreiro,23,80,$58K,85,$18.5M,2177
411,J. Hector,27,80,$47K,80,$13.4M,2055
412,E. Can,23,80,$118K,85,$21.8M,2144
413,A. Doucouré,24,80,$61K,84,$18.5M,2066
414,H. Çalhanoğlu,23,80,$118K,84,$21.8M,2070
415,Gerard Moreno,25,80,$44K,83,$21.3M,1950
416,M. Keane,24,80,$102K,83,$17.9M,1876
417,L. Paredes,23,80,$72K,85,$21.8M,2114
418,A. Pléa,24,80,$46K,83,$21.3M,2061
419,T. Stepanenko,27,80,$1K,81,$15.7M,2014
420,Leo Baptistao,24,80,$40K,83,$21.3M,1857
421,E. Višća,27,80,$40K,80,$17.4M,2011
422,Bernard,24,80,$1K,83,$21.3M,1917
423,Denis Suárez,23,80,$157K,87,$23M,2005
424,J. Pickford,23,80,$79K,86,$16.8M,1368
425,W. Orban,24,80,$64K,82,$17.4M,1661
426,Roque Mesa,28,80,$87K,80,$13.4M,1973
427,J. Brooks,24,80,$64K,85,$19M,1724
428,C. Kramer,26,80,$47K,81,$16.2M,1860
429,S. Vrsaljko,25,80,$61K,83,$17.4M,2062
430,L. Karius,24,80,$79K,84,$15.7M,1221
431,Héctor Bellerín,22,80,$102K,86,$19M,1992
432,J. Stones,23,80,$118K,86,$19.6M,1819
433,D. Klaassen,24,80,$118K,83,$20.7M,2082
434,J. Vestergaard,24,80,$40K,82,$17.4M,1747
435,S. Sané,26,80,$53K,80,$14.6M,1831
436,M. Rojo,27,80,$134K,81,$15.7M,2023
437,F. Ghoulam,26,80,$76K,81,$15.7M,2084
438,J. Murillo,25,80,$72K,84,$17.9M,1850
439,B. Lecomte,26,80,$30K,84,$15.1M,1104
440,M. Uth,25,80,$53K,81,$20.2M,1915
441,P. Hernández,30,80,$36K,80,$15.1M,2061
442,M. van Ginkel,24,80,$123K,82,$20.2M,2140
443,Lucas Pérez,28,80,$151K,80,$17.4M,2005
444,R. Barkley,23,80,$123K,83,$21.3M,2005
445,L. Muriel,26,80,$29K,81,$19.6M,1896
446,V. Aboubakar,25,80,$22K,83,$21.3M,1967
447,C. Aránguiz,28,80,$73K,80,$16.2M,2121
448,Pablo Sarabia,25,80,$25K,81,$19.6M,1883
449,J. Guilavogui,26,80,$74K,82,$16.8M,1967
450,D. Caligiuri,29,80,$56K,80,$16.2M,2125
451,O. Özyakup,24,80,$60K,85,$21.8M,2141
452,Y. Rakitskyi,27,80,$1K,82,$16.2M,2115
453,D. Lovren,27,80,$123K,82,$16.2M,1729
454,P. Jones,25,80,$129K,81,$16.2M,1892
455,Hugo Mallo,26,80,$33K,83,$16.8M,1912
456,R. Rodríguez,24,80,$93K,83,$17.4M,2184
457,A. Areola,24,80,$60K,84,$15.7M,1270
458,C. Tosun,26,80,$146K,82,$20.2M,1944
459,C. Tosun,26,80,$146K,82,$20.2M,1944
460,K. Casteels,25,80,$56K,83,$14.6M,1237
461,Mario Gaspar,26,80,$42K,81,$15.7M,2091
462,K. Vogt,25,80,$44K,82,$16.8M,1953
463,A. Kokorin,26,80,$90K,81,$19.6M,2029
464,Maicon,28,80,$76K,80,$13.4M,1889
465,E. Salvio,26,80,$21K,80,$17.9M,2041
466,D. Blind,27,80,$134K,80,$13.4M,2069
467,J. Zoet,26,80,$19K,83,$14.6M,1280
468,A. Ljajić,25,80,$60K,82,$20.2M,1922
469,Iago Falqué,27,80,$68K,80,$17.4M,1940
470,De Marcos,28,80,$34K,80,$12.9M,2096
471,B. Mee,27,80,$71K,80,$14M,1837
472,Susaeta,29,80,$41K,80,$16.2M,1938
473,F. Coquelin,26,80,$41K,81,$16.2M,2020
474,K. Trapp,26,80,$73K,81,$13.4M,1184
475,N. Nkoulou,27,80,$76K,80,$14M,1877
476,A. Dzagoev,27,80,$64K,80,$16.8M,2131
477,M. Musacchio,26,80,$108K,80,$14.6M,1888
478,K. Trippier,26,80,$103K,81,$15.7M,2081
479,D. Drinkwater,27,80,$140K,80,$16.8M,2073
480,I. Traoré,29,80,$53K,80,$16.2M,1987
481,P. Piatti,28,80,$44K,80,$16.8M,1982
482,O. Karnezis,31,80,$31K,80,$10.1M,1202
483,M. Sakho,27,80,$71K,81,$15.7M,1709
484,Sidnei,27,80,$33K,82,$16.2M,1804
485,S. Jovetić,27,80,$54K,80,$17.9M,1968
486,Eder,30,80,$90K,80,$16.2M,1941
487,Fabricio,29,80,$54K,81,$12.9M,1360
488,Kiko Casilla,30,80,$134K,80,$10.6M,1281
489,Nacho Monreal,31,80,$123K,80,$11.2M,2027
490,S. Bender,28,80,$67K,80,$13.4M,1867
491,M. Schneiderlin,27,80,$123K,80,$14M,2044
492,M. Berg,30,80,$0,80,$0,1841
493,P. Wernbloom,31,80,$59K,80,$11.2M,2009
494,I. Piatti,32,80,$16K,80,$12.9M,2039
495,V. Birsa,30,80,$28K,80,$15.7M,2000
