,Height
398,181cm
399,184cm
400,172cm
401,182cm
402,173cm
403,182cm
404,182cm
405,188cm
406,180cm
407,171cm
408,171cm
409,185cm
410,170cm
411,185cm
412,184cm
413,182cm
414,178cm
415,180cm
416,191cm
417,180cm
418,181cm
419,181cm
420,181cm
421,172cm
422,164cm
423,176cm
424,185cm
425,186cm
426,171cm
427,193cm
428,191cm
429,181cm
430,189cm
431,178cm
432,188cm
433,179cm
434,199cm
435,196cm
436,187cm
437,184cm
438,182cm
439,186cm
440,185cm
441,185cm
442,186cm
443,180cm
444,189cm
445,179cm
446,184cm
447,171cm
448,174cm
449,188cm
450,182cm
451,180cm
452,180cm
453,188cm
454,185cm
455,173cm
456,180cm
457,195cm
458,183cm
459,183cm
460,197cm
461,182cm
462,194cm
463,181cm
464,191cm
465,173cm
466,180cm
467,189cm
468,182cm
469,174cm
470,182cm
471,183cm
472,179cm
473,177cm
474,189cm
475,184cm
476,179cm
477,180cm
478,178cm
479,177cm
480,171cm
481,163cm
482,190cm
483,187cm
484,185cm
485,183cm
486,179cm
487,185cm
488,190cm
489,179cm
490,185cm
491,185cm
492,184cm
493,187cm
494,180cm
495,184cm
496,183cm
497,184cm
498,193cm
499,192cm
500,177cm
501,199cm
502,178cm
503,184cm
504,181cm
505,177cm
506,186cm
507,192cm
508,192cm
509,172cm
510,172cm
511,182cm
512,183cm
513,190cm
514,174cm
515,170cm
516,180cm
517,184cm
518,188cm
519,184cm
520,187cm
521,192cm
522,183cm
523,186cm
524,176cm
525,168cm
526,173cm
527,182cm
528,193cm
529,186cm
530,175cm
531,187cm
532,183cm
533,188cm
534,182cm
535,176cm
536,186cm
537,186cm
538,188cm
539,188cm
540,176cm
541,181cm
542,189cm
543,177cm
544,186cm
545,180cm
546,185cm
547,180cm
548,183cm
549,166cm
550,175cm
551,184cm
552,187cm
553,187cm
554,180cm
555,186cm
556,177cm
557,188cm
558,171cm
559,180cm
560,171cm
561,171cm
562,176cm
563,178cm
564,182cm
565,175cm
566,183cm
567,187cm
568,192cm
569,174cm
570,193cm
571,173cm
572,172cm
573,172cm
574,182cm
575,175cm
576,178cm
577,182cm
578,181cm
579,170cm
580,188cm
581,184cm
582,173cm
583,175cm
584,182cm
585,186cm
586,185cm
587,184cm
588,180cm
589,194cm
590,183cm
591,192cm
592,180cm
593,175cm
594,170cm
595,182cm
596,183cm
597,183cm
598,196cm
599,171cm
600,186cm
601,182cm
602,178cm
603,178cm
604,175cm
605,169cm
606,179cm
607,175cm
608,181cm
609,184cm
610,183cm
611,186cm
612,186cm
613,178cm
614,181cm
615,186cm
616,187cm
617,171cm
618,187cm
619,184cm
620,182cm
621,176cm
622,179cm
623,186cm
624,178cm
625,192cm
626,169cm
627,187cm
628,193cm
629,188cm
630,180cm
631,177cm
632,181cm
633,192cm
634,183cm
635,183cm
636,178cm
637,182cm
638,173cm
639,182cm
640,192cm
641,186cm
642,170cm
643,188cm
644,185cm
645,187cm
646,187cm
647,190cm
648,177cm
649,177cm
650,183cm
651,190cm
652,194cm
653,180cm
654,174cm
655,179cm
656,175cm
657,178cm
658,175cm
659,186cm
660,194cm
661,172cm
662,184cm
663,184cm
664,181cm
665,186cm
666,182cm
667,179cm
668,175cm
669,180cm
670,179cm
671,188cm
672,184cm
673,178cm
674,176cm
675,173cm
676,179cm
677,178cm
678,188cm
679,174cm
680,178cm
681,175cm
682,189cm
683,177cm
684,182cm
685,186cm
686,190cm
687,186cm
688,176cm
689,188cm
690,191cm
691,187cm
692,186cm
693,180cm
694,191cm
695,179cm
696,170cm
697,186cm
698,175cm
699,180cm
700,175cm
701,179cm
702,186cm
703,183cm
704,187cm
705,185cm
706,187cm
707,178cm
708,187cm
709,184cm
710,180cm
711,184cm
712,186cm
713,178cm
714,178cm
715,180cm
716,168cm
717,173cm
718,190cm
719,179cm
720,187cm
721,169cm
722,174cm
723,171cm
724,182cm
725,180cm
726,180cm
727,183cm
728,180cm
729,173cm
730,192cm
731,180cm
732,193cm
733,184cm
734,189cm
735,178cm
736,186cm
737,189cm
738,190cm
739,178cm
740,182cm
741,178cm
742,190cm
743,180cm
744,186cm
745,171cm
746,178cm
747,190cm
748,180cm
749,183cm
750,187cm
751,175cm
752,175cm
753,173cm
754,186cm
755,185cm
756,180cm
757,184cm
758,187cm
759,186cm
760,173cm
761,176cm
762,186cm
763,181cm
764,191cm
765,191cm
766,190cm
767,180cm
768,186cm
769,169cm
770,178cm
771,187cm
772,170cm
773,190cm
774,175cm
775,185cm
776,188cm
777,192cm
778,200cm
779,166cm
780,182cm
781,188cm
782,178cm
783,171cm
784,187cm
785,189cm
786,176cm
787,184cm
788,177cm
789,172cm
790,188cm
791,184cm
792,185cm
793,187cm
794,178cm
795,182cm
796,194cm
797,181cm
798,185cm
799,183cm
800,184cm
801,181cm
802,176cm
803,192cm
804,180cm
805,184cm
806,189cm
807,185cm
808,185cm
809,174cm
810,181cm
811,190cm
812,176cm
813,175cm
814,186cm
815,180cm
816,180cm
817,182cm
818,182cm
819,189cm
820,181cm
821,168cm
822,179cm
823,182cm
824,181cm
825,187cm
826,185cm
827,180cm
828,177cm
829,182cm
830,188cm
831,172cm
832,183cm
833,174cm
834,185cm
835,194cm
836,190cm
837,184cm
838,184cm
839,182cm
840,169cm
841,180cm
842,178cm
843,184cm
844,185cm
845,187cm
846,171cm
847,168cm
848,173cm
849,185cm
850,185cm
851,182cm
852,187cm
853,193cm
854,176cm
855,173cm
856,191cm
857,192cm
858,188cm
859,191cm
860,193cm
861,180cm
862,188cm
863,175cm
864,179cm
865,173cm
866,180cm
867,180cm
868,183cm
869,183cm
870,197cm
871,184cm
872,189cm
873,185cm
874,178cm
875,179cm
876,183cm
877,180cm
878,186cm
879,183cm
880,193cm
881,176cm
882,183cm
883,183cm
884,178cm
885,183cm
886,192cm
887,177cm
888,180cm
889,179cm
890,187cm
891,179cm
892,184cm
893,191cm
894,172cm
895,186cm
896,180cm
897,174cm
898,183cm
899,178cm
900,181cm
901,172cm
902,177cm
903,179cm
904,176cm
905,193cm
906,188cm
907,186cm
908,181cm
909,189cm
910,183cm
911,185cm
912,170cm
913,176cm
914,175cm
915,182cm
916,196cm
917,182cm
918,179cm
919,184cm
920,178cm
921,180cm
922,183cm
923,190cm
924,190cm
925,172cm
926,172cm
927,182cm
928,176cm
929,183cm
930,176cm
931,183cm
932,184cm
933,176cm
934,182cm
935,173cm
936,173cm
937,186cm
938,180cm
939,172cm
940,179cm
941,189cm
942,201cm
943,181cm
944,180cm
945,170cm
946,188cm
947,193cm
948,173cm
949,179cm
950,184cm
951,189cm
952,170cm
953,186cm
954,193cm
955,175cm
956,192cm
957,191cm
958,174cm
959,188cm
960,177cm
961,181cm
962,189cm
963,182cm
964,179cm
965,190cm
966,186cm
967,176cm
968,188cm
969,188cm
970,183cm
971,182cm
972,170cm
973,175cm
974,185cm
975,187cm
976,177cm
977,189cm
978,166cm
979,181cm
980,193cm
981,186cm
982,187cm
983,190cm
984,185cm
985,176cm
986,188cm
987,180cm
988,175cm
989,186cm
990,168cm
991,188cm
992,184cm
993,181cm
994,168cm
995,181cm
996,183cm
997,177cm
998,193cm
999,185cm
1000,177cm
1001,183cm
1002,176cm
1003,179cm
1004,182cm
1005,178cm
1006,180cm
1007,183cm
1008,180cm
1009,173cm
1010,183cm
1011,177cm
1012,181cm
1013,185cm
1014,175cm
1015,186cm
1016,186cm
1017,178cm
1018,173cm
1019,176cm
1020,176cm
1021,194cm
1022,173cm
1023,172cm
1024,187cm
1025,178cm
1026,167cm
1027,197cm
1028,184cm
1029,177cm
1030,186cm
1031,182cm
1032,175cm
1033,185cm
1034,194cm
1035,177cm
1036,185cm
1037,183cm
1038,180cm
1039,186cm
1040,168cm
1041,182cm
1042,175cm
1043,191cm
1044,183cm
1045,180cm
1046,188cm
1047,183cm
1048,176cm
1049,178cm
1050,185cm
1051,182cm
1052,168cm
1053,170cm
1054,186cm
1055,182cm
1056,187cm
1057,197cm
1058,170cm
1059,180cm
1060,183cm
1061,174cm
1062,188cm
1063,183cm
1064,173cm
1065,182cm
1066,173cm
1067,180cm
1068,172cm
1069,191cm
1070,187cm
1071,187cm
1072,185cm
1073,189cm
1074,177cm
1075,184cm
1076,189cm
1077,178cm
1078,190cm
1079,189cm
1080,182cm
1081,180cm
1082,178cm
1083,174cm
1084,192cm
1085,185cm
1086,186cm
1087,181cm
1088,175cm
1089,175cm
1090,172cm
1091,186cm
1092,182cm
1093,185cm
1094,171cm
1095,183cm
1096,179cm
1097,178cm
1098,191cm
1099,181cm
1100,181cm
1101,185cm
1102,172cm
1103,187cm
1104,176cm
1105,185cm
1106,170cm
1107,188cm
1108,176cm
1109,188cm
1110,183cm
1111,176cm
1112,185cm
1113,184cm
1114,179cm
1115,190cm
1116,180cm
1117,179cm
1118,188cm
1119,190cm
1120,187cm
1121,177cm
1122,177cm
1123,176cm
1124,175cm
1125,183cm
1126,174cm
1127,186cm
1128,178cm
1129,165cm
1130,190cm
1131,180cm
1132,193cm
1133,168cm
1134,177cm
1135,188cm
1136,175cm
1137,185cm
1138,183cm
1139,170cm
1140,176cm
1141,187cm
1142,187cm
1143,185cm
1144,185cm
1145,190cm
1146,179cm
1147,188cm
1148,179cm
1149,185cm
1150,184cm
1151,171cm
1152,185cm
1153,175cm
1154,175cm
1155,166cm
1156,181cm
1157,179cm
1158,185cm
1159,188cm
1160,185cm
1161,190cm
1162,180cm
1163,178cm
1164,184cm
1165,185cm
1166,196cm
1167,176cm
1168,185cm
1169,192cm
1170,169cm
1171,186cm
1172,183cm
1173,183cm
1174,189cm
1175,189cm
1176,179cm
1177,171cm
1178,188cm
1179,180cm
1180,182cm
1181,183cm
1182,182cm
1183,176cm
1184,175cm
1185,172cm
1186,181cm
1187,184cm
1188,189cm
1189,188cm
1190,188cm
1191,183cm
1192,170cm
1193,186cm
1194,185cm
1195,183cm
1196,173cm
1197,173cm
1198,183cm
1199,187cm
1200,190cm
1201,190cm
1202,180cm
1203,186cm
1204,165cm
1205,178cm
1206,171cm
1207,179cm
1208,188cm
1209,186cm
1210,192cm
1211,166cm
1212,174cm
1213,183cm
1214,181cm
1215,181cm
1216,186cm
1217,179cm
1218,189cm
1219,172cm
1220,196cm
1221,178cm
1222,187cm
1223,187cm
1224,187cm
1225,178cm
1226,177cm
1227,178cm
1228,178cm
1229,177cm
1230,180cm
1231,172cm
1232,183cm
1233,172cm
1234,197cm
1235,182cm
1236,180cm
1237,185cm
1238,175cm
1239,183cm
1240,182cm
1241,189cm
1242,180cm
1243,176cm
1244,172cm
1245,194cm
1246,180cm
1247,180cm
1248,188cm
1249,174cm
1250,186cm
1251,189cm
1252,190cm
1253,193cm
1254,181cm
1255,189cm
1256,187cm
1257,175cm
1258,180cm
1259,188cm
1260,182cm
1261,194cm
1262,178cm
1263,170cm
1264,180cm
1265,177cm
1266,178cm
1267,176cm
1268,186cm
1269,193cm
1270,187cm
1271,180cm
1272,185cm
1273,187cm
1274,188cm
1275,188cm
1276,182cm
1277,173cm
1278,185cm
1279,168cm
1280,188cm
1281,187cm
1282,168cm
1283,176cm
1284,176cm
1285,178cm
1286,175cm
1287,185cm
1288,160cm
1289,188cm
1290,176cm
1291,177cm
1292,175cm
1293,188cm
1294,189cm
1295,178cm
1296,175cm
1297,183cm
1298,178cm
1299,175cm
1300,173cm
1301,188cm
1302,168cm
1303,187cm
1304,186cm
1305,173cm
1306,182cm
1307,174cm
1308,186cm
1309,180cm
1310,185cm
1311,180cm
1312,179cm
1313,190cm
1314,170cm
1315,187cm
1316,180cm
1317,191cm
1318,180cm
1319,185cm
1320,178cm
1321,183cm
1322,187cm
1323,186cm
1324,187cm
1325,187cm
1326,187cm
1327,183cm
1328,177cm
1329,182cm
1330,175cm
1331,179cm
1332,174cm
1333,175cm
1334,173cm
1335,188cm
1336,182cm
1337,180cm
1338,184cm
1339,180cm
1340,186cm
1341,191cm
1342,185cm
1343,183cm
1344,177cm
1345,170cm
1346,175cm
1347,176cm
1348,180cm
1349,175cm
1350,187cm
1351,185cm
1352,175cm
1353,180cm
1354,190cm
1355,183cm
1356,186cm
1357,176cm
1358,181cm
1359,182cm
1360,170cm
1361,182cm
1362,183cm
1363,180cm
1364,189cm
1365,188cm
1366,178cm
1367,189cm
1368,182cm
1369,189cm
1370,184cm
1371,178cm
1372,180cm
1373,181cm
1374,178cm
1375,194cm
1376,182cm
1377,182cm
1378,178cm
1379,175cm
1380,188cm
1381,170cm
1382,191cm
1383,182cm
1384,188cm
1385,179cm
1386,184cm
1387,193cm
1388,191cm
1389,176cm
1390,185cm
1391,183cm
1392,181cm
1393,176cm
1394,182cm
1395,175cm
1396,180cm
1397,190cm
1398,178cm
1399,179cm
1400,178cm
1401,179cm
1402,186cm
1403,172cm
1404,189cm
1405,185cm
1406,181cm
1407,178cm
1408,184cm
1409,180cm
1410,180cm
1411,194cm
1412,187cm
1413,172cm
1414,168cm
1415,171cm
1416,187cm
1417,175cm
1418,188cm
1419,185cm
1420,185cm
1421,172cm
1422,176cm
1423,180cm
1424,182cm
1425,186cm
1426,186cm
1427,197cm
1428,197cm
1429,186cm
1430,182cm
1431,193cm
1432,188cm
1433,183cm
1434,179cm
1435,181cm
1436,185cm
1437,180cm
1438,191cm
1439,179cm
1440,190cm
1441,173cm
1442,175cm
1443,184cm
1444,183cm
1445,185cm
1446,185cm
1447,176cm
1448,181cm
1449,181cm
1450,180cm
1451,195cm
1452,167cm
1453,192cm
1454,196cm
1455,179cm
1456,188cm
1457,184cm
1458,180cm
1459,164cm
1460,179cm
1461,189cm
1462,175cm
1463,195cm
1464,192cm
1465,190cm
1466,187cm
1467,187cm
1468,174cm
1469,188cm
1470,180cm
1471,186cm
1472,187cm
1473,184cm
1474,183cm
1475,196cm
1476,170cm
1477,201cm
1478,173cm
1479,173cm
1480,173cm
1481,180cm
1482,192cm
1483,190cm
1484,176cm
1485,190cm
1486,185cm
1487,178cm
1488,188cm
1489,186cm
1490,175cm
1491,189cm
1492,177cm
1493,181cm
1494,188cm
1495,183cm
1496,185cm
1497,191cm
1498,184cm
1499,184cm
1500,184cm
1501,181cm
1502,185cm
1503,191cm
1504,172cm
1505,178cm
1506,177cm
1507,178cm
1508,178cm
1509,183cm
1510,178cm
1511,176cm
1512,185cm
1513,185cm
1514,185cm
1515,180cm
1516,190cm
1517,179cm
1518,178cm
1519,178cm
1520,178cm
1521,182cm
1522,183cm
1523,175cm
1524,186cm
1525,177cm
1526,178cm
1527,179cm
1528,170cm
1529,188cm
1530,188cm
1531,182cm
1532,183cm
1533,176cm
1534,173cm
1535,197cm
1536,186cm
1537,174cm
1538,187cm
1539,177cm
1540,183cm
1541,178cm
1542,190cm
1543,183cm
1544,192cm
1545,173cm
1546,165cm
1547,184cm
1548,187cm
1549,192cm
1550,176cm
1551,194cm
1552,181cm
1553,187cm
1554,179cm
1555,187cm
1556,186cm
1557,195cm
1558,166cm
1559,184cm
1560,186cm
1561,188cm
1562,185cm
1563,173cm
1564,179cm
1565,178cm
1566,182cm
1567,188cm
1568,183cm
1569,181cm
1570,174cm
1571,186cm
1572,179cm
1573,179cm
1574,180cm
1575,180cm
1576,172cm
1577,192cm
1578,181cm
1579,189cm
1580,189cm
1581,189cm
1582,186cm
1583,183cm
1584,173cm
1585,192cm
1586,188cm
1587,169cm
1588,180cm
1589,175cm
1590,172cm
1591,180cm
1592,185cm
1593,187cm
1594,186cm
1595,184cm
1596,178cm
1597,184cm
1598,177cm
1599,185cm
1600,178cm
1601,169cm
1602,177cm
1603,186cm
1604,182cm
1605,176cm
1606,185cm
1607,180cm
1608,184cm
1609,177cm
1610,169cm
1611,195cm
1612,183cm
1613,174cm
1614,178cm
1615,170cm
1616,173cm
1617,180cm
1618,188cm
1619,184cm
1620,181cm
1621,178cm
1622,170cm
1623,191cm
1624,194cm
1625,176cm
1626,168cm
1627,174cm
1628,191cm
1629,196cm
1630,183cm
1631,188cm
1632,188cm
1633,177cm
1634,187cm
1635,190cm
1636,177cm
1637,195cm
1638,191cm
1639,178cm
1640,179cm
1641,188cm
1642,178cm
1643,192cm
1644,187cm
1645,188cm
1646,185cm
1647,165cm
1648,184cm
1649,190cm
1650,193cm
1651,186cm
1652,191cm
1653,178cm
1654,180cm
1655,176cm
1656,181cm
1657,184cm
1658,180cm
1659,170cm
1660,184cm
1661,188cm
1662,190cm
1663,188cm
1664,173cm
1665,182cm
1666,180cm
1667,185cm
1668,179cm
1669,165cm
1670,179cm
1671,178cm
1672,181cm
1673,191cm
1674,190cm
1675,170cm
1676,183cm
1677,174cm
1678,180cm
1679,165cm
1680,184cm
1681,176cm
1682,184cm
1683,184cm
1684,183cm
1685,178cm
1686,175cm
1687,191cm
1688,178cm
1689,175cm
1690,186cm
1691,176cm
1692,189cm
1693,192cm
1694,175cm
1695,184cm
1696,183cm
1697,175cm
1698,173cm
1699,175cm
1700,178cm
1701,187cm
1702,173cm
1703,184cm
1704,177cm
1705,179cm
1706,183cm
1707,191cm
1708,179cm
1709,185cm
1710,178cm
1711,183cm
1712,179cm
1713,175cm
1714,185cm
1715,193cm
1716,188cm
1717,187cm
1718,196cm
1719,182cm
1720,176cm
1721,178cm
1722,178cm
1723,169cm
1724,180cm
1725,192cm
1726,174cm
1727,174cm
1728,174cm
1729,178cm
1730,173cm
1731,184cm
1732,188cm
1733,175cm
1734,175cm
1735,172cm
1736,187cm
1737,170cm
1738,185cm
1739,187cm
1740,178cm
1741,177cm
1742,188cm
1743,180cm
1744,187cm
1745,172cm
1746,187cm
1747,173cm
1748,171cm
1749,176cm
1750,182cm
1751,176cm
1752,184cm
1753,184cm
1754,168cm
1755,186cm
1756,187cm
1757,180cm
1758,182cm
1759,192cm
1760,186cm
1761,176cm
1762,187cm
1763,179cm
1764,188cm
1765,192cm
1766,176cm
1767,179cm
1768,196cm
1769,185cm
1770,185cm
1771,187cm
1772,184cm
1773,180cm
1774,179cm
1775,181cm
1776,182cm
1777,158cm
1778,180cm
1779,173cm
1780,174cm
1781,171cm
1782,173cm
1783,179cm
1784,187cm
1785,187cm
1786,193cm
1787,175cm
1788,182cm
1789,182cm
1790,184cm
1791,188cm
1792,182cm
1793,186cm
1794,180cm
1795,182cm
1796,180cm
1797,188cm
1798,184cm
1799,179cm
1800,187cm
1801,184cm
1802,176cm
1803,182cm
1804,185cm
1805,167cm
1806,181cm
1807,173cm
1808,188cm
1809,174cm
1810,185cm
1811,175cm
1812,182cm
1813,180cm
1814,180cm
1815,181cm
1816,192cm
1817,167cm
1818,172cm
1819,189cm
1820,173cm
1821,180cm
1822,177cm
1823,193cm
1824,188cm
1825,187cm
1826,178cm
1827,183cm
1828,174cm
1829,185cm
1830,176cm
1831,174cm
1832,185cm
1833,180cm
1834,168cm
1835,186cm
1836,186cm
1837,176cm
1838,172cm
1839,170cm
1840,175cm
1841,183cm
1842,190cm
1843,188cm
1844,181cm
1845,187cm
1846,187cm
1847,166cm
1848,193cm
1849,180cm
1850,184cm
1851,171cm
1852,183cm
1853,183cm
1854,177cm
1855,191cm
1856,189cm
1857,174cm
1858,186cm
1859,177cm
1860,181cm
1861,185cm
1862,187cm
1863,188cm
1864,176cm
1865,182cm
1866,183cm
1867,174cm
1868,178cm
1869,176cm
1870,178cm
1871,194cm
1872,184cm
1873,180cm
1874,175cm
1875,186cm
1876,183cm
1877,183cm
1878,183cm
1879,188cm
1880,188cm
1881,189cm
1882,190cm
1883,175cm
1884,188cm
1885,186cm
1886,181cm
1887,181cm
1888,187cm
1889,190cm
1890,194cm
1891,186cm
1892,180cm
1893,168cm
1894,184cm
1895,177cm
1896,178cm
1897,166cm
1898,183cm
1899,182cm
1900,192cm
1901,191cm
1902,186cm
1903,178cm
1904,187cm
1905,177cm
1906,187cm
1907,188cm
1908,187cm
1909,178cm
1910,173cm
1911,188cm
1912,178cm
1913,184cm
1914,190cm
1915,179cm
1916,178cm
1917,184cm
1918,175cm
1919,196cm
1920,175cm
1921,173cm
1922,182cm
1923,182cm
1924,168cm
1925,189cm
1926,183cm
1927,180cm
1928,178cm
1929,175cm
1930,191cm
1931,177cm
1932,181cm
1933,180cm
1934,184cm
1935,175cm
1936,183cm
1937,178cm
1938,178cm
1939,194cm
1940,180cm
1941,185cm
1942,190cm
1943,178cm
1944,186cm
1945,178cm
1946,187cm
1947,184cm
1948,197cm
1949,175cm
1950,185cm
1951,187cm
1952,191cm
1953,186cm
1954,191cm
1955,184cm
1956,183cm
1957,183cm
1958,176cm
1959,186cm
1960,189cm
1961,173cm
1962,183cm
1963,183cm
1964,194cm
1965,173cm
1966,183cm
1967,180cm
1968,177cm
1969,179cm
1970,192cm
1971,190cm
1972,190cm
1973,175cm
1974,176cm
1975,182cm
1976,186cm
1977,175cm
1978,176cm
1979,185cm
1980,190cm
1981,185cm
1982,188cm
1983,182cm
1984,186cm
1985,187cm
1986,182cm
1987,182cm
1988,182cm
1989,182cm
1990,182cm
1991,176cm
1992,175cm
1993,181cm
1994,175cm
1995,184cm
1996,183cm
1997,175cm
1998,175cm
1999,183cm
2000,191cm
2001,182cm
2002,178cm
2003,186cm
2004,191cm
2005,181cm
2006,180cm
2007,178cm
2008,178cm
2009,185cm
2010,178cm
2011,168cm
2012,188cm
2013,186cm
2014,187cm
2015,183cm
2016,175cm
2017,192cm
2018,192cm
2019,184cm
2020,188cm
2021,188cm
2022,182cm
2023,177cm
2024,183cm
2025,182cm
2026,188cm
2027,173cm
2028,171cm
2029,179cm
2030,183cm
2031,193cm
2032,170cm
2033,185cm
2034,188cm
2035,193cm
2036,190cm
2037,180cm
2038,180cm
2039,194cm
2040,194cm
2041,181cm
2042,178cm
2043,174cm
2044,184cm
2045,176cm
2046,191cm
2047,183cm
2048,193cm
2049,182cm
2050,175cm
2051,178cm
2052,184cm
2053,172cm
2054,171cm
2055,196cm
2056,178cm
2057,190cm
2058,174cm
2059,178cm
2060,173cm
2061,184cm
2062,177cm
2063,196cm
2064,188cm
2065,188cm
2066,182cm
2067,186cm
2068,178cm
2069,173cm
2070,187cm
2071,170cm
2072,174cm
2073,188cm
2074,187cm
2075,187cm
2076,180cm
2077,184cm
2078,178cm
2079,191cm
2080,185cm
2081,184cm
2082,188cm
2083,180cm
2084,180cm
2085,170cm
2086,190cm
2087,175cm
2088,177cm
2089,180cm
2090,187cm
2091,187cm
2092,166cm
2093,174cm
2094,185cm
2095,176cm
2096,176cm
2097,176cm
2098,177cm
2099,176cm
2100,180cm
2101,173cm
2102,175cm
2103,186cm
2104,182cm
2105,183cm
2106,185cm
2107,180cm
2108,187cm
2109,187cm
2110,182cm
2111,180cm
2112,185cm
2113,175cm
2114,183cm
2115,186cm
2116,182cm
2117,185cm
2118,190cm
2119,193cm
2120,186cm
2121,186cm
2122,186cm
2123,184cm
2124,185cm
2125,188cm
2126,179cm
2127,188cm
2128,184cm
2129,193cm
2130,180cm
2131,185cm
2132,176cm
2133,172cm
2134,198cm
2135,175cm
2136,186cm
2137,173cm
2138,184cm
2139,177cm
2140,190cm
