,Composure
366,75
367,74
368,73
369,76
370,81
371,75
372,71
373,56
374,80
375,77
376,80
377,85
378,83
379,79
380,83
381,79
382,70
383,83
384,76
385,83
386,39
387,76
388,74
389,74
390,78
391,86
392,80
393,68
394,75
395,80
396,74
397,68
398,78
399,76
400,74
401,77
402,72
403,76
404,71
405,74
406,74
407,77
408,77
409,75
410,75
411,80
412,74
413,74
414,78
415,72
416,73
417,74
418,75
419,81
420,71
421,78
422,71
423,70
424,56
425,71
426,79
427,81
428,77
429,67
430,34
431,70
432,79
433,78
434,71
435,78
436,71
437,75
438,73
439,38
440,76
441,68
442,84
443,75
444,80
445,75
446,80
447,76
448,70
449,74
450,75
451,82
452,78
453,70
454,72
455,70
456,81
457,35
458,74
459,74
460,40
461,69
462,78
463,82
464,71
465,78
466,83
467,61
468,75
469,78
470,76
471,74
472,79
473,74
474,48
475,77
476,78
477,76
478,73
479,78
480,79
481,68
482,22
483,75
484,71
485,80
486,78
487,65
488,51
489,76
490,81
491,83
492,75
493,76
494,82
495,80
496,71
497,60
498,62
499,63
500,75
501,62
502,83
503,83
504,75
505,79
506,68
507,71
508,55
509,83
510,83
511,71
512,76
513,63
514,83
515,83
516,78
517,82
518,77
519,79
520,53
521,78
522,75
523,67
524,77
525,88
526,85
527,78
528,65
529,85
530,86
531,82
532,87
533,39
534,80
535,86
536,69
537,66
538,81
539,72
540,78
541,69
542,69
543,67
544,71
545,80
546,41
547,85
548,78
549,80
550,77
551,66
552,74
553,79
554,76
555,72
556,60
557,77
558,77
559,67
560,70
561,70
562,81
563,72
564,73
565,76
566,73
567,79
568,24
569,74
570,26
571,78
572,70
573,73
574,77
575,82
576,66
577,67
578,73
579,75
580,68
581,76
582,76
583,73
584,74
585,72
586,74
587,72
588,77
589,76
590,67
591,74
592,81
593,70
594,74
595,76
596,77
597,67
598,35
599,77
600,72
601,75
602,74
603,71
604,69
605,71
606,70
607,82
608,77
609,69
610,49
611,80
612,80
613,83
614,67
615,72
616,78
617,69
618,15
619,75
620,78
621,69
622,80
623,78
624,70
625,42
626,77
627,71
628,71
629,74
630,79
631,78
632,72
633,41
634,74
635,72
636,73
637,73
638,76
639,80
640,44
641,77
642,76
643,61
644,76
645,78
646,70
647,45
648,70
649,63
650,76
651,77
652,72
653,73
654,76
655,70
656,70
657,76
658,80
659,70
660,78
661,78
662,75
663,75
664,81
665,71
666,73
667,81
668,81
669,84
670,76
671,72
672,74
673,60
674,76
675,82
676,84
677,77
678,78
679,68
680,80
681,70
682,75
683,74
684,86
685,69
686,52
687,56
688,84
689,71
690,49
691,60
692,57
693,76
694,84
695,80
696,79
697,65
698,77
699,68
700,69
701,71
702,79
703,78
704,79
705,71
706,33
707,69
708,23
709,68
710,69
711,76
712,68
713,83
714,83
715,82
716,77
717,75
718,71
719,71
720,74
721,68
722,75
723,72
724,74
725,76
726,67
727,67
728,73
729,69
730,49
731,75
732,70
733,74
734,76
735,71
736,71
737,28
738,58
739,76
740,75
741,69
742,69
743,79
744,69
745,64
746,71
747,74
748,72
749,74
750,70
751,68
752,71
753,66
754,27
755,50
756,72
757,77
758,46
759,77
760,71
761,77
762,73
763,73
764,69
765,69
766,67
767,77
768,73
769,76
770,69
771,80
772,73
773,67
774,76
775,39
776,60
777,70
778,48
779,69
780,71
781,70
782,71
783,72
784,74
785,79
786,78
787,74
788,72
789,69
790,49
791,76
792,72
793,79
794,66
795,69
796,77
797,74
798,78
799,75
800,56
801,71
802,84
803,73
804,74
805,76
806,75
807,83
808,79
809,78
810,68
811,36
812,72
813,67
814,77
815,82
816,82
817,75
818,82
819,78
820,71
821,69
822,75
823,81
824,78
825,64
826,68
827,69
828,69
829,77
830,74
831,76
832,75
833,82
834,74
835,54
836,75
837,76
838,73
839,70
840,77
841,74
842,75
843,75
844,74
845,75
846,74
847,83
848,77
849,71
850,60
851,76
852,81
853,76
854,76
855,77
856,73
857,54
858,82
859,75
860,75
861,75
862,83
863,74
864,79
865,76
866,76
867,76
868,76
869,72
870,65
871,73
872,69
873,76
874,77
875,79
876,75
877,71
878,68
879,72
880,30
881,74
882,29
883,77
884,74
885,66
886,74
887,63
888,78
889,71
890,69
891,68
892,80
893,68
894,77
895,73
896,78
897,83
898,78
899,72
900,81
901,81
902,78
903,48
904,84
905,67
906,79
907,80
908,82
909,80
910,72
911,75
912,75
913,80
914,77
915,82
916,55
917,79
918,68
919,76
920,77
921,76
922,75
923,69
924,75
925,76
926,81
927,79
928,70
929,74
930,84
931,66
932,76
933,77
934,74
935,77
936,79
937,75
938,77
939,69
940,73
941,71
942,58
943,79
944,68
945,69
946,75
947,45
948,69
949,80
950,64
951,67
952,69
953,73
954,65
955,81
956,76
957,67
958,80
959,64
960,68
961,77
962,74
963,69
964,74
965,67
966,72
967,73
968,73
969,73
970,76
971,79
972,72
973,76
974,72
975,67
976,73
977,65
978,73
979,73
980,72
981,78
982,74
983,72
984,69
985,77
986,74
987,73
988,74
989,77
990,76
991,70
992,69
993,74
994,74
995,82
996,67
997,75
998,76
999,69
1000,82
1001,73
1002,72
1003,80
1004,46
1005,78
1006,77
1007,77
1008,70
1009,70
1010,73
1011,73
1012,73
1013,75
1014,72
1015,76
1016,82
1017,70
1018,70
1019,80
1020,80
1021,72
1022,70
1023,73
1024,60
1025,72
1026,78
1027,56
1028,70
1029,74
1030,71
1031,70
1032,81
1033,70
1034,65
1035,74
1036,76
1037,81
1038,72
1039,72
1040,74
1041,64
1042,78
1043,82
1044,78
1045,81
1046,78
1047,74
1048,72
1049,71
1050,48
1051,68
1052,74
1053,74
1054,58
1055,75
1056,73
1057,50
1058,78
1059,83
1060,71
1061,74
1062,50
1063,82
1064,78
1065,72
1066,68
1067,78
1068,75
1069,68
1070,74
1071,74
1072,79
1073,69
1074,72
1075,69
1076,76
1077,72
1078,75
1079,73
1080,70
1081,72
1082,78
1083,84
1084,66
1085,68
1086,70
1087,48
1088,76
1089,75
1090,73
1091,74
1092,74
1093,74
1094,71
1095,68
1096,80
1097,80
1098,73
1099,67
1100,69
1101,72
1102,72
1103,79
1104,72
1105,72
1106,73
1107,64
1108,68
1109,79
1110,70
1111,76
1112,68
1113,72
1114,76
1115,71
1116,74
1117,74
1118,30
1119,69
1120,77
1121,78
1122,78
1123,75
1124,86
1125,69
1126,73
1127,74
1128,74
1129,77
1130,82
1131,74
1132,67
1133,78
1134,76
1135,72
1136,73
1137,71
1138,78
1139,69
1140,69
1141,76
1142,73
1143,74
1144,81
1145,72
1146,72
1147,75
1148,74
1149,65
1150,72
1151,72
1152,57
1153,77
1154,61
1155,80
1156,46
1157,79
1158,67
1159,67
1160,77
1161,33
1162,76
1163,73
1164,75
1165,74
1166,70
1167,80
1168,77
1169,32
1170,67
1171,69
1172,66
1173,66
1174,77
1175,73
1176,80
1177,74
1178,69
1179,74
1180,82
1181,74
1182,72
1183,73
1184,68
1185,80
1186,74
1187,45
1188,78
1189,78
1190,72
1191,69
1192,72
1193,64
1194,70
1195,69
1196,82
1197,77
1198,82
1199,67
1200,76
1201,30
1202,75
1203,77
1204,61
1205,73
1206,63
1207,73
1208,76
1209,45
1210,68
1211,74
1212,79
1213,67
1214,80
1215,72
1216,45
1217,74
1218,73
1219,68
1220,67
1221,76
1222,27
1223,76
1224,76
1225,74
1226,74
1227,70
1228,70
1229,68
1230,76
1231,70
1232,77
1233,72
1234,70
1235,80
1236,74
1237,72
1238,69
1239,69
1240,72
1241,74
1242,75
1243,66
1244,70
1245,60
1246,81
1247,72
1248,75
1249,74
1250,67
1251,28
1252,77
1253,73
1254,76
1255,74
1256,70
1257,80
1258,78
1259,71
1260,77
1261,68
1262,80
1263,72
1264,77
1265,72
1266,80
1267,73
1268,80
1269,51
1270,70
1271,74
1272,67
1273,60
1274,65
1275,65
1276,77
1277,73
1278,74
1279,67
1280,74
1281,72
1282,68
1283,71
1284,80
1285,74
1286,77
1287,72
1288,77
1289,73
1290,67
1291,83
1292,68
1293,60
1294,81
1295,68
1296,68
1297,72
1298,78
1299,80
1300,68
1301,69
1302,53
1303,72
1304,74
1305,72
1306,70
1307,78
1308,75
1309,77
1310,68
1311,70
1312,73
1313,71
1314,74
1315,74
1316,67
1317,52
1318,73
1319,76
1320,62
1321,72
1322,52
1323,67
1324,77
1325,75
1326,75
1327,73
1328,80
1329,77
1330,72
1331,72
1332,83
1333,70
1334,74
1335,75
1336,74
1337,71
1338,72
1339,76
1340,80
1341,32
1342,70
1343,77
1344,68
1345,72
1346,70
1347,65
1348,71
1349,78
1350,73
1351,73
1352,73
1353,72
1354,41
1355,72
1356,74
1357,77
1358,75
1359,31
1360,65
1361,42
1362,71
1363,73
1364,67
1365,76
1366,75
1367,68
1368,23
1369,68
1370,71
1371,72
1372,65
1373,69
1374,79
1375,52
1376,66
1377,66
1378,70
1379,84
1380,71
1381,75
1382,25
1383,76
1384,64
1385,75
1386,69
1387,64
1388,70
1389,70
1390,69
1391,44
1392,48
1393,75
1394,65
1395,68
1396,75
1397,67
1398,68
1399,70
1400,78
1401,74
1402,70
1403,82
1404,69
1405,52
1406,75
1407,74
1408,66
1409,71
1410,72
1411,72
1412,65
1413,68
1414,64
1415,76
1416,69
1417,65
1418,72
1419,63
1420,76
1421,73
1422,73
1423,75
1424,69
1425,70
1426,43
1427,46
1428,46
1429,70
1430,48
1431,63
1432,65
1433,66
1434,74
1435,76
1436,69
1437,78
1438,72
1439,66
1440,73
1441,70
1442,68
1443,76
1444,70
1445,72
1446,73
1447,73
1448,72
1449,74
1450,70
1451,69
1452,72
1453,70
1454,69
1455,75
1456,67
1457,67
1458,71
1459,81
1460,70
1461,73
1462,77
1463,74
1464,77
1465,68
1466,82
1467,73
1468,66
1469,79
1470,74
1471,45
1472,65
1473,28
1474,81
1475,68
1476,71
1477,34
1478,67
1479,67
1480,73
1481,68
1482,66
1483,75
1484,68
1485,32
1486,70
1487,78
1488,78
1489,68
1490,68
1491,72
1492,65
1493,65
1494,56
1495,69
1496,78
1497,70
1498,80
1499,48
1500,67
1501,76
1502,68
1503,28
1504,80
1505,76
1506,68
1507,73
1508,81
1509,73
1510,74
1511,75
1512,68
1513,22
1514,72
1515,71
1516,71
1517,72
1518,82
1519,74
1520,76
1521,68
1522,66
1523,68
1524,65
1525,78
1526,80
1527,66
1528,75
1529,70
1530,70
1531,72
1532,74
1533,75
1534,66
1535,78
1536,70
1537,80
1538,72
1539,75
1540,71
1541,69
1542,65
1543,71
1544,61
1545,72
1546,78
1547,77
1548,69
1549,75
1550,70
1551,72
1552,74
1553,75
1554,69
1555,58
1556,68
1557,60
1558,72
1559,67
1560,70
1561,73
1562,75
1563,70
1564,75
1565,76
1566,79
1567,71
1568,74
1569,74
1570,75
1571,70
1572,71
1573,63
1574,79
1575,68
1576,74
1577,72
1578,69
1579,45
1580,68
1581,68
1582,78
1583,76
1584,69
1585,66
1586,72
1587,79
1588,76
1589,77
1590,72
1591,76
1592,73
1593,48
1594,70
1595,64
1596,65
1597,65
1598,67
1599,77
1600,73
1601,75
1602,69
1603,68
1604,66
1605,73
1606,66
1607,77
1608,67
1609,71
1610,72
1611,74
1612,64
1613,70
1614,69
1615,76
1616,72
1617,78
1618,68
1619,70
1620,75
1621,70
1622,71
1623,67
1624,43
1625,77
1626,75
1627,63
1628,70
1629,70
1630,67
1631,71
1632,71
1633,75
1634,26
1635,67
1636,76
1637,30
1638,75
1639,76
1640,77
1641,73
1642,69
1643,72
1644,72
1645,66
1646,76
1647,65
1648,74
1649,79
1650,75
1651,81
1652,54
1653,72
1654,71
1655,72
1656,73
1657,69
1658,72
1659,67
1660,67
1661,61
1662,71
1663,73
1664,66
1665,74
1666,75
1667,74
1668,72
1669,70
1670,63
1671,69
1672,69
1673,67
1674,49
1675,75
1676,74
1677,73
1678,76
1679,64
1680,70
1681,72
1682,68
1683,68
1684,61
1685,67
1686,73
1687,70
1688,73
1689,72
1690,68
1691,78
1692,68
1693,62
1694,70
1695,71
1696,69
1697,77
1698,71
1699,62
1700,77
1701,74
1702,68
1703,74
1704,68
1705,70
1706,69
1707,80
1708,68
1709,71
1710,77
1711,76
1712,66
1713,73
1714,71
1715,73
1716,71
1717,81
1718,38
1719,73
1720,75
1721,71
1722,76
1723,68
1724,76
1725,39
1726,81
1727,76
1728,73
1729,71
1730,73
1731,60
1732,37
1733,71
1734,71
1735,69
1736,70
1737,61
1738,74
1739,37
1740,65
1741,75
1742,68
1743,81
1744,66
1745,63
1746,45
1747,67
1748,62
1749,71
1750,80
1751,67
1752,71
1753,86
1754,64
1755,75
1756,69
1757,68
1758,77
1759,69
1760,77
1761,65
1762,71
1763,80
1764,61
1765,71
1766,77
1767,70
1768,80
1769,55
1770,65
1771,69
1772,75
1773,78
1774,69
1775,79
1776,76
1777,76
1778,65
1779,71
1780,73
1781,71
1782,69
1783,67
1784,70
1785,70
1786,65
1787,73
1788,78
1789,63
1790,69
1791,63
1792,63
1793,60
1794,44
1795,58
1796,79
1797,60
1798,74
1799,75
1800,75
1801,72
1802,73
1803,68
1804,22
1805,76
1806,77
1807,66
1808,67
1809,75
1810,68
1811,78
1812,70
1813,84
1814,74
1815,73
1816,70
1817,76
1818,65
1819,62
1820,73
1821,69
1822,71
1823,43
1824,76
1825,83
1826,67
1827,74
1828,72
1829,74
1830,67
1831,73
1832,71
1833,67
1834,65
1835,77
1836,77
1837,77
1838,61
1839,74
1840,68
1841,26
1842,68
1843,64
1844,64
1845,74
1846,75
1847,76
1848,65
1849,71
1850,75
1851,76
1852,75
1853,68
1854,72
1855,56
1856,63
1857,79
1858,70
1859,67
1860,75
1861,68
1862,72
1863,70
1864,67
1865,58
1866,75
1867,75
1868,78
1869,82
1870,71
1871,74
1872,81
1873,73
1874,66
1875,74
1876,74
1877,77
1878,66
1879,76
1880,71
1881,72
1882,64
1883,76
1884,79
1885,71
1886,73
1887,73
1888,67
1889,66
1890,75
1891,43
1892,72
1893,69
1894,69
1895,67
1896,70
1897,73
1898,65
1899,73
1900,63
1901,48
1902,69
1903,65
1904,53
1905,82
1906,72
1907,67
1908,68
1909,76
1910,67
1911,68
1912,72
1913,62
1914,57
1915,75
1916,68
1917,72
1918,78
1919,75
1920,72
1921,62
1922,72
1923,65
1924,79
1925,65
1926,68
1927,68
1928,67
1929,69
1930,73
1931,71
1932,82
1933,76
1934,75
1935,65
1936,66
1937,74
1938,74
1939,80
1940,72
1941,76
1942,75
1943,69
1944,63
1945,66
1946,76
1947,71
1948,60
1949,81
1950,80
1951,44
1952,73
1953,68
1954,75
1955,73
1956,71
1957,70
1958,76
1959,71
1960,71
1961,70
1962,70
1963,58
1964,46
1965,75
1966,72
1967,21
1968,61
1969,76
1970,67
1971,30
1972,67
1973,75
1974,72
1975,68
1976,68
1977,67
1978,72
1979,66
1980,66
1981,71
1982,66
1983,61
1984,69
1985,75
1986,67
1987,76
1988,75
1989,75
1990,67
1991,78
1992,72
1993,80
1994,80
1995,71
1996,77
1997,69
1998,72
1999,72
2000,71
2001,74
2002,71
2003,71
2004,68
2005,70
2006,77
2007,72
2008,68
2009,72
2010,71
2011,70
2012,62
2013,64
2014,76
2015,73
2016,68
2017,21
2018,69
2019,65
2020,48
2021,78
2022,68
2023,71
2024,62
2025,67
2026,75
2027,84
2028,72
2029,73
2030,68
2031,75
2032,67
2033,65
2034,67
2035,71
2036,46
2037,64
2038,73
2039,40
2040,40
2041,70
2042,72
2043,74
2044,74
2045,63
2046,75
2047,67
2048,61
2049,74
2050,70
2051,72
2052,67
2053,61
2054,65
2055,70
2056,71
2057,73
2058,73
2059,70
2060,69
2061,71
2062,74
2063,48
2064,65
2065,76
2066,66
2067,78
2068,72
2069,79
2070,79
2071,67
2072,72
2073,62
2074,67
2075,68
2076,66
2077,73
2078,74
2079,74
2080,75
2081,70
2082,68
2083,72
2084,75
2085,71
2086,57
2087,71
2088,65
2089,80
2090,36
2091,36
2092,69
2093,76
2094,64
2095,70
2096,74
2097,64
2098,50
2099,75
2100,75
2101,71
2102,74
2103,76
2104,72
2105,67
2106,71
2107,66
2108,73
2109,67
2110,66
2111,68
2112,44
2113,67
2114,65
2115,67
2116,81
2117,68
2118,68
2119,68
2120,69
2121,83
2122,43
2123,74
2124,45
2125,60
2126,69
2127,80
2128,61
2129,66
2130,79
2131,65
2132,70
2133,77
2134,53
2135,57
2136,76
2137,76
2138,71
2139,81
2140,68
2141,72
2142,72
2143,80
2144,73
2145,58
2146,70
2147,76
2148,72
2149,75
2150,71
2151,67
2152,51
2153,47
2154,64
2155,80
2156,64
2157,77
2158,61
2159,67
2160,81
2161,53
2162,76
2163,67
2164,69
2165,71
2166,72
2167,65
2168,70
2169,73
2170,79
2171,68
2172,64
2173,63
2174,72
2175,67
2176,51
2177,75
2178,72
2179,64
2180,67
2181,43
2182,64
2183,55
2184,74
2185,69
2186,72
2187,68
2188,72
2189,73
2190,71
2191,68
2192,73
2193,73
2194,46
2195,68
2196,71
2197,72
2198,72
2199,74
2200,74
2201,67
2202,74
2203,71
2204,71
2205,61
2206,65
2207,69
2208,67
2209,71
2210,69
2211,68
2212,76
2213,31
2214,74
2215,76
2216,55
2217,75
2218,68
2219,49
2220,73
2221,67
2222,66
2223,65
2224,64
2225,68
2226,64
2227,68
2228,67
2229,68
2230,75
2231,70
2232,32
2233,70
2234,72
2235,67
2236,75
2237,69
2238,69
2239,69
2240,68
2241,71
2242,70
2243,69
2244,69
2245,64
2246,55
2247,83
2248,65
2249,62
2250,72
2251,41
2252,60
2253,67
2254,74
2255,66
2256,68
2257,66
2258,69
2259,67
2260,66
2261,70
2262,70
2263,64
2264,67
2265,72
2266,65
2267,59
2268,66
2269,66
2270,65
2271,75
2272,65
2273,69
2274,62
2275,67
2276,68
2277,82
2278,77
2279,68
2280,73
2281,70
2282,65
2283,74
2284,68
2285,78
2286,76
2287,66
2288,72
2289,77
2290,35
2291,62
2292,69
2293,71
2294,70
2295,70
2296,76
2297,74
2298,71
2299,72
2300,67
2301,78
2302,64
2303,73
2304,59
2305,66
2306,25
2307,75
2308,78
2309,70
2310,47
2311,67
2312,74
2313,64
2314,76
2315,50
2316,77
2317,72
2318,72
2319,53
2320,71
2321,64
2322,77
2323,69
2324,68
2325,74
2326,73
2327,60
2328,65
2329,72
2330,68
2331,58
2332,66
2333,68
2334,55
2335,66
2336,68
2337,77
2338,70
2339,73
2340,76
2341,64
2342,62
2343,64
2344,70
2345,67
2346,67
2347,72
2348,65
2349,81
2350,68
2351,73
2352,69
2353,64
2354,68
2355,65
2356,77
2357,71
2358,79
2359,71
2360,75
2361,53
2362,66
2363,45
2364,64
2365,79
2366,48
2367,78
2368,71
2369,80
2370,79
2371,78
2372,54
2373,76
2374,75
2375,48
2376,73
2377,71
2378,68
2379,72
2380,67
2381,69
2382,66
2383,80
2384,53
2385,76
2386,62
2387,66
2388,68
2389,72
2390,72
2391,72
2392,65
2393,68
2394,70
2395,62
2396,72
2397,72
2398,71
2399,79
2400,68
2401,72
2402,72
2403,73
2404,67
2405,66
2406,76
2407,74
2408,66
2409,65
2410,77
2411,71
2412,73
2413,74
2414,61
2415,64
2416,71
2417,74
2418,73
2419,64
2420,62
2421,65
2422,68
2423,69
2424,41
2425,70
2426,21
2427,74
2428,72
2429,70
2430,71
2431,65
2432,70
2433,75
2434,64
2435,64
2436,69
2437,62
2438,64
2439,57
2440,74
2441,62
2442,73
2443,68
2444,74
2445,70
2446,74
2447,32
2448,32
2449,72
2450,68
2451,70
2452,68
2453,75
2454,66
2455,75
2456,66
2457,67
2458,72
2459,69
2460,74
2461,74
2462,69
2463,25
2464,59
2465,72
2466,74
2467,62
2468,80
2469,73
2470,74
2471,65
2472,67
2473,76
2474,63
2475,70
2476,65
2477,67
2478,65
2479,66
2480,74
2481,74
2482,71
2483,74
2484,59
2485,72
2486,63
2487,76
2488,71
2489,71
2490,75
2491,65
2492,68
2493,74
2494,64
2495,42
2496,75
2497,72
2498,65
2499,65
2500,63
2501,55
2502,70
2503,67
2504,67
2505,66
2506,67
2507,72
2508,60
2509,68
2510,73
2511,68
2512,67
2513,75
2514,65
2515,65
2516,75
2517,68
2518,73
2519,53
2520,78
2521,78
2522,65
2523,73
2524,63
2525,76
2526,67
2527,74
2528,76
2529,66
2530,78
2531,68
2532,70
2533,71
2534,77
2535,59
2536,56
2537,65
2538,70
2539,45
2540,68
2541,71
2542,68
2543,66
2544,70
2545,62
2546,67
2547,65
2548,62
2549,17
2550,17
2551,50
2552,67
2553,78
2554,76
2555,66
2556,65
2557,71
2558,72
2559,70
2560,69
2561,67
2562,69
2563,68
2564,68
2565,72
2566,66
2567,48
2568,35
2569,61
2570,67
2571,69
2572,55
2573,66
2574,74
2575,83
2576,75
2577,82
2578,84
2579,67
2580,75
2581,38
2582,72
2583,66
2584,69
2585,73
2586,66
2587,67
2588,61
2589,75
2590,76
2591,72
2592,66
2593,74
2594,34
2595,76
2596,64
2597,70
2598,43
2599,70
2600,42
2601,42
2602,73
2603,76
2604,56
2605,70
2606,66
2607,71
2608,65
2609,69
2610,66
2611,65
2612,72
2613,74
2614,71
2615,57
2616,63
2617,72
2618,40
2619,74
2620,22
2621,68
2622,22
2623,67
2624,70
2625,73
2626,80
2627,68
2628,64
2629,63
2630,72
2631,71
2632,68
2633,66
2634,59
2635,55
2636,75
2637,67
2638,65
2639,45
2640,72
2641,77
2642,62
2643,62
2644,70
2645,64
2646,65
2647,60
2648,51
2649,65
2650,61
2651,42
2652,42
2653,67
2654,69
2655,60
2656,70
2657,69
2658,66
2659,75
2660,69
2661,76
2662,76
2663,65
2664,51
2665,62
2666,75
2667,69
2668,73
2669,76
2670,52
2671,68
2672,74
2673,77
2674,74
2675,72
2676,71
2677,71
2678,72
2679,73
2680,78
2681,70
2682,64
2683,67
2684,74
2685,62
2686,63
2687,73
2688,76
2689,77
2690,73
2691,75
2692,36
2693,71
2694,73
2695,68
2696,76
2697,65
2698,71
2699,64
2700,72
2701,67
2702,70
2703,70
2704,33
2705,55
2706,66
2707,15
2708,73
2709,72
2710,64
2711,65
2712,74
2713,74
2714,70
2715,79
2716,63
2717,64
2718,71
2719,72
2720,64
2721,70
2722,67
2723,65
2724,65
2725,23
2726,71
2727,77
2728,66
2729,72
2730,63
2731,70
2732,71
2733,65
2734,75
2735,63
2736,69
2737,69
2738,66
2739,63
2740,74
2741,65
2742,68
2743,82
2744,72
2745,74
2746,67
2747,69
2748,68
2749,66
2750,68
2751,70
2752,70
2753,74
2754,74
2755,71
2756,71
2757,67
2758,71
2759,70
2760,43
2761,66
2762,66
2763,55
2764,68
2765,73
2766,66
2767,59
2768,73
2769,63
2770,56
2771,51
2772,73
2773,70
2774,73
2775,71
2776,64
2777,67
2778,70
2779,63
2780,66
2781,73
2782,65
2783,68
2784,19
2785,67
2786,70
2787,80
2788,80
2789,36
2790,67
2791,66
2792,74
2793,69
2794,66
2795,70
2796,69
2797,46
2798,65
2799,67
2800,75
2801,75
2802,66
2803,70
2804,63
2805,63
2806,72
2807,69
2808,75
2809,61
2810,72
2811,63
2812,70
2813,23
2814,62
2815,69
2816,70
2817,70
2818,70
2819,63
2820,71
2821,75
2822,78
2823,62
2824,67
2825,70
2826,62
2827,64
2828,75
2829,67
2830,68
2831,67
2832,70
2833,66
2834,59
2835,50
2836,75
2837,65
2838,69
2839,68
2840,75
2841,63
2842,73
2843,74
2844,64
2845,69
2846,71
2847,80
2848,69
2849,71
2850,73
2851,72
2852,74
2853,67
2854,65
2855,73
2856,73
2857,51
2858,66
2859,73
2860,63
2861,76
2862,58
2863,82
2864,74
2865,66
2866,59
2867,71
2868,76
2869,70
2870,69
2871,41
2872,63
2873,64
2874,64
2875,69
2876,64
2877,69
2878,81
2879,70
2880,65
2881,70
2882,68
2883,79
2884,75
2885,72
2886,70
2887,67
2888,68
2889,54
2890,74
2891,64
2892,65
2893,70
2894,74
2895,67
2896,75
2897,67
2898,72
2899,55
2900,74
2901,81
2902,69
2903,62
2904,71
2905,66
2906,80
2907,80
2908,78
2909,71
2910,72
2911,34
2912,72
2913,66
2914,81
2915,70
2916,68
2917,73
2918,69
2919,78
2920,29
2921,65
2922,69
2923,65
2924,60
2925,65
2926,64
2927,64
2928,48
2929,80
2930,66
2931,67
2932,64
2933,71
2934,77
2935,69
2936,68
2937,52
2938,26
2939,66
2940,42
2941,73
2942,64
2943,68
2944,64
2945,81
2946,75
2947,73
2948,75
2949,69
2950,69
2951,75
2952,32
2953,69
2954,50
2955,73
2956,62
2957,50
2958,50
2959,75
2960,73
2961,75
2962,68
2963,61
2964,64
2965,61
2966,67
2967,69
2968,71
2969,42
2970,77
2971,74
2972,72
2973,62
2974,73
2975,74
2976,71
2977,65
2978,70
2979,74
2980,76
2981,69
2982,79
2983,50
2984,64
2985,69
2986,64
2987,69
2988,71
2989,67
2990,50
2991,72
2992,68
2993,30
2994,67
2995,70
2996,67
2997,72
