,Balance
562,76
563,74
564,77
565,68
566,60
567,72
568,41
569,86
570,47
571,90
572,82
573,82
574,74
575,81
576,80
577,69
578,71
579,90
580,49
581,69
582,78
583,88
584,75
585,63
586,71
587,61
588,77
589,60
590,72
591,60
592,77
593,81
594,85
595,75
596,73
597,57
598,42
599,88
600,64
601,67
602,78
603,80
604,78
605,90
606,75
607,81
608,80
609,65
610,63
611,52
612,52
613,78
614,66
615,48
616,63
617,78
618,55
619,76
620,75
621,77
622,81
623,54
624,78
625,31
626,94
627,43
628,49
629,67
630,68
631,76
632,63
633,50
634,76
635,66
636,76
637,65
638,85
639,77
640,39
641,63
642,86
643,41
644,63
645,58
646,55
647,50
648,73
649,76
650,57
651,48
652,50
653,54
654,86
655,79
656,76
657,81
658,81
659,58
660,52
661,91
662,62
663,62
664,66
665,57
666,73
667,76
668,79
669,74
670,68
671,57
672,56
673,70
674,77
675,86
676,72
677,79
678,55
679,72
680,66
681,77
682,45
683,73
684,60
685,60
686,32
687,55
688,75
689,48
690,43
691,35
692,57
693,62
694,52
695,75
696,84
697,55
698,86
699,69
700,79
701,83
702,69
703,76
704,77
705,68
706,53
707,69
708,35
709,66
710,76
711,69
712,52
713,86
714,86
715,70
716,93
717,91
718,69
719,73
720,47
721,88
722,79
723,83
724,70
725,74
726,76
727,75
728,73
729,86
730,58
731,75
732,58
733,72
734,58
735,68
736,66
737,34
738,50
739,77
740,65
741,69
742,63
743,75
744,64
745,79
746,73
747,62
748,79
749,73
750,59
751,75
752,87
753,85
754,51
755,47
756,66
757,72
758,48
759,54
760,83
761,78
762,58
763,75
764,35
765,35
766,51
767,78
768,64
769,93
770,73
771,55
772,89
773,53
774,77
775,24
776,53
777,36
778,45
779,92
780,67
781,52
782,83
783,89
784,63
785,68
786,76
787,64
788,75
789,83
790,60
791,71
792,58
793,54
794,79
795,70
796,58
797,73
798,60
799,58
800,50
801,56
802,79
803,42
804,65
805,73
806,58
807,71
808,78
809,73
810,72
811,48
812,67
813,80
814,67
815,68
816,68
817,72
818,73
819,45
820,74
821,66
822,77
823,59
824,73
825,61
826,55
827,69
828,68
829,71
830,60
831,83
832,64
833,77
834,60
835,30
836,53
837,65
838,64
839,67
840,90
841,71
842,72
843,56
844,66
845,58
846,76
847,91
848,89
849,57
850,60
851,78
852,61
853,50
854,80
855,84
856,54
857,40
858,56
859,66
860,58
861,71
862,34
863,79
864,73
865,83
866,74
867,74
868,65
869,69
870,30
871,61
872,58
873,64
874,67
875,78
876,61
877,67
878,58
879,74
880,53
881,81
882,50
883,51
884,81
885,64
886,53
887,70
888,71
889,81
890,54
891,76
892,72
893,52
894,79
895,64
896,75
897,78
898,68
899,70
900,61
901,76
902,68
903,48
904,76
905,50
906,59
907,55
908,75
909,49
910,57
911,74
912,86
913,83
914,81
915,68
916,32
917,70
918,76
919,65
920,67
921,74
922,61
923,63
924,53
925,83
926,76
927,70
928,75
929,73
930,79
931,64
932,73
933,78
934,70
935,89
936,79
937,64
938,70
939,79
940,74
941,48
942,22
943,60
944,65
945,78
946,55
947,53
948,82
949,70
950,66
951,55
952,88
953,71
954,52
955,85
956,31
957,49
958,73
959,47
960,78
961,74
962,53
963,68
964,74
965,41
966,69
967,85
968,59
969,59
970,79
971,68
972,88
973,79
974,67
975,55
976,83
977,60
978,94
979,77
980,46
981,66
982,55
983,45
984,32
985,87
986,51
987,64
988,77
989,66
990,90
991,40
992,65
993,72
994,83
995,79
996,72
997,80
998,49
999,58
1000,74
1001,61
1002,80
1003,68
1004,74
1005,75
1006,62
1007,62
1008,75
1009,74
1010,66
1011,75
1012,79
1013,64
1014,74
1015,48
1016,62
1017,72
1018,85
1019,74
1020,74
1021,34
1022,75
1023,84
1024,63
1025,75
1026,93
1027,28
1028,75
1029,74
1030,52
1031,67
1032,75
1033,72
1034,47
1035,83
1036,63
1037,72
1038,72
1039,58
1040,90
1041,76
1042,81
1043,33
1044,73
1045,75
1046,55
1047,79
1048,74
1049,73
1050,47
1051,65
1052,92
1053,85
1054,61
1055,48
1056,59
1057,44
1058,78
1059,72
1060,51
1061,87
1062,47
1063,71
1064,80
1065,75
1066,84
1067,77
1068,92
1069,40
1070,65
1071,65
1072,63
1073,49
1074,72
1075,72
1076,58
1077,69
1078,33
1079,62
1080,75
1081,75
1082,77
1083,83
1084,43
1085,60
1086,61
1087,48
1088,90
1089,84
1090,81
1091,61
1092,68
1093,64
1094,79
1095,69
1096,75
1097,77
1098,65
1099,66
1100,75
1101,61
1102,85
1103,59
1104,78
1105,54
1106,89
1107,51
1108,79
1109,55
1110,67
1111,78
1112,54
1113,68
1114,73
1115,46
1116,72
1117,78
1118,57
1119,43
1120,57
1121,70
1122,70
1123,73
1124,73
1125,61
1126,78
1127,72
1128,76
1129,91
1130,64
1131,60
1132,55
1133,88
1134,79
1135,56
1136,78
1137,60
1138,58
1139,85
1140,79
1141,68
1142,67
1143,60
1144,60
1145,72
1146,75
1147,64
1148,76
1149,62
1150,32
1151,80
1152,42
1153,83
1154,77
1155,91
1156,47
1157,68
1158,60
1159,44
1160,68
1161,43
1162,72
1163,74
1164,68
1165,64
1166,32
1167,70
1168,75
1169,40
1170,83
1171,41
1172,57
1173,57
1174,65
1175,34
1176,76
1177,85
1178,76
1179,76
1180,74
1181,69
1182,75
1183,75
1184,77
1185,85
1186,68
1187,53
1188,57
1189,74
1190,51
1191,59
1192,75
1193,61
1194,69
1195,72
1196,83
1197,75
1198,60
1199,53
1200,63
1201,48
1202,63
1203,68
1204,91
1205,75
1206,87
1207,66
1208,56
1209,59
1210,53
1211,95
1212,92
1213,71
1214,68
1215,70
1216,43
1217,83
1218,36
1219,76
1220,29
1221,72
1222,51
1223,52
1224,52
1225,74
1226,77
1227,79
1228,82
1229,75
1230,67
1231,74
1232,52
1233,84
1234,33
1235,66
1236,69
1237,60
1238,77
1239,62
1240,61
1241,52
1242,74
1243,76
1244,74
1245,40
1246,71
1247,70
1248,60
1249,77
1250,51
1251,42
1252,63
1253,59
1254,61
1255,54
1256,47
1257,80
1258,77
1259,65
1260,66
1261,38
1262,70
1263,73
1264,74
1265,76
1266,76
1267,72
1268,69
1269,47
1270,60
1271,74
1272,62
1273,23
1274,54
1275,54
1276,66
1277,78
1278,58
1279,87
1280,58
1281,61
1282,80
1283,74
1284,76
1285,78
1286,72
1287,54
1288,94
1289,52
1290,75
1291,75
1292,76
1293,51
1294,59
1295,68
1296,78
1297,60
1298,74
1299,88
1300,86
1301,56
1302,85
1303,58
1304,59
1305,85
1306,49
1307,91
1308,57
1309,78
1310,65
1311,78
1312,67
1313,36
1314,90
1315,50
1316,78
1317,52
1318,72
1319,70
1320,69
1321,70
1322,57
1323,71
1324,67
1325,58
1326,58
1327,60
1328,76
1329,71
1330,77
1331,69
1332,74
1333,89
1334,81
1335,37
1336,75
1337,71
1338,60
1339,68
1340,63
1341,46
1342,51
1343,59
1344,77
1345,90
1346,81
1347,76
1348,75
1349,82
1350,65
1351,66
1352,78
1353,74
1354,35
1355,64
1356,62
1357,78
1358,69
1359,50
1360,90
1361,32
1362,78
1363,72
1364,42
1365,61
1366,75
1367,57
1368,35
1369,58
1370,65
1371,78
1372,56
1373,74
1374,71
1375,30
1376,72
1377,72
1378,75
1379,82
1380,59
1381,80
1382,43
1383,66
1384,44
1385,79
1386,75
1387,42
1388,60
1389,79
1390,65
1391,65
1392,71
1393,74
1394,58
1395,77
1396,66
1397,54
1398,76
1399,76
1400,72
1401,76
1402,61
1403,82
1404,52
1405,65
1406,67
1407,75
1408,65
1409,66
1410,66
1411,35
1412,53
1413,73
1414,91
1415,88
1416,61
1417,81
1418,62
1419,61
1420,58
1421,84
1422,77
1423,72
1424,78
1425,58
1426,45
1427,29
1428,29
1429,49
1430,67
1431,43
1432,65
1433,64
1434,79
1435,67
1436,65
1437,78
1438,62
1439,74
1440,43
1441,82
1442,77
1443,65
1444,67
1445,59
1446,74
1447,76
1448,67
1449,77
1450,76
1451,31
1452,72
1453,42
1454,31
1455,68
1456,50
1457,66
1458,63
1459,92
1460,69
1461,58
1462,75
1463,43
1464,56
1465,44
1466,46
1467,48
1468,86
1469,66
1470,69
1471,43
1472,67
1473,41
1474,60
1475,29
1476,85
1477,42
1478,88
1479,88
1480,90
1481,62
1482,23
1483,49
1484,85
1485,47
1486,59
1487,69
1488,65
1489,50
1490,80
1491,58
1492,67
1493,69
1494,50
1495,69
1496,78
1497,39
1498,63
1499,51
1500,70
1501,73
1502,65
1503,40
1504,80
1505,73
1506,73
1507,72
1508,74
1509,72
1510,74
1511,75
1512,53
1513,59
1514,60
1515,68
1516,53
1517,64
1518,73
1519,74
1520,63
1521,53
1522,74
1523,76
1524,76
1525,69
1526,78
1527,71
1528,77
1529,38
1530,38
1531,68
1532,62
1533,84
1534,84
1535,44
1536,63
1537,74
1538,51
1539,77
1540,58
1541,81
1542,36
1543,64
1544,28
1545,68
1546,94
1547,54
1548,57
1549,43
1550,79
1551,50
1552,84
1553,55
1554,74
1555,38
1556,65
1557,51
1558,90
1559,48
1560,75
1561,63
1562,67
1563,85
1564,80
1565,72
1566,61
1567,54
1568,71
1569,72
1570,83
1571,53
1572,67
1573,76
1574,62
1575,70
1576,82
1577,44
1578,74
1579,43
1580,42
1581,42
1582,68
1583,75
1584,82
1585,55
1586,43
1587,91
1588,69
1589,76
1590,76
1591,63
1592,49
1593,39
1594,66
1595,58
1596,66
1597,70
1598,78
1599,64
1600,68
1601,79
1602,71
1603,61
1604,66
1605,71
1606,63
1607,75
1608,60
1609,77
1610,90
1611,47
1612,70
1613,82
1614,81
1615,90
1616,82
1617,79
1618,63
1619,69
1620,72
1621,73
1622,85
1623,50
1624,30
1625,86
1626,87
1627,82
1628,46
1629,33
1630,63
1631,33
1632,33
1633,75
1634,46
1635,54
1636,62
1637,30
1638,34
1639,76
1640,76
1641,56
1642,72
1643,43
1644,68
1645,54
1646,68
1647,86
1648,58
1649,49
1650,32
1651,65
1652,35
1653,72
1654,68
1655,79
1656,71
1657,60
1658,69
1659,79
1660,66
1661,48
1662,52
1663,44
1664,83
1665,67
1666,76
1667,69
1668,79
1669,78
1670,72
1671,74
1672,68
1673,33
1674,53
1675,75
1676,77
1677,77
1678,65
1679,92
1680,63
1681,73
1682,71
1683,71
1684,75
1685,70
1686,71
1687,63
1688,79
1689,80
1690,53
1691,67
1692,44
1693,53
1694,79
1695,60
1696,62
1697,76
1698,76
1699,77
1700,82
1701,57
1702,86
1703,73
1704,76
1705,80
1706,67
1707,58
1708,74
1709,63
1710,72
1711,68
1712,73
1713,72
1714,66
1715,32
1716,58
1717,71
1718,37
1719,61
1720,87
1721,79
1722,76
1723,84
1724,75
1725,29
1726,82
1727,78
1728,82
1729,74
1730,82
1731,61
1732,28
1733,81
1734,81
1735,89
1736,66
1737,78
1738,68
1739,53
1740,68
1741,75
1742,40
1743,71
1744,65
1745,85
1746,63
1747,90
1748,80
1749,72
1750,73
1751,78
1752,68
1753,55
1754,87
1755,62
1756,61
1757,78
1758,78
1759,46
1760,59
1761,78
1762,52
1763,64
1764,62
1765,38
1766,75
1767,63
1768,34
1769,55
1770,48
1771,68
1772,66
1773,72
1774,63
1775,68
1776,62
1777,79
1778,72
1779,73
1780,73
1781,85
1782,81
1783,72
1784,39
1785,39
1786,46
1787,78
1788,74
1789,66
1790,62
1791,34
1792,66
1793,44
1794,50
1795,70
1796,82
1797,66
1798,70
1799,81
1800,60
1801,68
1802,69
1803,61
1804,45
1805,76
1806,70
1807,87
1808,42
1809,80
1810,64
1811,75
1812,74
1813,62
1814,76
1815,71
1816,37
1817,91
1818,90
1819,44
1820,86
1821,77
1822,77
1823,42
1824,69
1825,60
1826,77
1827,70
1828,71
1829,72
1830,85
1831,76
1832,48
1833,75
1834,79
1835,54
1836,54
1837,86
1838,83
1839,85
1840,71
1841,51
1842,47
1843,59
1844,67
1845,66
1846,54
1847,93
1848,40
1849,71
1850,69
1851,83
1852,52
1853,70
1854,69
1855,40
1856,62
1857,81
1858,68
1859,72
1860,74
1861,68
1862,58
1863,53
1864,80
1865,62
1866,70
1867,78
1868,67
1869,80
1870,77
1871,31
1872,74
1873,75
1874,79
1875,55
1876,64
1877,55
1878,62
1879,48
1880,62
1881,42
1882,35
1883,78
1884,60
1885,71
1886,51
1887,51
1888,48
1889,54
1890,33
1891,44
1892,75
1893,92
1894,68
1895,75
1896,76
1897,83
1898,69
1899,65
1900,58
1901,55
1902,64
1903,72
1904,36
1905,65
1906,54
1907,51
1908,61
1909,70
1910,87
1911,61
1912,64
1913,46
1914,58
1915,63
1916,72
1917,68
1918,80
1919,36
1920,76
1921,85
1922,77
1923,62
1924,87
1925,57
1926,67
1927,75
1928,85
1929,87
1930,67
1931,66
1932,71
1933,77
1934,70
1935,78
1936,67
1937,77
1938,77
1939,51
1940,70
1941,58
1942,52
1943,72
1944,56
1945,78
1946,50
1947,56
1948,27
1949,72
1950,66
1951,32
1952,39
1953,60
1954,36
1955,61
1956,61
1957,66
1958,86
1959,47
1960,68
1961,73
1962,72
1963,40
1964,40
1965,78
1966,72
1967,59
1968,74
1969,69
1970,33
1971,57
1972,41
1973,77
1974,73
1975,56
1976,65
1977,89
1978,71
1979,72
1980,65
1981,68
1982,51
1983,71
1984,59
1985,67
1986,65
1987,70
1988,61
1989,61
1990,60
1991,73
1992,79
1993,64
1994,83
1995,60
1996,63
1997,77
1998,84
1999,56
2000,55
2001,76
2002,82
2003,60
2004,50
2005,73
2006,70
2007,74
2008,70
2009,62
2010,68
2011,86
2012,48
2013,56
2014,68
2015,69
2016,80
2017,42
2018,60
2019,61
2020,38
2021,52
2022,63
2023,83
2024,66
2025,67
2026,39
2027,76
2028,72
2029,79
2030,63
2031,58
2032,76
2033,63
2034,54
2035,60
2036,34
2037,82
2038,77
2039,37
2040,37
2041,68
2042,69
2043,80
2044,75
2045,83
2046,34
2047,61
2048,49
2049,61
2050,79
2051,77
2052,63
2053,86
2054,76
2055,52
2056,76
2057,54
2058,78
2059,68
2060,84
2061,52
2062,76
2063,31
2064,57
2065,59
2066,71
2067,66
2068,68
2069,83
2070,66
2071,85
2072,75
2073,45
2074,60
2075,61
2076,73
2077,61
2078,74
2079,41
2080,54
2081,63
2082,50
2083,72
2084,71
2085,80
2086,60
2087,75
2088,80
2089,66
2090,38
2091,38
2092,91
2093,77
2094,41
2095,72
2096,78
2097,71
2098,71
2099,76
2100,70
2101,84
2102,86
2103,60
2104,67
2105,69
2106,54
2107,71
2108,55
2109,53
2110,61
2111,70
2112,46
2113,80
2114,66
2115,45
2116,71
2117,66
2118,57
2119,35
2120,57
2121,59
2122,40
2123,62
2124,34
2125,45
2126,68
2127,44
2128,53
2129,44
2130,75
2131,53
2132,75
2133,83
2134,28
2135,83
2136,68
2137,76
2138,62
2139,68
2140,52
2141,66
2142,66
2143,85
2144,81
2145,49
2146,74
2147,79
2148,61
2149,54
2150,29
2151,76
2152,37
2153,40
2154,31
2155,48
2156,64
2157,80
2158,75
2159,78
2160,61
2161,62
2162,90
2163,93
2164,70
2165,68
2166,89
2167,60
2168,73
2169,88
2170,85
2171,77
2172,70
2173,80
2174,56
2175,64
2176,57
2177,65
2178,72
2179,54
2180,63
2181,34
2182,35
2183,50
2184,69
2185,70
2186,61
2187,81
2188,59
2189,58
2190,86
2191,65
2192,74
2193,74
2194,51
2195,42
2196,42
2197,91
2198,69
2199,52
2200,71
2201,78
2202,81
2203,76
2204,88
2205,78
2206,68
2207,49
2208,72
2209,84
2210,77
2211,81
2212,70
2213,40
2214,63
2215,52
2216,45
2217,63
2218,68
2219,40
2220,63
2221,40
2222,91
2223,62
2224,41
2225,76
2226,63
2227,76
2228,77
2229,81
2230,73
2231,57
2232,42
2233,67
2234,86
2235,64
2236,51
2237,66
2238,86
2239,79
2240,57
2241,45
2242,85
2243,62
2244,62
2245,32
2246,83
2247,76
2248,74
2249,76
2250,74
2251,41
2252,80
2253,71
2254,53
2255,81
2256,57
2257,57
2258,72
2259,51
2260,85
2261,75
2262,82
2263,93
2264,37
2265,83
2266,46
2267,79
2268,68
2269,52
2270,79
2271,83
2272,69
2273,61
2274,58
2275,63
2276,38
2277,77
2278,64
2279,62
2280,65
2281,67
2282,76
2283,90
2284,61
2285,83
2286,45
2287,70
2288,72
2289,60
2290,39
2291,59
2292,57
2293,88
2294,66
2295,66
2296,81
2297,62
2298,78
2299,62
2300,80
2301,68
2302,69
2303,62
2304,43
2305,69
2306,48
2307,73
2308,67
2309,56
2310,29
2311,83
2312,58
2313,82
2314,79
2315,32
2316,77
2317,74
2318,64
2319,53
2320,74
2321,65
2322,71
2323,78
2324,64
2325,82
2326,83
2327,74
2328,67
2329,72
2330,78
2331,82
2332,81
2333,72
2334,45
2335,73
2336,82
2337,85
2338,66
2339,60
2340,86
2341,57
2342,78
2343,72
2344,58
2345,38
2346,38
2347,64
2348,50
2349,62
2350,76
2351,76
2352,69
2353,90
2354,30
2355,75
2356,68
2357,90
2358,76
2359,78
2360,73
2361,36
2362,62
2363,56
2364,78
2365,73
2366,51
2367,72
2368,74
2369,59
2370,88
2371,66
2372,39
2373,90
2374,63
2375,53
2376,79
2377,70
2378,60
2379,66
2380,92
2381,62
2382,54
2383,63
2384,50
2385,84
2386,30
2387,70
2388,75
2389,68
2390,54
2391,59
2392,63
2393,71
2394,69
2395,73
2396,45
2397,45
2398,76
2399,72
2400,68
2401,62
2402,45
2403,74
2404,72
2405,54
2406,72
2407,71
2408,58
2409,80
2410,73
2411,72
2412,60
2413,69
2414,90
2415,60
2416,47
2417,65
2418,69
2419,76
2420,42
2421,73
2422,75
2423,73
2424,50
2425,59
2426,41
2427,75
2428,79
2429,69
2430,83
2431,75
2432,64
2433,75
2434,67
2435,60
2436,73
2437,75
2438,76
2439,48
2440,68
2441,69
2442,74
2443,70
2444,76
2445,75
2446,64
2447,46
2448,46
2449,80
2450,83
2451,80
2452,67
2453,79
2454,65
2455,68
2456,68
2457,31
2458,69
2459,63
2460,78
2461,77
2462,54
2463,57
2464,57
2465,73
2466,87
2467,63
2468,83
2469,56
2470,86
2471,63
2472,75
2473,70
2474,77
2475,78
2476,64
2477,63
2478,84
2479,73
2480,74
2481,64
2482,76
2483,75
2484,66
2485,85
2486,71
2487,72
2488,45
2489,69
2490,61
2491,85
2492,72
2493,74
2494,80
2495,22
2496,82
2497,82
2498,91
2499,91
2500,62
2501,56
2502,60
2503,66
2504,75
2505,44
2506,59
2507,70
2508,69
2509,46
2510,72
2511,67
2512,57
2513,42
2514,79
2515,74
2516,63
2517,93
2518,72
2519,42
2520,67
2521,91
2522,84
2523,65
2524,78
2525,67
2526,74
2527,73
2528,82
2529,77
2530,95
2531,51
2532,79
2533,65
2534,76
2535,70
2536,41
2537,59
2538,66
2539,48
2540,73
2541,66
2542,46
2543,42
2544,81
2545,64
2546,58
2547,56
2548,72
2549,50
2550,50
2551,77
2552,58
2553,63
2554,71
2555,54
2556,67
2557,31
2558,92
2559,73
2560,73
2561,78
2562,76
2563,78
2564,79
2565,54
2566,42
2567,29
2568,38
2569,73
2570,76
2571,85
2572,57
2573,82
2574,63
2575,80
2576,55
2577,55
2578,67
2579,70
2580,86
2581,58
2582,55
2583,44
2584,67
2585,51
2586,77
2587,68
2588,56
2589,72
2590,73
2591,69
2592,57
2593,72
2594,35
2595,51
2596,78
2597,63
2598,60
2599,69
2600,34
2601,34
2602,91
2603,69
2604,46
2605,71
2606,69
2607,53
2608,57
2609,52
2610,74
2611,78
2612,57
2613,76
2614,74
2615,54
2616,59
2617,65
2618,27
2619,90
2620,33
2621,73
2622,27
2623,41
2624,60
2625,77
2626,77
2627,82
2628,61
2629,62
2630,77
2631,79
2632,80
2633,57
2634,52
2635,65
2636,67
2637,71
2638,67
2639,73
2640,69
2641,90
2642,74
2643,87
2644,78
2645,48
2646,69
2647,42
2648,83
2649,81
2650,46
2651,35
2652,35
2653,34
2654,79
2655,58
2656,56
2657,87
2658,66
2659,73
2660,63
2661,72
2662,62
2663,55
2664,64
2665,53
2666,54
2667,42
2668,72
2669,73
2670,72
2671,78
2672,93
2673,57
2674,64
2675,83
2676,79
2677,59
2678,70
2679,68
2680,75
2681,68
2682,48
2683,77
2684,63
2685,68
2686,59
2687,42
2688,79
2689,53
2690,66
2691,85
2692,38
2693,57
2694,73
2695,77
2696,54
2697,65
2698,78
2699,63
2700,73
2701,68
2702,65
2703,65
2704,43
2705,88
2706,74
2707,49
2708,70
2709,75
2710,75
2711,79
2712,84
2713,73
2714,78
2715,69
2716,65
2717,67
2718,59
2719,80
2720,65
2721,71
2722,79
2723,54
2724,81
2725,39
2726,72
2727,34
2728,49
2729,68
2730,74
2731,72
2732,79
2733,49
2734,66
2735,74
2736,64
2737,87
2738,73
2739,55
2740,75
2741,87
2742,64
2743,69
2744,68
2745,67
2746,62
2747,65
2748,85
2749,88
2750,79
2751,92
2752,77
2753,39
2754,39
2755,48
2756,71
2757,74
2758,84
2759,78
2760,55
2761,61
2762,32
2763,34
2764,70
2765,82
2766,66
2767,71
2768,65
2769,86
2770,58
2771,52
2772,67
2773,78
2774,76
2775,69
2776,72
2777,61
2778,53
2779,42
2780,62
2781,55
2782,62
2783,82
2784,49
2785,30
2786,74
2787,75
2788,28
2789,50
2790,63
2791,68
2792,74
2793,69
2794,45
2795,64
2796,59
2797,48
2798,75
2799,55
2800,59
2801,73
2802,65
2803,76
2804,78
2805,78
2806,67
2807,71
2808,75
2809,69
2810,84
2811,64
2812,65
2813,50
2814,79
2815,38
2816,37
2817,69
2818,68
2819,94
2820,76
2821,74
2822,72
2823,64
2824,21
2825,43
2826,44
2827,62
2828,68
2829,57
2830,77
2831,81
2832,84
2833,63
2834,63
2835,54
2836,71
2837,81
2838,72
2839,66
2840,67
2841,66
2842,64
2843,56
2844,68
2845,37
2846,84
2847,72
2848,81
2849,62
2850,59
2851,62
2852,77
2853,39
2854,75
2855,39
2856,39
2857,76
2858,51
2859,76
2860,68
2861,83
2862,61
2863,69
2864,83
2865,61
2866,45
2867,71
2868,55
2869,72
2870,76
2871,53
2872,73
2873,64
2874,73
2875,59
2876,92
2877,82
2878,64
2879,53
2880,45
2881,73
2882,67
2883,66
2884,76
2885,38
2886,75
2887,64
2888,75
2889,31
2890,74
2891,64
2892,73
2893,74
2894,66
2895,81
2896,70
2897,64
2898,66
2899,61
2900,57
2901,67
2902,63
2903,44
2904,68
2905,64
2906,81
2907,81
2908,44
2909,69
2910,65
2911,40
2912,73
2913,54
2914,63
2915,53
2916,89
2917,75
2918,71
2919,73
2920,31
2921,69
2922,67
2923,57
2924,27
2925,36
2926,69
2927,51
2928,51
2929,72
2930,72
2931,75
2932,71
2933,66
2934,73
2935,91
2936,59
2937,40
2938,16
2939,72
2940,26
2941,34
2942,51
2943,73
2944,85
2945,82
2946,62
2947,70
2948,73
2949,86
2950,54
2951,81
2952,42
2953,74
2954,47
2955,77
2956,37
2957,59
2958,59
2959,82
2960,78
2961,78
2962,49
2963,35
2964,79
2965,60
2966,38
2967,52
2968,83
2969,44
2970,67
2971,75
2972,63
2973,83
2974,78
2975,69
2976,49
2977,59
2978,94
2979,78
2980,68
2981,60
2982,64
2983,55
2984,65
2985,73
2986,72
2987,72
2988,73
2989,74
2990,58
2991,45
2992,78
2993,65
2994,65
2995,67
2996,59
2997,72
