,Aggression
465,67
466,70
467,18
468,44
469,48
470,76
471,82
472,68
473,91
474,30
475,76
476,69
477,74
478,70
479,74
480,53
481,55
482,18
483,87
484,77
485,50
486,60
487,33
488,45
489,75
490,82
491,83
492,61
493,89
494,80
495,55
496,55
497,40
498,34
499,33
500,62
501,42
502,53
503,84
504,74
505,57
506,53
507,85
508,34
509,64
510,64
511,84
512,75
513,43
514,77
515,74
516,44
517,52
518,74
519,35
520,22
521,81
522,81
523,24
524,88
525,64
526,73
527,81
528,32
529,45
530,81
531,69
532,77
533,22
534,82
535,81
536,62
537,22
538,76
539,77
540,74
541,40
542,26
543,45
544,88
545,81
546,27
547,87
548,43
549,63
550,59
551,79
552,76
553,72
554,32
555,82
556,68
557,86
558,40
559,58
560,60
561,60
562,70
563,75
564,75
565,64
566,81
567,74
568,27
569,39
570,20
571,80
572,74
573,73
574,71
575,58
576,65
577,41
578,64
579,66
580,68
581,66
582,70
583,63
584,65
585,67
586,75
587,76
588,65
589,76
590,89
591,78
592,71
593,80
594,80
595,75
596,69
597,78
598,33
599,56
600,76
601,76
602,52
603,75
604,59
605,52
606,68
607,73
608,56
609,74
610,83
611,83
612,83
613,86
614,66
615,82
616,80
617,85
618,37
619,71
620,66
621,75
622,48
623,86
624,77
625,25
626,66
627,66
628,76
629,83
630,87
631,52
632,81
633,29
634,76
635,68
636,65
637,83
638,82
639,48
640,25
641,77
642,64
643,32
644,75
645,70
646,74
647,34
648,76
649,62
650,84
651,58
652,88
653,81
654,84
655,71
656,75
657,53
658,59
659,75
660,94
661,76
662,77
663,77
664,78
665,72
666,58
667,81
668,81
669,68
670,73
671,78
672,76
673,82
674,65
675,24
676,84
677,61
678,79
679,46
680,73
681,75
682,80
683,73
684,85
685,78
686,35
687,30
688,67
689,85
690,25
691,43
692,34
693,79
694,70
695,53
696,87
697,65
698,52
699,49
700,63
701,46
702,71
703,79
704,90
705,86
706,23
707,69
708,43
709,65
710,48
711,74
712,74
713,79
714,79
715,76
716,82
717,51
718,67
719,76
720,78
721,52
722,57
723,27
724,86
725,70
726,75
727,55
728,81
729,88
730,23
731,68
732,77
733,72
734,60
735,44
736,85
737,35
738,21
739,72
740,70
741,64
742,76
743,78
744,75
745,60
746,69
747,74
748,52
749,83
750,73
751,82
752,55
753,70
754,27
755,24
756,70
757,65
758,19
759,87
760,66
761,69
762,87
763,74
764,82
765,82
766,41
767,59
768,76
769,49
770,76
771,75
772,73
773,84
774,78
775,36
776,29
777,76
778,36
779,65
780,78
781,81
782,49
783,75
784,76
785,74
786,72
787,69
788,69
789,75
790,27
791,52
792,88
793,59
794,48
795,55
796,45
797,76
798,75
799,87
800,36
801,57
802,71
803,80
804,78
805,80
806,81
807,64
808,51
809,75
810,75
811,38
812,74
813,69
814,81
815,85
816,85
817,74
818,80
819,76
820,64
821,54
822,63
823,68
824,66
825,89
826,86
827,55
828,76
829,68
830,49
831,85
832,84
833,86
834,76
835,30
836,79
837,84
838,74
839,79
840,73
841,82
842,73
843,56
844,78
845,79
846,39
847,81
848,65
849,69
850,92
851,76
852,70
853,73
854,38
855,71
856,71
857,29
858,60
859,61
860,81
861,88
862,75
863,73
864,53
865,88
866,78
867,78
868,72
869,38
870,35
871,82
872,75
873,59
874,79
875,72
876,72
877,72
878,78
879,74
880,33
881,78
882,20
883,75
884,50
885,58
886,80
887,74
888,72
889,66
890,84
891,51
892,80
893,85
894,88
895,81
896,76
897,82
898,72
899,70
900,81
901,75
902,66
903,34
904,75
905,15
906,83
907,86
908,64
909,72
910,77
911,58
912,74
913,79
914,79
915,75
916,31
917,70
918,51
919,84
920,79
921,70
922,72
923,76
924,79
925,85
926,75
927,70
928,62
929,83
930,71
931,58
932,80
933,69
934,86
935,65
936,67
937,72
938,51
939,57
940,72
941,78
942,39
943,49
944,64
945,67
946,79
947,20
948,55
949,62
950,73
951,64
952,71
953,40
954,58
955,84
956,63
957,73
958,61
959,38
960,86
961,80
962,73
963,68
964,84
965,34
966,87
967,71
968,60
969,60
970,82
971,73
972,40
973,60
974,71
975,77
976,78
977,48
978,78
979,53
980,76
981,70
982,76
983,80
984,81
985,55
986,80
987,58
988,92
989,96
990,68
991,65
992,50
993,69
994,74
995,80
996,60
997,71
998,88
999,82
1000,80
1001,83
1002,79
1003,59
1004,75
1005,71
1006,74
1007,87
1008,73
1009,81
1010,71
1011,46
1012,65
1013,41
1014,75
1015,72
1016,69
1017,60
1018,36
1019,55
1020,55
1021,79
1022,50
1023,34
1024,30
1025,69
1026,66
1027,35
1028,70
1029,61
1030,83
1031,43
1032,68
1033,76
1034,38
1035,82
1036,74
1037,53
1038,61
1039,71
1040,43
1041,70
1042,74
1043,71
1044,85
1045,71
1046,67
1047,85
1048,66
1049,74
1050,35
1051,83
1052,59
1053,30
1054,28
1055,80
1056,78
1057,26
1058,66
1059,73
1060,85
1061,79
1062,37
1063,76
1064,66
1065,73
1066,27
1067,73
1068,72
1069,79
1070,70
1071,70
1072,71
1073,70
1074,46
1075,76
1076,66
1077,82
1078,82
1079,74
1080,75
1081,73
1082,52
1083,42
1084,77
1085,85
1086,72
1087,38
1088,53
1089,68
1090,69
1091,68
1092,81
1093,76
1094,83
1095,79
1096,78
1097,71
1098,81
1099,86
1100,69
1101,69
1102,74
1103,64
1104,87
1105,70
1106,67
1107,36
1108,43
1109,65
1110,80
1111,76
1112,69
1113,74
1114,84
1115,79
1116,70
1117,58
1118,22
1119,83
1120,76
1121,59
1122,59
1123,79
1124,90
1125,89
1126,68
1127,40
1128,70
1129,57
1130,60
1131,76
1132,83
1133,85
1134,74
1135,68
1136,65
1137,82
1138,68
1139,47
1140,75
1141,48
1142,82
1143,78
1144,58
1145,63
1146,58
1147,78
1148,77
1149,82
1150,60
1151,47
1152,19
1153,86
1154,52
1155,75
1156,37
1157,78
1158,84
1159,85
1160,66
1161,29
1162,75
1163,60
1164,82
1165,79
1166,75
1167,73
1168,89
1169,20
1170,80
1171,77
1172,35
1173,35
1174,64
1175,86
1176,79
1177,52
1178,76
1179,70
1180,73
1181,78
1182,74
1183,55
1184,71
1185,73
1186,70
1187,74
1188,63
1189,81
1190,82
1191,83
1192,41
1193,83
1194,77
1195,88
1196,68
1197,65
1198,74
1199,71
1200,58
1201,24
1202,76
1203,59
1204,50
1205,60
1206,83
1207,78
1208,57
1209,74
1210,80
1211,72
1212,67
1213,54
1214,66
1215,77
1216,35
1217,65
1218,76
1219,45
1220,77
1221,46
1222,25
1223,88
1224,88
1225,29
1226,75
1227,60
1228,63
1229,30
1230,74
1231,72
1232,83
1233,70
1234,64
1235,77
1236,64
1237,73
1238,71
1239,85
1240,88
1241,81
1242,68
1243,72
1244,76
1245,39
1246,84
1247,76
1248,80
1249,46
1250,74
1251,26
1252,65
1253,76
1254,60
1255,76
1256,80
1257,65
1258,79
1259,68
1260,82
1261,70
1262,72
1263,62
1264,83
1265,67
1266,70
1267,65
1268,65
1269,88
1270,77
1271,67
1272,75
1273,31
1274,68
1275,68
1276,36
1277,57
1278,74
1279,82
1280,77
1281,76
1282,75
1283,73
1284,83
1285,42
1286,74
1287,56
1288,36
1289,66
1290,78
1291,77
1292,60
1293,40
1294,66
1295,85
1296,53
1297,83
1298,75
1299,62
1300,38
1301,87
1302,51
1303,82
1304,77
1305,63
1306,88
1307,72
1308,83
1309,77
1310,72
1311,76
1312,89
1313,88
1314,49
1315,76
1316,60
1317,38
1318,57
1319,79
1320,81
1321,50
1322,41
1323,65
1324,44
1325,82
1326,82
1327,78
1328,62
1329,83
1330,81
1331,81
1332,86
1333,48
1334,42
1335,80
1336,70
1337,68
1338,82
1339,70
1340,63
1341,31
1342,82
1343,77
1344,81
1345,35
1346,73
1347,80
1348,70
1349,55
1350,85
1351,73
1352,38
1353,77
1354,41
1355,66
1356,77
1357,63
1358,84
1359,19
1360,85
1361,35
1362,68
1363,49
1364,76
1365,83
1366,61
1367,74
1368,29
1369,90
1370,71
1371,78
1372,57
1373,75
1374,69
1375,40
1376,80
1377,80
1378,32
1379,69
1380,77
1381,67
1382,23
1383,72
1384,78
1385,50
1386,49
1387,84
1388,58
1389,65
1390,75
1391,27
1392,33
1393,76
1394,77
1395,75
1396,75
1397,78
1398,71
1399,65
1400,69
1401,52
1402,69
1403,52
1404,67
1405,40
1406,67
1407,53
1408,83
1409,80
1410,76
1411,79
1412,31
1413,54
1414,33
1415,41
1416,68
1417,62
1418,80
1419,87
1420,71
1421,80
1422,66
1423,39
1424,53
1425,80
1426,40
1427,31
1428,31
1429,64
1430,32
1431,35
1432,77
1433,66
1434,67
1435,70
1436,78
1437,70
1438,81
1439,62
1440,78
1441,67
1442,42
1443,70
1444,78
1445,80
1446,63
1447,84
1448,66
1449,86
1450,46
1451,66
1452,69
1453,79
1454,80
1455,67
1456,80
1457,80
1458,90
1459,55
1460,74
1461,71
1462,55
1463,83
1464,74
1465,77
1466,73
1467,89
1468,70
1469,79
1470,70
1471,35
1472,60
1473,27
1474,78
1475,85
1476,73
1477,43
1478,74
1479,74
1480,55
1481,75
1482,41
1483,76
1484,48
1485,40
1486,89
1487,42
1488,72
1489,78
1490,70
1491,84
1492,42
1493,92
1494,38
1495,73
1496,67
1497,61
1498,76
1499,79
1500,80
1501,60
1502,78
1503,19
1504,57
1505,61
1506,78
1507,65
1508,65
1509,59
1510,78
1511,86
1512,76
1513,21
1514,75
1515,60
1516,80
1517,66
1518,72
1519,80
1520,85
1521,76
1522,43
1523,63
1524,67
1525,52
1526,88
1527,49
1528,77
1529,78
1530,78
1531,71
1532,80
1533,52
1534,32
1535,71
1536,80
1537,77
1538,82
1539,78
1540,75
1541,69
1542,79
1543,63
1544,39
1545,43
1546,67
1547,82
1548,85
1549,65
1550,79
1551,77
1552,86
1553,66
1554,73
1555,33
1556,79
1557,83
1558,77
1559,79
1560,50
1561,72
1562,43
1563,33
1564,60
1565,68
1566,79
1567,72
1568,61
1569,64
1570,74
1571,79
1572,87
1573,78
1574,77
1575,68
1576,75
1577,80
1578,58
1579,37
1580,82
1581,82
1582,58
1583,63
1584,49
1585,42
1586,66
1587,74
1588,79
1589,72
1590,76
1591,84
1592,82
1593,40
1594,72
1595,76
1596,81
1597,63
1598,63
1599,68
1600,41
1601,62
1602,75
1603,79
1604,78
1605,80
1606,79
1607,87
1608,11
1609,80
1610,83
1611,79
1612,70
1613,56
1614,45
1615,87
1616,40
1617,68
1618,70
1619,76
1620,62
1621,80
1622,80
1623,66
1624,44
1625,74
1626,61
1627,49
1628,46
1629,73
1630,36
1631,78
1632,78
1633,43
1634,28
1635,72
1636,47
1637,17
1638,70
1639,77
1640,69
1641,63
1642,80
1643,85
1644,61
1645,84
1646,90
1647,36
1648,76
1649,79
1650,77
1651,66
1652,45
1653,60
1654,59
1655,72
1656,72
1657,67
1658,78
1659,68
1660,74
1661,42
1662,68
1663,84
1664,66
1665,59
1666,75
1667,69
1668,56
1669,60
1670,59
1671,42
1672,74
1673,81
1674,33
1675,84
1676,75
1677,86
1678,78
1679,49
1680,62
1681,39
1682,73
1683,73
1684,71
1685,77
1686,66
1687,72
1688,70
1689,79
1690,71
1691,81
1692,70
1693,57
1694,74
1695,78
1696,67
1697,57
1698,63
1699,68
1700,53
1701,69
1702,54
1703,72
1704,67
1705,56
1706,67
1707,82
1708,55
1709,72
1710,83
1711,62
1712,68
1713,81
1714,77
1715,73
1716,65
1717,45
1718,27
1719,82
1720,77
1721,56
1722,60
1723,50
1724,83
1725,25
1726,65
1727,60
1728,60
1729,48
1730,72
1731,86
1732,35
1733,31
1734,31
1735,68
1736,71
1737,89
1738,59
1739,24
1740,54
1741,65
1742,72
1743,77
1744,85
1745,78
1746,70
1747,75
1748,67
1749,75
1750,59
1751,43
1752,73
1753,68
1754,46
1755,77
1756,74
1757,62
1758,65
1759,79
1760,73
1761,75
1762,76
1763,78
1764,74
1765,82
1766,76
1767,83
1768,60
1769,75
1770,93
1771,68
1772,74
1773,64
1774,82
1775,88
1776,42
1777,65
1778,74
1779,72
1780,41
1781,33
1782,58
1783,41
1784,73
1785,73
1786,81
1787,62
1788,45
1789,67
1790,35
1791,85
1792,51
1793,76
1794,24
1795,62
1796,55
1797,82
1798,72
1799,89
1800,60
1801,73
1802,43
1803,81
1804,22
1805,44
1806,88
1807,36
1808,39
1809,46
1810,72
1811,78
1812,75
1813,88
1814,83
1815,72
1816,63
1817,63
1818,49
1819,89
1820,66
1821,63
1822,28
1823,27
1824,82
1825,67
1826,72
1827,73
1828,43
1829,90
1830,90
1831,82
1832,81
1833,72
1834,79
1835,76
1836,76
1837,70
1838,51
1839,57
1840,39
1841,20
1842,80
1843,76
1844,68
1845,59
1846,73
1847,38
1848,38
1849,35
1850,75
1851,66
1852,64
1853,37
1854,54
1855,76
1856,64
1857,83
1858,76
1859,73
1860,50
1861,24
1862,71
1863,84
1864,82
1865,52
1866,57
1867,84
1868,57
1869,62
1870,74
1871,79
1872,83
1873,68
1874,66
1875,40
1876,50
1877,85
1878,88
1879,74
1880,60
1881,72
1882,82
1883,68
1884,69
1885,51
1886,82
1887,82
1888,38
1889,77
1890,76
1891,15
1892,69
1893,55
1894,57
1895,65
1896,55
1897,77
1898,66
1899,74
1900,81
1901,17
1902,82
1903,80
1904,32
1905,72
1906,78
1907,69
1908,77
1909,86
1910,63
1911,79
1912,74
1913,69
1914,73
1915,75
1916,90
1917,62
1918,66
1919,65
1920,41
1921,65
1922,74
1923,55
1924,26
1925,66
1926,81
1927,74
1928,44
1929,58
1930,72
1931,46
1932,76
1933,59
1934,81
1935,65
1936,81
1937,69
1938,69
1939,83
1940,66
1941,76
1942,63
1943,51
1944,71
1945,85
1946,56
1947,80
1948,79
1949,69
1950,80
1951,35
1952,82
1953,73
1954,60
1955,67
1956,75
1957,78
1958,76
1959,73
1960,64
1961,69
1962,74
1963,45
1964,30
1965,63
1966,75
1967,29
1968,38
1969,78
1970,76
1971,30
1972,36
1973,62
1974,42
1975,76
1976,80
1977,34
1978,53
1979,78
1980,77
1981,61
1982,66
1983,64
1984,80
1985,78
1986,71
1987,68
1988,60
1989,60
1990,69
1991,58
1992,45
1993,84
1994,70
1995,76
1996,68
1997,73
1998,83
1999,50
2000,81
2001,50
2002,54
2003,83
2004,77
2005,63
2006,85
2007,61
2008,75
2009,76
2010,87
2011,78
2012,75
2013,77
2014,66
2015,68
2016,75
2017,24
2018,68
2019,75
2020,35
2021,75
2022,73
2023,61
2024,74
2025,56
2026,70
2027,74
2028,78
2029,56
2030,68
2031,74
2032,77
2033,62
2034,77
2035,72
2036,24
2037,41
2038,62
2039,20
2040,20
2041,68
2042,59
2043,70
2044,70
2045,37
2046,69
2047,90
2048,27
2049,47
2050,58
2051,64
2052,40
2053,50
2054,58
2055,72
2056,76
2057,82
2058,73
2059,55
2060,68
2061,88
2062,67
2063,94
2064,74
2065,68
2066,67
2067,58
2068,84
2069,32
2070,49
2071,64
2072,71
2073,80
2074,25
2075,70
2076,67
2077,72
2078,74
2079,88
2080,79
2081,69
2082,74
2083,57
2084,47
2085,55
2086,26
2087,82
2088,58
2089,57
2090,26
2091,26
2092,53
2093,61
2094,82
2095,85
2096,69
2097,45
2098,42
2099,81
2100,76
2101,52
2102,74
2103,61
2104,90
2105,75
2106,79
2107,32
2108,59
2109,72
2110,79
2111,43
2112,16
2113,75
2114,76
2115,81
2116,80
2117,80
2118,62
2119,75
2120,84
2121,69
2122,30
2123,63
2124,35
2125,41
2126,66
2127,76
2128,76
2129,88
2130,51
2131,69
2132,49
2133,72
2134,40
2135,50
2136,63
2137,82
2138,62
2139,76
2140,75
2141,74
2142,74
2143,68
2144,77
2145,79
2146,78
2147,64
2148,74
2149,80
2150,71
2151,61
2152,21
2153,31
2154,81
2155,68
2156,67
2157,39
2158,54
2159,68
2160,80
2161,83
2162,38
2163,75
2164,45
2165,81
2166,72
2167,76
2168,72
2169,39
2170,41
2171,45
2172,74
2173,68
2174,85
2175,59
2176,28
2177,68
2178,52
2179,33
2180,67
2181,12
2182,74
2183,71
2184,76
2185,59
2186,74
2187,55
2188,82
2189,80
2190,61
2191,79
2192,89
2193,89
2194,32
2195,87
2196,76
2197,40
2198,82
2199,78
2200,74
2201,39
2202,69
2203,71
2204,66
2205,56
2206,84
2207,74
2208,87
2209,77
2210,80
2211,58
2212,69
2213,17
2214,45
2215,60
2216,23
2217,88
2218,59
2219,34
2220,72
2221,74
2222,67
2223,76
2224,88
2225,60
2226,73
2227,75
2228,53
2229,89
2230,69
2231,75
2232,24
2233,74
2234,47
2235,78
2236,63
2237,75
2238,67
2239,58
2240,70
2241,71
2242,76
2243,76
2244,76
2245,87
2246,41
2247,54
2248,80
2249,74
2250,75
2251,36
2252,63
2253,34
2254,76
2255,73
2256,87
2257,81
2258,76
2259,79
2260,68
2261,82
2262,41
2263,55
2264,76
2265,65
2266,78
2267,52
2268,64
2269,73
2270,44
2271,87
2272,48
2273,76
2274,70
2275,85
2276,80
2277,44
2278,78
2279,59
2280,62
2281,69
2282,44
2283,39
2284,69
2285,78
2286,79
2287,45
2288,22
2289,58
2290,23
2291,68
2292,79
2293,59
2294,63
2295,63
2296,61
2297,54
2298,45
2299,78
2300,65
2301,80
2302,57
2303,60
2304,33
2305,75
2306,22
2307,73
2308,50
2309,86
2310,33
2311,75
2312,52
2313,74
2314,70
2315,70
2316,44
2317,66
2318,83
2319,78
2320,68
2321,74
2322,39
2323,58
2324,70
2325,72
2326,48
2327,63
2328,55
2329,72
2330,60
2331,73
2332,70
2333,53
2334,59
2335,81
2336,40
2337,60
2338,73
2339,80
2340,72
2341,71
2342,63
2343,74
2344,64
2345,78
2346,78
2347,69
2348,78
2349,67
2350,71
2351,53
2352,79
2353,77
2354,77
2355,75
2356,55
2357,55
2358,65
2359,48
2360,81
2361,70
2362,39
2363,78
2364,58
2365,59
2366,38
2367,50
2368,42
2369,82
2370,40
2371,50
2372,30
2373,82
2374,70
2375,37
2376,65
2377,46
2378,79
2379,80
2380,69
2381,75
2382,68
2383,90
2384,34
2385,63
2386,74
2387,45
2388,49
2389,62
2390,71
2391,80
2392,77
2393,63
2394,75
2395,64
2396,66
2397,66
2398,80
2399,78
2400,80
2401,54
2402,75
2403,73
2404,80
2405,55
2406,56
2407,57
2408,74
2409,55
2410,79
2411,73
2412,66
2413,33
2414,48
2415,80
2416,70
2417,75
2418,81
2419,67
2420,29
2421,80
2422,78
2423,52
2424,27
2425,74
2426,40
2427,76
2428,62
2429,54
2430,78
2431,70
2432,40
2433,61
2434,68
2435,79
2436,62
2437,52
2438,63
2439,81
2440,62
2441,71
2442,56
2443,71
2444,71
2445,69
2446,74
2447,22
2448,22
2449,30
2450,73
2451,74
2452,67
2453,62
2454,72
2455,57
2456,76
2457,55
2458,48
2459,70
2460,83
2461,63
2462,71
2463,22
2464,78
2465,85
2466,60
2467,59
2468,70
2469,68
2470,41
2471,69
2472,77
2473,48
2474,64
2475,74
2476,32
2477,73
2478,79
2479,77
2480,79
2481,75
2482,52
2483,72
2484,79
2485,72
2486,76
2487,38
2488,41
2489,75
2490,73
2491,81
2492,72
2493,71
2494,58
2495,36
2496,43
2497,39
2498,69
2499,69
2500,83
2501,81
2502,41
2503,71
2504,95
2505,74
2506,72
2507,53
2508,62
2509,77
2510,59
2511,68
2512,78
2513,76
2514,65
2515,64
2516,70
2517,65
2518,70
2519,26
2520,72
2521,55
2522,59
2523,72
2524,73
2525,45
2526,69
2527,76
2528,60
2529,78
2530,38
2531,80
2532,59
2533,80
2534,32
2535,64
2536,36
2537,68
2538,60
2539,28
2540,86
2541,69
2542,70
2543,80
2544,74
2545,52
2546,58
2547,44
2548,51
2549,19
2550,19
2551,50
2552,82
2553,76
2554,60
2555,79
2556,53
2557,72
2558,59
2559,74
2560,58
2561,73
2562,62
2563,59
2564,59
2565,55
2566,80
2567,13
2568,32
2569,85
2570,62
2571,83
2572,36
2573,50
2574,82
2575,86
2576,70
2577,62
2578,58
2579,68
2580,46
2581,32
2582,38
2583,82
2584,66
2585,69
2586,72
2587,69
2588,42
2589,90
2590,54
2591,55
2592,69
2593,78
2594,28
2595,81
2596,60
2597,55
2598,29
2599,74
2600,34
2601,34
2602,38
2603,58
2604,80
2605,60
2606,82
2607,83
2608,76
2609,77
2610,80
2611,55
2612,66
2613,67
2614,57
2615,16
2616,87
2617,70
2618,12
2619,68
2620,21
2621,71
2622,24
2623,46
2624,76
2625,55
2626,60
2627,74
2628,78
2629,88
2630,55
2631,73
2632,52
2633,67
2634,72
2635,39
2636,62
2637,47
2638,84
2639,34
2640,82
2641,57
2642,65
2643,68
2644,68
2645,67
2646,72
2647,34
2648,49
2649,47
2650,70
2651,26
2652,26
2653,75
2654,80
2655,70
2656,76
2657,64
2658,71
2659,63
2660,75
2661,66
2662,71
2663,80
2664,38
2665,75
2666,70
2667,74
2668,58
2669,38
2670,68
2671,71
2672,38
2673,85
2674,72
2675,45
2676,53
2677,39
2678,59
2679,69
2680,65
2681,76
2682,75
2683,61
2684,53
2685,64
2686,65
2687,77
2688,45
2689,56
2690,81
2691,67
2692,32
2693,72
2694,65
2695,68
2696,60
2697,70
2698,78
2699,73
2700,67
2701,82
2702,40
2703,40
2704,22
2705,63
2706,82
2707,27
2708,69
2709,43
2710,62
2711,69
2712,49
2713,69
2714,71
2715,44
2716,72
2717,84
2718,61
2719,48
2720,78
2721,83
2722,82
2723,79
2724,76
2725,22
2726,66
2727,73
2728,87
2729,68
2730,64
2731,70
2732,76
2733,75
2734,85
2735,76
2736,71
2737,36
2738,52
2739,70
2740,61
2741,60
2742,75
2743,65
2744,67
2745,66
2746,62
2747,75
2748,67
2749,42
2750,68
2751,60
2752,80
2753,66
2754,66
2755,71
2756,65
2757,71
2758,51
2759,56
2760,45
2761,68
2762,81
2763,81
2764,64
2765,67
2766,74
2767,76
2768,75
2769,32
2770,57
2771,33
2772,75
2773,40
2774,72
2775,69
2776,69
2777,84
2778,84
2779,87
2780,59
2781,72
2782,50
2783,76
2784,21
2785,78
2786,66
2787,66
2788,70
2789,34
2790,72
2791,68
2792,73
2793,76
2794,71
2795,70
2796,76
2797,21
2798,38
2799,77
2800,89
2801,62
2802,59
2803,23
2804,48
2805,48
2806,75
2807,68
2808,68
2809,83
2810,63
2811,69
2812,74
2813,32
2814,61
2815,74
2816,46
2817,60
2818,79
2819,33
2820,43
2821,68
2822,70
2823,64
2824,32
2825,71
2826,78
2827,64
2828,77
2829,90
2830,60
2831,38
2832,74
2833,53
2834,59
2835,80
2836,78
2837,64
2838,58
2839,58
2840,78
2841,67
2842,52
2843,81
2844,70
2845,74
2846,62
2847,60
2848,67
2849,72
2850,72
2851,80
2852,59
2853,84
2854,73
2855,74
2856,74
2857,39
2858,78
2859,90
2860,80
2861,72
2862,65
2863,58
2864,76
2865,74
2866,36
2867,55
2868,68
2869,74
2870,62
2871,26
2872,76
2873,83
2874,81
2875,71
2876,59
2877,69
2878,71
2879,90
2880,80
2881,53
2882,70
2883,46
2884,40
2885,73
2886,62
2887,75
2888,65
2889,21
2890,76
2891,76
2892,88
2893,41
2894,78
2895,42
2896,56
2897,78
2898,51
2899,79
2900,73
2901,58
2902,56
2903,34
2904,73
2905,78
2906,59
2907,59
2908,78
2909,75
2910,65
2911,33
2912,74
2913,66
2914,84
2915,68
2916,30
2917,82
2918,68
2919,80
2920,30
2921,35
2922,42
2923,75
2924,41
2925,78
2926,46
2927,71
2928,21
2929,77
2930,75
2931,71
2932,71
2933,55
2934,41
2935,52
2936,63
2937,28
2938,18
2939,76
2940,21
2941,76
2942,43
2943,76
2944,57
2945,41
2946,78
2947,53
2948,72
2949,63
2950,73
2951,90
2952,23
2953,67
2954,37
2955,77
2956,64
2957,41
2958,41
2959,81
2960,61
2961,67
2962,66
2963,58
2964,72
2965,45
2966,76
2967,55
2968,50
2969,37
2970,72
2971,54
2972,68
2973,57
2974,69
2975,75
2976,70
2977,66
2978,56
2979,68
2980,58
2981,72
2982,80
2983,83
2984,81
2985,66
2986,85
2987,75
2988,68
2989,58
2990,34
2991,66
2992,76
2993,23
2994,77
2995,67
2996,69
