,Agility
337,72
338,83
339,60
340,54
341,80
342,78
343,51
344,88
345,71
346,79
347,71
348,75
349,71
350,63
351,71
352,73
353,83
354,73
355,67
356,54
357,54
358,68
359,49
360,76
361,71
362,86
363,77
364,58
365,74
366,68
367,57
368,80
369,82
370,75
371,72
372,52
373,54
374,63
375,82
376,66
377,63
378,74
379,84
380,82
381,92
382,87
383,74
384,55
385,74
386,39
387,84
388,70
389,69
390,85
391,84
392,77
393,81
394,59
395,54
396,62
397,66
398,74
399,63
400,87
401,78
402,93
403,76
404,84
405,58
406,77
407,82
408,82
409,73
410,88
411,67
412,73
413,60
414,78
415,71
416,63
417,77
418,78
419,60
420,78
421,92
422,92
423,83
424,50
425,48
426,77
427,57
428,67
429,67
430,51
431,84
432,64
433,67
434,30
435,60
436,71
437,72
438,78
439,36
440,74
441,72
442,75
443,74
444,69
445,86
446,75
447,82
448,81
449,54
450,78
451,88
452,72
453,53
454,54
455,78
456,73
457,53
458,76
459,76
460,50
461,69
462,59
463,84
464,34
465,86
466,72
467,54
468,81
469,85
470,77
471,66
472,82
473,74
474,42
475,67
476,71
477,73
478,77
479,70
480,94
481,85
482,45
483,52
484,51
485,80
486,81
487,64
488,43
489,73
490,63
491,73
492,71
493,53
494,85
495,68
496,68
497,63
498,34
499,52
500,80
501,52
502,72
503,65
504,77
505,77
506,66
507,34
508,52
509,83
510,83
511,59
512,70
513,52
514,81
515,74
516,71
517,59
518,52
519,77
520,38
521,55
522,66
523,53
524,77
525,70
526,78
527,62
528,50
529,68
530,72
531,67
532,60
533,54
534,76
535,66
536,70
537,52
538,55
539,60
540,87
541,72
542,36
543,90
544,67
545,82
546,40
547,78
548,79
549,93
550,92
551,70
552,58
553,66
554,81
555,64
556,87
557,61
558,91
559,79
560,90
561,90
562,67
563,81
564,75
565,76
566,58
567,76
568,36
569,84
570,31
571,91
572,80
573,83
574,78
575,85
576,81
577,84
578,86
579,90
580,58
581,73
582,83
583,86
584,79
585,68
586,68
587,64
588,91
589,56
590,68
591,62
592,76
593,74
594,88
595,77
596,83
597,52
598,59
599,83
600,68
601,68
602,83
603,71
604,76
605,86
606,68
607,83
608,81
609,73
610,64
611,59
612,59
613,77
614,70
615,34
616,66
617,77
618,54
619,77
620,78
621,75
622,83
623,73
624,85
625,45
626,87
627,53
628,47
629,69
630,59
631,74
632,66
633,58
634,73
635,77
636,80
637,73
638,85
639,75
640,34
641,66
642,88
643,43
644,82
645,69
646,47
647,42
648,74
649,86
650,71
651,69
652,53
653,61
654,89
655,87
656,78
657,75
658,78
659,59
660,49
661,86
662,66
663,66
664,79
665,72
666,81
667,75
668,74
669,76
670,76
671,50
672,60
673,69
674,83
675,84
676,74
677,82
678,61
679,80
680,75
681,81
682,34
683,78
684,64
685,67
686,58
687,39
688,75
689,72
690,49
691,39
692,65
693,51
694,65
695,71
696,68
697,52
698,87
699,76
700,79
701,88
702,68
703,55
704,74
705,64
706,68
707,80
708,30
709,55
710,84
711,69
712,58
713,88
714,88
715,68
716,85
717,80
718,69
719,72
720,64
721,87
722,80
723,90
724,67
725,76
726,62
727,80
728,66
729,76
730,55
731,82
732,51
733,71
734,64
735,83
736,69
737,36
738,35
739,85
740,70
741,78
742,61
743,80
744,65
745,91
746,77
747,64
748,83
749,87
750,64
751,75
752,84
753,91
754,62
755,63
756,69
757,76
758,45
759,62
760,77
761,85
762,60
763,78
764,53
765,53
766,67
767,78
768,65
769,94
770,81
771,63
772,88
773,49
774,78
775,43
776,32
777,35
778,36
779,93
780,68
781,72
782,86
783,92
784,66
785,66
786,76
787,78
788,75
789,76
790,68
791,72
792,68
793,65
794,83
795,85
796,60
797,72
798,65
799,60
800,53
801,73
802,76
803,51
804,76
805,79
806,58
807,67
808,81
809,71
810,82
811,53
812,80
813,81
814,67
815,76
816,76
817,83
818,69
819,41
820,68
821,80
822,77
823,64
824,69
825,65
826,67
827,70
828,68
829,66
830,60
831,80
832,65
833,73
834,65
835,33
836,59
837,62
838,66
839,68
840,88
841,66
842,69
843,70
844,63
845,58
846,80
847,82
848,91
849,65
850,53
851,80
852,65
853,54
854,87
855,86
856,60
857,68
858,64
859,76
860,52
861,73
862,50
863,86
864,84
865,76
866,79
867,79
868,64
869,77
870,54
871,60
872,48
873,75
874,63
875,74
876,68
877,68
878,58
879,76
880,70
881,86
882,44
883,54
884,78
885,74
886,51
887,68
888,86
889,87
890,58
891,88
892,66
893,52
894,81
895,68
896,75
897,70
898,70
899,71
900,45
901,77
902,92
903,50
904,68
905,45
906,65
907,62
908,67
909,52
910,60
911,77
912,78
913,78
914,78
915,67
916,50
917,67
918,88
919,62
920,63
921,76
922,68
923,61
924,59
925,80
926,77
927,67
928,73
929,87
930,76
931,74
932,79
933,85
934,67
935,91
936,74
937,69
938,83
939,79
940,76
941,48
942,26
943,78
944,67
945,73
946,64
947,55
948,85
949,70
950,74
951,68
952,86
953,78
954,67
955,76
956,59
957,54
958,66
959,57
960,77
961,73
962,57
963,69
964,71
965,34
966,71
967,84
968,65
969,65
970,68
971,65
972,78
973,86
974,66
975,51
976,89
977,79
978,75
979,80
980,51
981,69
982,59
983,51
984,30
985,87
986,76
987,72
988,72
989,67
990,86
991,62
992,82
993,73
994,82
995,79
996,74
997,76
998,61
999,59
1000,72
1001,73
1002,82
1003,73
1004,67
1005,82
1006,67
1007,68
1008,85
1009,83
1010,64
1011,82
1012,73
1013,75
1014,77
1015,69
1016,56
1017,69
1018,90
1019,65
1020,65
1021,37
1022,82
1023,90
1024,67
1025,79
1026,85
1027,44
1028,74
1029,75
1030,54
1031,77
1032,82
1033,77
1034,44
1035,75
1036,69
1037,72
1038,78
1039,68
1040,88
1041,80
1042,79
1043,36
1044,65
1045,69
1046,62
1047,72
1048,86
1049,75
1050,40
1051,65
1052,91
1053,82
1054,58
1055,64
1056,70
1057,31
1058,78
1059,73
1060,69
1061,77
1062,48
1063,74
1064,75
1065,80
1066,84
1067,78
1068,87
1069,46
1070,76
1071,76
1072,71
1073,53
1074,83
1075,57
1076,69
1077,69
1078,42
1079,68
1080,79
1081,84
1082,79
1083,86
1084,37
1085,54
1086,67
1087,67
1088,86
1089,84
1090,74
1091,74
1092,67
1093,72
1094,73
1095,71
1096,75
1097,83
1098,68
1099,65
1100,75
1101,75
1102,84
1103,65
1104,78
1105,60
1106,94
1107,60
1108,79
1109,55
1110,61
1111,85
1112,53
1113,74
1114,65
1115,33
1116,81
1117,77
1118,52
1119,57
1120,63
1121,83
1122,83
1123,74
1124,80
1125,67
1126,71
1127,81
1128,85
1129,91
1130,65
1131,58
1132,75
1133,86
1134,78
1135,62
1136,77
1137,58
1138,71
1139,90
1140,74
1141,76
1142,67
1143,46
1144,66
1145,69
1146,85
1147,66
1148,70
1149,62
1150,75
1151,91
1152,65
1153,84
1154,77
1155,78
1156,43
1157,68
1158,79
1159,56
1160,75
1161,47
1162,73
1163,80
1164,78
1165,68
1166,50
1167,79
1168,74
1169,50
1170,79
1171,55
1172,64
1173,64
1174,74
1175,54
1176,75
1177,83
1178,81
1179,81
1180,70
1181,64
1182,79
1183,77
1184,75
1185,90
1186,77
1187,40
1188,46
1189,68
1190,71
1191,52
1192,75
1193,65
1194,56
1195,67
1196,82
1197,71
1198,71
1199,54
1200,63
1201,63
1202,76
1203,83
1204,91
1205,79
1206,86
1207,62
1208,74
1209,51
1210,50
1211,92
1212,88
1213,78
1214,78
1215,82
1216,66
1217,78
1218,36
1219,76
1220,40
1221,81
1222,34
1223,69
1224,69
1225,85
1226,77
1227,77
1228,78
1229,84
1230,63
1231,82
1232,38
1233,74
1234,31
1235,68
1236,76
1237,75
1238,72
1239,50
1240,62
1241,62
1242,76
1243,77
1244,79
1245,40
1246,68
1247,74
1248,53
1249,84
1250,55
1251,40
1252,48
1253,66
1254,71
1255,69
1256,43
1257,79
1258,74
1259,50
1260,75
1261,48
1262,79
1263,83
1264,65
1265,89
1266,77
1267,79
1268,72
1269,48
1270,64
1271,84
1272,60
1273,31
1274,66
1275,66
1276,65
1277,77
1278,62
1279,77
1280,63
1281,69
1282,83
1283,77
1284,77
1285,79
1286,78
1287,72
1288,93
1289,56
1290,67
1291,68
1292,71
1293,53
1294,70
1295,77
1296,91
1297,60
1298,74
1299,85
1300,91
1301,52
1302,87
1303,78
1304,52
1305,87
1306,49
1307,74
1308,63
1309,82
1310,74
1311,65
1312,64
1313,30
1314,80
1315,58
1316,76
1317,28
1318,68
1319,62
1320,66
1321,80
1322,43
1323,67
1324,75
1325,63
1326,63
1327,61
1328,78
1329,78
1330,66
1331,72
1332,70
1333,87
1334,86
1335,38
1336,75
1337,74
1338,61
1339,78
1340,62
1341,34
1342,59
1343,60
1344,78
1345,85
1346,79
1347,88
1348,78
1349,75
1350,63
1351,53
1352,79
1353,81
1354,49
1355,76
1356,61
1357,78
1358,66
1359,60
1360,92
1361,32
1362,79
1363,82
1364,40
1365,69
1366,77
1367,59
1368,69
1369,60
1370,73
1371,85
1372,62
1373,67
1374,69
1375,25
1376,69
1377,69
1378,80
1379,79
1380,61
1381,91
1382,59
1383,75
1384,46
1385,78
1386,82
1387,32
1388,71
1389,72
1390,61
1391,44
1392,80
1393,78
1394,75
1395,72
1396,72
1397,63
1398,77
1399,79
1400,67
1401,83
1402,66
1403,76
1404,68
1405,57
1406,75
1407,77
1408,67
1409,69
1410,65
1411,51
1412,59
1413,76
1414,80
1415,89
1416,63
1417,85
1418,58
1419,55
1420,79
1421,91
1422,73
1423,83
1424,77
1425,55
1426,45
1427,25
1428,25
1429,64
1430,64
1431,35
1432,55
1433,85
1434,62
1435,66
1436,71
1437,72
1438,62
1439,74
1440,51
1441,78
1442,78
1443,70
1444,69
1445,55
1446,74
1447,74
1448,76
1449,75
1450,77
1451,44
1452,75
1453,53
1454,53
1455,83
1456,50
1457,66
1458,60
1459,93
1460,65
1461,59
1462,79
1463,30
1464,54
1465,49
1466,42
1467,61
1468,85
1469,67
1470,74
1471,66
1472,68
1473,58
1474,43
1475,30
1476,74
1477,32
1478,77
1479,77
1480,90
1481,62
1482,42
1483,51
1484,79
1485,71
1486,53
1487,86
1488,66
1489,29
1490,80
1491,65
1492,86
1493,60
1494,44
1495,67
1496,73
1497,62
1498,65
1499,53
1500,63
1501,69
1502,62
1503,36
1504,77
1505,77
1506,73
1507,71
1508,74
1509,76
1510,72
1511,73
1512,60
1513,60
1514,57
1515,77
1516,53
1517,68
1518,68
1519,77
1520,69
1521,40
1522,83
1523,80
1524,77
1525,74
1526,72
1527,83
1528,81
1529,41
1530,41
1531,67
1532,65
1533,86
1534,92
1535,64
1536,66
1537,74
1538,44
1539,69
1540,58
1541,83
1542,33
1543,78
1544,59
1545,82
1546,93
1547,68
1548,60
1549,52
1550,76
1551,49
1552,65
1553,60
1554,77
1555,48
1556,55
1557,45
1558,85
1559,48
1560,81
1561,75
1562,75
1563,84
1564,81
1565,63
1566,62
1567,46
1568,75
1569,76
1570,89
1571,55
1572,67
1573,76
1574,76
1575,76
1576,76
1577,52
1578,74
1579,45
1580,56
1581,56
1582,73
1583,78
1584,76
1585,69
1586,63
1587,92
1588,69
1589,73
1590,86
1591,65
1592,55
1593,45
1594,69
1595,62
1596,56
1597,83
1598,82
1599,67
1600,78
1601,82
1602,73
1603,58
1604,67
1605,72
1606,71
1607,70
1608,64
1609,78
1610,74
1611,58
1612,68
1613,91
1614,88
1615,78
1616,88
1617,79
1618,49
1619,74
1620,84
1621,72
1622,75
1623,56
1624,41
1625,80
1626,84
1627,82
1628,50
1629,32
1630,79
1631,49
1632,49
1633,87
1634,57
1635,50
1636,82
1637,32
1638,30
1639,76
1640,85
1641,73
1642,67
1643,62
1644,66
1645,54
1646,70
1647,83
1648,59
1649,51
1650,44
1651,73
1652,51
1653,72
1654,80
1655,83
1656,72
1657,70
1658,64
1659,76
1660,68
1661,58
1662,54
1663,51
1664,86
1665,71
1666,77
1667,65
1668,87
1669,79
1670,76
1671,72
1672,83
1673,33
1674,43
1675,68
1676,71
1677,74
1678,66
1679,89
1680,54
1681,81
1682,79
1683,79
1684,44
1685,76
1686,89
1687,66
1688,84
1689,77
1690,68
1691,83
1692,48
1693,67
1694,78
1695,62
1696,85
1697,86
1698,79
1699,79
1700,77
1701,66
1702,84
1703,74
1704,81
1705,84
1706,77
1707,62
1708,80
1709,63
1710,62
1711,72
1712,71
1713,81
1714,59
1715,32
1716,58
1717,77
1718,36
1719,61
1720,85
1721,77
1722,73
1723,85
1724,76
1725,38
1726,72
1727,84
1728,86
1729,79
1730,88
1731,68
1732,37
1733,82
1734,82
1735,91
1736,70
1737,81
1738,81
1739,56
1740,75
1741,78
1742,50
1743,77
1744,71
1745,75
1746,54
1747,86
1748,73
1749,66
1750,67
1751,81
1752,67
1753,65
1754,91
1755,65
1756,59
1757,79
1758,80
1759,53
1760,42
1761,80
1762,67
1763,77
1764,75
1765,32
1766,67
1767,65
1768,43
1769,61
1770,46
1771,85
1772,68
1773,71
1774,54
1775,56
1776,84
1777,82
1778,79
1779,77
1780,77
1781,87
1782,87
1783,92
1784,64
1785,64
1786,53
1787,73
1788,78
1789,76
1790,73
1791,28
1792,81
1793,60
1794,55
1795,74
1796,86
1797,75
1798,72
1799,77
1800,52
1801,78
1802,78
1803,64
1804,55
1805,80
1806,77
1807,89
1808,61
1809,83
1810,74
1811,71
1812,65
1813,64
1814,75
1815,72
1816,35
1817,91
1818,87
1819,34
1820,91
1821,73
1822,80
1823,48
1824,67
1825,63
1826,78
1827,80
1828,75
1829,66
1830,78
1831,76
1832,71
1833,75
1834,88
1835,60
1836,60
1837,78
1838,86
1839,79
1840,76
1841,32
1842,53
1843,63
1844,79
1845,69
1846,63
1847,84
1848,40
1849,81
1850,65
1851,85
1852,63
1853,81
1854,78
1855,51
1856,65
1857,72
1858,68
1859,77
1860,82
1861,88
1862,67
1863,51
1864,65
1865,57
1866,76
1867,76
1868,82
1869,77
1870,77
1871,34
1872,76
1873,84
1874,79
1875,54
1876,77
1877,63
1878,62
1879,50
1880,56
1881,29
1882,34
1883,75
1884,63
1885,62
1886,60
1887,60
1888,58
1889,49
1890,51
1891,66
1892,77
1893,86
1894,75
1895,77
1896,79
1897,91
1898,73
1899,48
1900,67
1901,39
1902,66
1903,66
1904,48
1905,57
1906,65
1907,50
1908,70
1909,73
1910,81
1911,64
1912,74
1913,46
1914,54
1915,60
1916,66
1917,77
1918,79
1919,41
1920,83
1921,84
1922,70
1923,74
1924,78
1925,72
1926,65
1927,73
1928,78
1929,79
1930,72
1931,80
1932,70
1933,74
1934,59
1935,86
1936,66
1937,75
1938,75
1939,36
1940,74
1941,62
1942,65
1943,73
1944,65
1945,73
1946,61
1947,52
1948,31
1949,67
1950,69
1951,45
1952,59
1953,64
1954,63
1955,49
1956,65
1957,70
1958,78
1959,57
1960,78
1961,78
1962,73
1963,45
1964,50
1965,82
1966,71
1967,48
1968,77
1969,76
1970,46
1971,60
1972,31
1973,78
1974,79
1975,59
1976,69
1977,92
1978,77
1979,58
1980,65
1981,75
1982,54
1983,72
1984,67
1985,65
1986,72
1987,74
1988,58
1989,58
1990,74
1991,77
1992,80
1993,63
1994,87
1995,69
1996,76
1997,73
1998,75
1999,79
2000,62
2001,78
2002,80
2003,59
2004,40
2005,77
2006,67
2007,81
2008,80
2009,65
2010,63
2011,77
2012,61
2013,53
2014,67
2015,76
2016,84
2017,45
2018,62
2019,75
2020,48
2021,55
2022,68
2023,90
2024,67
2025,71
2026,45
2027,75
2028,82
2029,76
2030,78
2031,62
2032,72
2033,87
2034,70
2035,49
2036,36
2037,90
2038,72
2039,32
2040,32
2041,76
2042,87
2043,84
2044,76
2045,87
2046,30
2047,53
2048,48
2049,73
2050,85
2051,72
2052,69
2053,90
2054,84
2055,62
2056,76
2057,45
2058,73
2059,70
2060,82
2061,54
2062,83
2063,38
2064,57
2065,60
2066,76
2067,69
2068,57
2069,79
2070,68
2071,82
2072,75
2073,47
2074,56
2075,53
2076,71
2077,72
2078,81
2079,44
2080,64
2081,58
2082,62
2083,83
2084,78
2085,81
2086,40
2087,75
2088,86
2089,74
2090,39
2091,39
2092,88
2093,76
2094,33
2095,67
2096,82
2097,69
2098,77
2099,71
2100,76
2101,76
2102,82
2103,75
2104,66
2105,46
2106,64
2107,74
2108,68
2109,55
2110,54
2111,80
2112,63
2113,78
2114,69
2115,54
2116,64
2117,56
2118,61
2119,32
2120,49
2121,71
2122,43
2123,70
2124,42
2125,32
2126,68
2127,33
2128,71
2129,31
2130,59
2131,34
2132,77
2133,83
2134,30
2135,70
2136,73
2137,76
2138,69
2139,60
2140,54
2141,60
2142,60
2143,84
2144,81
2145,57
2146,69
2147,78
2148,64
2149,66
2150,28
2151,83
2152,43
2153,39
2154,33
2155,58
2156,74
2157,75
2158,81
2159,85
2160,54
2161,67
2162,91
2163,81
2164,78
2165,72
2166,84
2167,64
2168,70
2169,74
2170,76
2171,90
2172,74
2173,83
2174,62
2175,64
2176,58
2177,64
2178,63
2179,42
2180,68
2181,46
2182,42
2183,64
2184,78
2185,71
2186,72
2187,90
2188,49
2189,65
2190,84
2191,64
2192,63
2193,63
2194,61
2195,65
2196,36
2197,91
2198,73
2199,33
2200,73
2201,87
2202,81
2203,86
2204,93
2205,78
2206,60
2207,55
2208,75
2209,82
2210,69
2211,69
2212,69
2213,34
2214,71
2215,54
2216,55
2217,61
2218,68
2219,69
2220,62
2221,45
2222,89
2223,62
2224,26
2225,87
2226,57
2227,80
2228,72
2229,75
2230,64
2231,62
2232,38
2233,84
2234,87
2235,50
2236,54
2237,73
2238,91
2239,77
2240,64
2241,43
2242,76
2243,64
2244,64
2245,33
2246,87
2247,78
2248,81
2249,64
2250,71
2251,48
2252,73
2253,77
2254,53
2255,72
2256,64
2257,48
2258,77
2259,56
2260,83
2261,79
2262,87
2263,95
2264,49
2265,76
2266,60
2267,80
2268,72
2269,50
2270,81
2271,67
2272,75
2273,48
2274,63
2275,76
2276,54
2277,85
2278,64
2279,83
2280,75
2281,65
2282,80
2283,86
2284,65
2285,88
2286,59
2287,72
2288,77
2289,66
2290,43
2291,72
2292,71
2293,91
2294,67
2295,67
2296,71
2297,66
2298,78
2299,66
2300,89
2301,73
2302,74
2303,60
2304,37
2305,70
2306,37
2307,73
2308,75
2309,63
2310,37
2311,81
2312,67
2313,77
2314,73
2315,44
2316,81
2317,71
2318,70
2319,69
2320,69
2321,68
2322,72
2323,81
2324,71
2325,78
2326,85
2327,73
2328,69
2329,69
2330,76
2331,89
2332,82
2333,63
2334,72
2335,74
2336,83
2337,78
2338,62
2339,65
2340,77
2341,63
2342,79
2343,72
2344,72
2345,32
2346,32
2347,72
2348,63
2349,61
2350,78
2351,80
2352,66
2353,84
2354,29
2355,76
2356,74
2357,90
2358,77
2359,87
2360,77
2361,36
2362,67
2363,43
2364,86
2365,67
2366,57
2367,78
2368,71
2369,52
2370,75
2371,72
2372,35
2373,82
2374,58
2375,50
2376,81
2377,64
2378,70
2379,61
2380,85
2381,68
2382,67
2383,68
2384,38
2385,80
2386,38
2387,72
2388,81
2389,69
2390,62
2391,66
2392,69
2393,78
2394,74
2395,91
2396,66
2397,66
2398,88
2399,65
2400,66
2401,77
2402,44
2403,88
2404,70
2405,43
2406,78
2407,78
2408,66
2409,74
2410,59
2411,73
2412,62
2413,73
2414,88
2415,57
2416,53
2417,73
2418,73
2419,72
2420,52
2421,71
2422,68
2423,68
2424,50
2425,62
2426,48
2427,68
2428,79
2429,69
2430,84
2431,78
2432,73
2433,80
2434,76
2435,62
2436,61
2437,74
2438,64
2439,57
2440,74
2441,70
2442,77
2443,72
2444,77
2445,78
2446,65
2447,47
2448,47
2449,79
2450,87
2451,78
2452,76
2453,87
2454,53
2455,69
2456,63
2457,38
2458,75
2459,78
2460,76
2461,84
2462,45
2463,34
2464,70
2465,65
2466,90
2467,75
2468,80
2469,49
2470,80
2471,66
2472,83
2473,67
2474,81
2475,82
2476,73
2477,63
2478,84
2479,82
2480,74
2481,66
2482,69
2483,68
2484,45
2485,77
2486,64
2487,66
2488,32
2489,75
2490,69
2491,82
2492,69
2493,70
2494,84
2495,44
2496,80
2497,79
2498,90
2499,90
2500,67
2501,63
2502,68
2503,68
2504,70
2505,49
2506,70
2507,80
2508,81
2509,47
2510,69
2511,75
2512,61
2513,45
2514,88
2515,79
2516,66
2517,92
2518,71
2519,37
2520,73
2521,92
2522,84
2523,73
2524,84
2525,71
2526,75
2527,73
2528,80
2529,72
2530,93
2531,54
2532,79
2533,76
2534,78
2535,70
2536,38
2537,54
2538,77
2539,58
2540,69
2541,51
2542,58
2543,48
2544,78
2545,53
2546,74
2547,32
2548,65
2549,21
2550,21
2551,74
2552,80
2553,60
2554,70
2555,55
2556,73
2557,33
2558,93
2559,75
2560,80
2561,77
2562,73
2563,78
2564,73
2565,69
2566,56
2567,59
2568,43
2569,68
2570,82
2571,73
2572,38
2573,77
2574,66
2575,72
2576,59
2577,62
2578,68
2579,71
2580,82
2581,68
2582,76
2583,59
2584,76
2585,68
2586,79
2587,86
2588,56
2589,71
2590,83
2591,63
2592,66
2593,61
2594,41
2595,58
2596,77
2597,71
2598,52
2599,76
2600,44
2601,44
2602,93
2603,77
2604,53
2605,73
2606,67
2607,70
2608,54
2609,66
2610,65
2611,80
2612,56
2613,74
2614,82
2615,60
2616,60
2617,79
2618,38
2619,83
2620,54
2621,75
2622,55
2623,55
2624,68
2625,80
2626,83
2627,80
2628,55
2629,67
2630,82
2631,77
2632,77
2633,65
2634,43
2635,70
2636,68
2637,73
2638,70
2639,82
2640,72
2641,91
2642,80
2643,72
2644,73
2645,57
2646,61
2647,49
2648,79
2649,78
2650,74
2651,37
2652,37
2653,34
2654,78
2655,62
2656,65
2657,82
2658,71
2659,73
2660,76
2661,73
2662,73
2663,52
2664,60
2665,55
2666,47
2667,53
2668,71
2669,75
2670,58
2671,79
2672,91
2673,55
2674,66
2675,83
2676,75
2677,77
2678,84
2679,68
2680,72
2681,65
2682,51
2683,76
2684,69
2685,70
2686,59
2687,31
2688,81
2689,61
2690,66
2691,78
2692,36
2693,62
2694,77
2695,76
2696,57
2697,70
2698,78
2699,56
2700,75
2701,63
2702,59
2703,59
2704,34
2705,91
2706,74
2707,43
2708,62
2709,67
2710,90
2711,79
2712,88
2713,75
2714,70
2715,74
2716,74
2717,63
2718,67
2719,83
2720,67
2721,65
2722,84
2723,62
2724,82
2725,40
2726,75
2727,46
2728,57
2729,61
2730,72
2731,73
2732,78
2733,58
2734,77
2735,79
2736,74
2737,77
2738,73
2739,48
2740,70
2741,89
2742,73
2743,66
2744,67
2745,70
2746,79
2747,65
2748,76
2749,80
2750,75
2751,90
2752,76
2753,34
2754,34
2755,53
2756,72
2757,75
2758,84
2759,82
2760,38
2761,57
2762,41
2763,37
2764,76
2765,81
2766,71
2767,81
2768,49
2769,82
2770,60
2771,51
2772,72
2773,59
2774,74
2775,65
2776,76
2777,62
2778,56
2779,34
2780,68
2781,71
2782,75
2783,78
2784,40
2785,32
2786,76
2787,70
2788,51
2789,66
2790,55
2791,67
2792,79
2793,64
2794,52
2795,68
2796,57
2797,51
2798,90
2799,48
2800,56
2801,64
2802,69
2803,73
2804,78
2805,78
2806,71
2807,67
2808,76
2809,80
2810,80
2811,68
2812,76
2813,48
2814,84
2815,40
2816,58
2817,72
2818,82
2819,94
2820,75
2821,52
2822,58
2823,57
2824,28
2825,64
2826,50
2827,66
2828,65
2829,55
2830,75
2831,85
2832,82
2833,76
2834,66
2835,30
2836,69
2837,88
2838,69
2839,71
2840,58
2841,64
2842,62
2843,58
2844,66
2845,53
2846,83
2847,69
2848,60
2849,65
2850,64
2851,67
2852,77
2853,40
2854,70
2855,41
2856,41
2857,82
2858,58
2859,69
2860,60
2861,88
2862,62
2863,58
2864,71
2865,58
2866,47
2867,65
2868,68
2869,76
2870,81
2871,45
2872,68
2873,65
2874,77
2875,61
2876,78
2877,82
2878,32
2879,54
2880,55
2881,74
2882,74
2883,66
2884,80
2885,45
2886,67
2887,70
2888,75
2889,28
2890,66
2891,67
2892,75
2893,79
2894,67
2895,82
2896,77
2897,54
2898,82
2899,60
2900,71
2901,61
2902,66
2903,63
2904,63
2905,61
2906,84
2907,84
2908,46
2909,74
2910,71
2911,38
2912,78
2913,60
2914,69
2915,58
2916,91
2917,85
2918,72
2919,64
2920,28
2921,79
2922,81
2923,61
2924,30
2925,50
2926,92
2927,50
2928,48
2929,76
2930,70
2931,75
2932,64
2933,76
2934,73
2935,90
2936,73
2937,48
2938,20
2939,70
2940,40
2941,39
2942,68
2943,75
2944,78
2945,81
2946,55
2947,73
2948,76
2949,91
2950,59
2951,84
2952,38
2953,73
2954,46
2955,76
2956,32
2957,44
2958,44
2959,76
2960,74
2961,73
2962,72
2963,38
2964,79
2965,75
2966,41
2967,67
2968,81
2969,33
2970,71
2971,76
2972,75
2973,73
2974,73
2975,72
2976,68
2977,51
2978,92
2979,84
2980,71
2981,66
2982,73
2983,53
2984,59
2985,75
2986,34
2987,75
2988,69
2989,84
2990,51
2991,49
2992,63
2993,69
2994,66
2995,70
2996,70
2997,75
